Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113MONA	370016         	NEW HOPE CR - US HWY 1008 / QUAD - FARRINGTON   7.5 / CAPE FEAR RIVER BASIN    MONITOR STATION                                                                                	USEPA REGION 4           	North Carolina                	Chatham                       	 35.795833	-79.009722 	03030002	            004	          7.85	OFF     	NEW HOPE R                                                  	NEH-16                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	LOCATED UPSTREAM OF CAPE FEAR RIVER BASIN AT GAGING STATION SOUTHEAST OF FARRINGTON, NC AT BRIDGE ON US HWY 1008. THIS STATION BEGAN OPERATION APRIL, 1975.  OPERATED JOINTLY BY EPA, TRIANGLE J COUNCIL OF GOVERNMENTS, AND USGS.
121WILEN	BEJH01         	   DWNSTM TAILRACE OF B EVERETT JORDAN DAM SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.653861	-79.067639 	03030002	            001	          4.63	OFF     	HAW R                                                       	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	           50	FEET                	S	 	B EVERETT JORDAN LAKE POST-IMP(1SEP81)MONITORING PGM
121WILEN	BEJH16         	CHATHAM CO.HAW R ARM,MID-SEGMT I-SEE CARD#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                     	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.683139	-79.079472 	03030002	            009	          1.03	OFF     	HAW R                                                       	none                                    	/RESERV/TYPA/AMBNT                                               	           50	FEET                	S	 	DRS. WEISS AND FRANCISCO B.EVERETT JORDAN POST IMPDMT WATER QUALITY STUDY. FIRST YEAR DATA 1 SEP 81-31 NOV 82.
121WILEN	BEJH17         	   UPSTM FACE OF B EVERETT JORDAN DAM SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                     	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.654833	-79.068167 	03030002	            001	          4.73	OFF     	HAW R                                                       	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	          100	FEET                	S	 	B EVERETT JORDAN LAKE POST-IMP(1SEP81)MONITORING PGM
121WILEN	BEJH18         	   CHATHAM CO 1943 @ ROBESON CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                          	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	      35.7	-79.092111 	03030002	            009	          3.11	OFF     	HAW R                                                       	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	          100	FEET                	S	 	B EVERETT JORDAN LAKE POST-IMP(1SEP81)MONITORING PGM
121WILEN	BEJH4          	HAW R. MILLRACE @ BYNUM DWNSTM OF US15-501 SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.763333	-79.133889 	03030002	            009	          8.15	OFF     	HAW R                                                       	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	            0	FEET                	S	 	B EVERETT JORDAN POST-IMP(1SEP81) MONITORING PGM
121WILEN	BEJH5          	CHATHAM CO.HAW R ARM AT ROBESON CRK.SEE CRD#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                   	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.651806	-79.084972 	03030002	               	              	        	                                                            	none                                    	/RESERV/TYPA/AMBNT                                               	           40	FEET                	S	 	DRS. WEISS AND FRANCISCO B.E.JORDAN LAKE POST IMPDMT WATER QUALITY STUDY. FIRST YEAR DATA 1 SEP 81-31 NOV 82.
121WILEN	BEJHA          	BUOY A HAW ARM JORDAN LAKE SEGMENT I / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.669167	-79.074194 	03030002	            001	         5.804	OFF     	HAW R                                                       	none                                    	/RESERV/TYPA/AMBNT                                               	           90	FEET                	S	 	LOCATED UPSTREAM OF KIRKS CREEK ON EAST SIDE GUNTER-HARRIS ISLAND.
121WILEN	BEJHCP         	CHATHAM CO.JORDAN LAKE(SGMT.I).CHL.SYN.STA.CRD#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.694806	-79.081667 	03030002	            009	          2.03	OFF     	HAW R                                                       	none                                    	/RESERV/TYPA/AMBNT                                               	           40	FEET                	S	 	DRS. WEISS AND FRANCISCO B.EVERETT JORDAN RESERVOIR POST-IMPDMT WATER QUALITY STUDY(1 SEP 81- ). CHLOROPHYLL SYNOPTIC SURVEY STATION ON HAW R. ARM. ( CA-CQ,   1 SEP 81-31 NOV 82).
121WILEN	BEJHCQ         	CHATHAM CO.JORDAN LAKE(SGMT.I).CHL.SYN.STA.CRD#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.648361	-79.084972 	03030002	               	              	        	                                                            	none                                    	/RESERV/TYPA/AMBNT                                               	            4	FEET                	S	 	DRS. WEISS AND FRANCISCO B.EVERETT JORDAN RESERVOIR POST-IMPDMT WATER QUALITY STUDY(1 SEP 81- ). CHLOROPHYLL SYNOPTIC SURVEY STATION ON HAW R. ARM ON KIRKS CRK. ( CA-CQ,   1SEP81-31NOV82).
121WILEN	BEJHKBOATHOUSE 	CORPS BOATHOUSE KIRKS CR ARM JORDAN LAKE / SOUTHEAST / CAPE FEAR RIVER                                                                                                        	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.656389	-79.072833 	03030002	               	              	        	                                                            	none                                    	/RESERV/TYPA/AMBNT                                               	           35	FEET                	S	 	none
121WILEN	BEJNH1         	BUOY 1 NARROWS SEGMENT I BE JORDAN LAKE. / SOUTHEAST / CAPE FEAR RIVER                                                                                                        	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.669167	-79.066667 	03030002	            002	           .29	OFF     	NEW HOPE R                                                  	none                                    	/RESERV/TYPA/AMBNT                                               	           90	FEET                	S	 	none
121WILEN	BEJNH11        	   CHATHAM CO 1731 @ NORTHEAST CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                        	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	  35.85525	-78.942444 	03030002	            006	          3.54	OFF     	NORTHEAST CR                                                	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	          100	FEET                	S	 	B EVERETT JORDAN LAKE POST-IMP(1SEP81)MONITORING PGM
121WILEN	BEJNH14        	CHATHAM CO.NEW HOPE R ARM,MID-SEGMT IV-SEE CRD#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	  35.81325	-78.991889 	03030002	            005	           1.3	OFF     	NEW HOPE R                                                  	none                                    	/RESERV/TYPA/AMBNT                                               	           40	FEET                	S	 	DRS. WEISS AND FRANCISCO B.EVERETT JORDAN RESERVOIR POST IMPDMT WATER QUALITY STUDY. FIRST YEAR DATA 1 SEP 81-31 NOV 82.
121WILEN	BEJNH15        	CHATHAM CO.NEW HOPE ARM,MID-SEGMT III-SEE CRD#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                 	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.761861	-79.025278 	03030002	            004	          5.31	OFF     	NEW HOPE R                                                  	none                                    	/RESERV/TYPA/AMBNT                                               	           40	FEET                	S	 	DRS. WEISS AND FRANCISCO B.EVERETT JORDAN RESERVOIR POST IMPDMT WATER QUALITY STUDY. FIRST YEAR DATA 1 SEP 81-31 NOV 82.
121WILEN	BEJNH16        	   US 64 @ PARKERS CRK IN CHATHAM CO SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                      	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.739333	-79.026611 	03030002	            004	          3.57	OFF     	NEW HOPE R                                                  	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	          100	FEET                	S	 	B EVERETT JORDAN LAKE POST-IMP(1SEP81)MONITORING PGM
