Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 800000E-7  	 	06020002	00630	1991-04-24	      1316	          	        	        26.9	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 900000E-7  	 	06020002	00630	1991-04-24	      1315	          	        	        26.9	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 900000E-7  	 	06020002	00630	1991-04-24	      1314	          	        	        26.9	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 100000E-7  	K	06020002	00630	1991-08-14	      1244	          	        	        26.9	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 800000E-7  	 	06020002	00630	1992-04-23	      1429	          	        	       20.34	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 800000E-7  	 	06020002	00630	1992-04-23	      1427	          	        	       20.34	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 800000E-7  	 	06020002	00630	1992-04-23	      1428	          	        	       20.34	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 100000E-7  	K	06020002	00630	1992-08-20	      1323	          	        	       25.58	        	                	  	                     	B 	                                                            	
131TVAC 	370001         	HIWASSEE RESERVOIR / TENNESSEE RIVER BASIN / HIWASSEE RIVER 77.0                                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Cherokee                      	 35.165833	-84.178333                               	 120000E-6  	 	06020002	00630	1993-04-20	      1006	          	        	       15.74	        	                	  	                     	B 	                                                            	
