Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1118ATL8	110901         	HANGING DOG WELL / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                           	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.106667	-84.085556 	06020002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL/SUPPLY                                          	            0	FEET                	 	G	none
1118ATL8	110904         	BEECH CREEK WELL / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                           	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.072778	-84.13     	06020002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL/SUPPLY                                          	            0	FEET                	 	G	none
1118ATL8	110905         	CHEROKEE LAKE WELL / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                         	US FOREST SERVICE        	North Carolina                	Cherokee                      	    35.065	-84.164167 	06020002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL/SUPPLY                                          	            0	FEET                	 	G	none
1118ATL8	110911         	PAYNE CEMETARY / TENNESSEE R / HIWASSEE R                                                                                                                                     	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.070556	-84.13     	06020002	            022	         34.31	OFF     	HIWASSEE L                                                  	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SAMPLING SITE IS A SMALL STREAM (<.01CFS) FLOWING FROM A CLEARCUT TREATED WITH TORDON IN DEC. 1980.  ELEVATION IS 1790 FT.  STATIONS 110911 - 110914 ARE MONITORED FOR POSSIBLE CONTAMINATION OF GROUND WATER WITH PICLORAM.
1118ATL8	110912         	BEARPAW / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                                    	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.102222	-84.165556 	06020002	            022	         16.74	OFF     	HIWASSEE L                                                  	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SAMPLING SITE IS A SPRING LOCATED BELOW A CLEARCUT WHICH WAS TREATED WITH TORDON IN MARCH 1982.  WATER SAMPLES ARE COLLECTED FOR POSSIBLE GROUNDWATER CONTAMINATION WITH PICLORAM.    OTHER STATIONS 110911 - 110914.
1118ATL8	110913         	PERSIMMON SPRING / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                           	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.073889	-84.160833 	06020002	            022	         23.86	OFF     	HIWASSEE L                                                  	none                                    	/TYPA/AMBNT/SPRING                                               	            0	FEET                	 	G	SAMPLE SITE IS A SPRING LOCATED BELOW A CLEARCUT WHICH WAS TREATED WITH TORDON IN OCT. 1977.  WATER SAMPLES ARE COLLECTED FOR POSSIBLE GROUNDWATER CONTAMINATION WITH PICLORAM.  OTHER STATIONS 110911 - 110914.
1118ATL8	110914         	HYATT CREEK / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                                	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.195556	-83.934167 	06020002	            071	         11.46	OFF     	VALLEY R                                                    	none                                    	/TYPA/AMBNT/SPRING                                               	            0	FEET                	 	G	SAMPLING SITE IS A SPRING LOCATED BELOW A CLEARCUT WHICH WAS TREATED WITH TORDON IN 1979.  WATER SAMPLES ARE COLLECTED FOR POSSIBLE GROUNDWATER CONTAMINATION WITH PICLORAM.   OTHER STATIONS 110911 - 110914.
1118ATL8	110915         	JUNALUSKA GAP / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                              	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.196944	-83.714722 	06010202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SAMPLING SITE IS A SMALL STREAM (<.1CFS) FLOWING FROM A CLEARCUT OF APPROX 40 ACRES TREATED BY INJECTION WITH TORDON ON6/84.  PART OF A STU DY TO MONITOR CONTAMINATION OF GROUND WATER BY SITE PREPARATION. OTHER STATIONS 110911 -110916, 111115, 111116.  ELEVATION  3560 FT.
1118ATL8	110916         	DOCKERY CREEK / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                              	US FOREST SERVICE        	North Carolina                	Cherokee                      	 35.218333	-84.038056 	06020002	            075	         10.67	OFF     	HANGING DOG CR                                              	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SAMPLING SITE IS A SMALL STREAM (<.01CFS) FLOWING FROM AN AREA TREATED BY INJECTION WITH TORDON ON 7/84. PART OF A STUDY TO MONITOR  WATER CONTAMINATION BY SITE PREP WITH CHEM. OTHER STATIONS 110911 - 110916, 111115, 111116.  ELEVATION 2480 FT.
11EPALES	370701         	HIWASSEE LAKE /  /                                                                                                                                                            	USEPA                    	North Carolina                	Cherokee                      	 35.151667	-84.177222 	06020002	            022	          4.33	ON      	HIWASSEE L                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	          225	FEET                	S	 	AT HIWASSEE DAM, 330 DEGREES FROM WATER TOWER, AND 040 DEGREES FROM CENTER OF DAM 150 YDS AWAY. MILE 75 9/10 HIWASSEE RIVER. COMMENTS: 6-1, ULE 15. 8-23 ULE 12, NO SURFACE ALGAE OR HIGHER AQUATICS; 1% LIGHT AT 18 FT. MAP: TVA NAVIGATION MAP
11EPALES	370702         	HIWASSEE LAKE /  /                                                                                                                                                            	USEPA                    	North Carolina                	Cherokee                      	 35.137778	-84.17     	06020002	            032	          3.08	OFF     	HIWASSEE R                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	          183	FEET                	S	 	ONE MILE SOUTH-SOUTHEAST OF THE DAM WHERE LAKE BENDS SOUTHWARD FROM EAST-WEST ORIENTATION, APPR 1/3 MILE UPLAKE FROM POWERLINES CROSSING, IN MIDDLE OF RIVER CHANNEL. MILE 81 1/3 HIWASSEE RIVER COMMENTS: 6-1, ULE 14, VERY STRONG TURBIDITY CHANGES IN PROFILES. 8-23 ULE 14, NO SURFACE ALGAE OR HIGHER AQUATICS; 1% LIGHT AT 21 FT. MAP: TVA NAVIGATION MAP
11EPALES	370703         	HIWASSEE LAKE /  /                                                                                                                                                            	USEPA                    	North Carolina                	Cherokee                      	 35.126944	-84.091944 	06020002	            022	         31.19	ON      	HIWASSEE L                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	          102	FEET                	S	 	AT TIP OF JOHN GREEN BEND, APPR AT MILE 86.7 FOR HIWASSEE RIVER, ONE BUILDING IN SIGHT IS GRAY BOATHOUSE (SITE 230 DEGREES FROM THE BOATHOUSE), IN MID-RIVER CHANNEL. MILE 86 3/4 HIWASSEE RIVER. COMMENTS: 6-1, ULE 16, TURBIDITY PROFILES SHOW GREAT CHANGE. 8-23 ULE 12 NO SURFACE ALGAE OR HIGHER AQUATICS; 1% LIGHT AT 22 FT. MAP: TVA NAVIGATION MAP
11EPALES	370704         	HIWASSEE LAKE /  /                                                                                                                                                            	USEPA                    	North Carolina                	Cherokee                      	 35.083833	-84.074722 	06020002	            023	           .35	OFF     	HIWASSEE L                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	           62	FEET                	S	 	TWO MILES WEST OF MURPHY DOWN THE NOTTLEY RIVER SOUTHEAST OF MAJOR FORK IN LAKE ABOUT 200 YDS, SHORT DISTANCE DOWNSTREAM FROM SITE OF THE OLD NOTTLEY DAM WHICH IS SUBMERGED, IN MID-CHANNEL. MILE 1/3 NOTTELY RIVER. COMMENTS: 6-2, ULE 17, VERY TURBID MUDDY OLIVE APPEARANCE; DEBRIS (ALLOCHTHONOUS MATERIAL) ON SURFACE. 8-22 ULE 13, NO SURFACE ALGAE OR HIGHER AQUATICS; 1% LIGHT AT 18 FT. MAP: TVA NAVIGATION MAP
