Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	CN1125         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.020833	-76.5625                                 	 180000E-4  	 	03010205	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1125         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.020833	-76.5625                                 	 180000E-4  	 	03010205	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1125         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.020833	-76.5625                                 	 190000E-4  	 	03010205	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1125         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.020833	-76.5625                                 	 210000E-4  	 	03010205	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1125         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.020833	-76.5625                                 	 230000E-4  	 	03010205	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1126         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.316667	-76.620833                               	 440000E-4  	 	03010203	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1126         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.316667	-76.620833                               	 410000E-4  	 	03010203	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1126         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.316667	-76.620833                               	 430000E-4  	 	03010203	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CN1126         	CHOWAN COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Chowan                        	 36.316667	-76.620833                               	 450000E-4  	 	03010203	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
