Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1118ATL8	110902         	JACKRABBIT WELL / TENNESSEE RIVER / HIWASSEE RIVER                                                                                                                            	US FOREST SERVICE        	North Carolina                	Clay                          	 35.009722	-83.771389 	06020002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL/SUPPLY                                          	            0	FEET                	 	G	none
1118ATL8	110903         	JACKRABBIT / TENNESSEE R / LITTLE TENNESSEE R                                                                                                                                 	US FOREST SERVICE        	North Carolina                	Clay                          	     35.01	-83.773056 	06020002	            060	         18.84	ON      	CHATUGUE L                                                  	080300004101                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. F. METHOD.PH BY HACH COLOR/METER.ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA JACKRABBIT SWIMMING BEACH IS LOCATED IN JACKRABBIT MOUNTAIN RECREATION AREA ON LAKE CHATUGE,JACKRABBIT MOUNTAIN IS OFF US64,19 MILES SE FROM MURPHY
12ELS1  	3A3-101        	CHATUGE LAKE /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Clay                          	   35.0125	-83.7875   	06020002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           95	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07832L       	TUSQUITEE CREEK /  /                                                                                                                                                          	EPA ENVIRONMENTAL RES LAB	North Carolina                	Clay                          	 35.067222	-83.822222 	06020002	               	              	        	                                                            	2AS2A07832L                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07832U       	TUSQUITEE CREEK /  /                                                                                                                                                          	EPA ENVIRONMENTAL RES LAB	North Carolina                	Clay                          	 35.083611	-83.729722 	06020002	               	              	        	                                                            	2AS2A07832U                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
131TVAC 	360063         	AT SHALLOW FORD BRIDGE / TENNESSEE RIVER BASIN / HIWASSEE RIVER 108.2                                                                                                         	TENN VALLEY AUTHORITY    	North Carolina                	Clay                          	 35.064444	-83.901389 	06020002	               	              	        	                                                            	2945                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360064         	CHATUGE TAILWATERS / TENNESSEE RIVER BASIN / HIWASSEE RIVER 121.0                                                                                                             	TENN VALLEY AUTHORITY    	North Carolina                	Clay                          	 35.019167	-83.791667 	06020002	               	              	        	                                                            	2948                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360223         	CHATUGE DAM SCROLL CASE / TENNESSEE RIVER BASIN / HIWASSEE RIVER 121.05                                                                                                       	TENN VALLEY AUTHORITY    	North Carolina                	Clay                          	   35.0175	-83.791667 	06020002	            061	          8.58	ON      	CHATUGUE L                                                  	2951                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360232         	U.S. HWY 64 BRIDGE / HIWASSEE RIVER BASIN / SHOOTING CREEK 6.2                                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Clay                          	 35.021667	-83.715833 	06020002	               	              	        	                                                            	3242                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
