
Clay, NC
Number of Stations = 79


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	19    	2559  	1966-05-02	1996-10-30	  1.00E+01  	  9.80E+01  	  4.45E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	17    	707   	1984-09-12	1996-09-06	  1.02E+04  	  9.81E+03  	  1.26E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	26    	4820  	1961-10-03	1997-10-09	  1.00E+01  	  9.99E+00  	  1.67E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	67    	1974-06-15	1978-07-27	  6.98E+01  	  9.32E+01  	  8.25E+01
00019	SAMPLE   WEIGHT   GRAMS   	SAMPLE WEIGHT IN GRAMS                            	2     	20    	1988-11-10	1993-11-09	  1.08E+03  	  9.63E+02  	  1.15E+03
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	1     	8     	1980-07-07	1980-08-25	  2.70E+01  	  3.60E+01  	  2.99E+01
00039	SAMPLE   LENGTH   MM      	SAMPLE LENGTH IN MILLIMETERS                      	2     	20    	1988-11-10	1993-11-09	  3.55E+02  	  6.95E+02  	  4.91E+02
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	2     	21    	1991-04-25	1993-10-21	   .00E+00  	  9.30E+01  	  4.55E+02
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	5     	881   	1966-05-02	1997-10-09	   .00E+00  	  9.00E+02  	  1.36E+03
00062	WATER    SURF ELE IN FEET 	ELEVATION, RESERVOIR SURFACE WATER IN FEET        	9     	42    	1992-04-29	1994-10-17	  1.92E+03  	  1.93E+03  	  1.92E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	6     	1985-03-27	1985-07-14	  1.20E+00  	  7.50E-01  	  1.05E+00
00065	STREAM   STAGE    FEET    	STAGE, STREAM (FEET)                              	1     	1     	1968-06-12	1968-06-12	  1.52E+03  	  1.52E+03  	  1.52E+03
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	4     	80    	1966-05-02	1980-07-09	  1.00E+01  	  9.70E+00  	  7.80E+00
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	16    	141   	1984-11-20	1996-10-30	  1.00E+01  	  5.30E+00  	  3.11E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	15    	138   	1966-05-02	1995-09-14	  1.00E+01  	  9.00E+00  	  7.33E+00
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	8     	100   	1974-01-28	1993-09-30	  1.00E+01  	  9.00E+00  	  2.00E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	2     	15    	1966-05-02	1967-02-01	  1.00E+00  	  1.00E+00  	  1.00E+00
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	14    	1283  	1991-09-24	1995-10-11	  1.03E+02  	 -1.60E+02  	  4.25E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	17    	3522  	1982-10-21	1996-10-30	  1.10E+01  	  6.25E+01  	  2.24E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	10    	178   	1966-05-02	1989-09-28	  1.00E+01  	  7.70E+01  	  2.10E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	10    	1446  	1979-04-24	1986-12-03	  1.00E+01  	  9.80E+00  	  1.26E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	1     	1     	1984-11-20	1984-11-20	  1.19E+00  	  1.19E+00  	  1.19E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	6     	1985-03-27	1985-07-14	  1.12E+01  	  9.90E+00  	  9.57E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	22    	4449  	1961-10-03	1997-10-09	   .00E+00  	  9.98E+00  	  5.44E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	24    	4449  	1961-10-03	1997-10-09	   .00E+00  	  9.99E+01  	  5.60E+01
00304	BOD      2 DAY    MG/L    	BOD, 2 DAY, 20 DEG C                          MG/L	2     	2     	1971-01-19	1971-01-19	  1.00E+00  	  1.00E+00  	  1.00E+00
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	5     	37    	1966-05-02	1980-07-09	  1.00E+00  	  2.50E+00  	  1.13E+00
00326	BOD      28 DAY   MG/L    	BOD, 28 DAY, 20 DEG C                         MG.L	1     	1     	1970-09-28	1970-09-28	  1.30E+00  	  1.30E+00  	  1.30E+00
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	2     	45    	1967-02-01	1979-02-20	  1.00E+01  	  7.00E+00  	  3.51E+00
00339	COD MUD  DRY WGT  MG/KG   	COD, BOTTOM DEPOSITS, DRY WEIGHT             MG/KG	1     	1     	1973-06-21	1973-06-21	  7.36E+04  	  7.36E+04  	  7.36E+04
00400	PH        SU              	PH (STANDARD UNITS)                               	20    	3757  	1966-05-02	1996-10-30	  2.40E+00  	  9.01E+00  	  6.40E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	6     	47    	1982-10-21	1989-09-28	  5.20E+00  	  7.36E+00  	  6.60E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	5     	31    	1984-11-20	1989-09-27	  1.10E+02  	  9.42E+01  	  1.23E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	5     	111   	1966-05-02	1991-10-02	  1.00E+01  	  9.00E+00  	  6.69E+00
00413	TOT ALK  GRAN     MG/L    	ALKALINITY,TOTAL,LOW LEVEL GRAN ANAL   MG/L(CAC03)	3     	19    	1989-04-12	1993-10-21	  1.00E-02  	  4.40E-02  	  9.44E-02
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	4     	87    	1966-05-02	1980-07-09	   .00E+00  	   .00E+00  	   .00E+00
00431	T ALK    FIELD    MG/L    	ALKALINITY TOATL FIELD, (MG/L AS CACO3)           	7     	54    	1982-10-21	1995-09-14	  1.00E+01  	  9.75E+00  	  8.53E+00
00435	T ACDITY CACO3    MG/L    	ACIDITY, TOTAL (MG/L AS CACO3)                    	1     	1     	1982-10-21	1982-10-21	  8.00E+00  	  8.00E+00  	  8.00E+00
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	2     	6     	1985-03-27	1985-07-14	  3.72E+00  	  5.62E+00  	  4.69E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	2     	6     	1966-05-02	1967-02-01	  3.00E+01  	  7.00E+01  	  5.17E+01
00515	RESIDUE  DISS-105 C MG/L  	RESIDUE, TOTAL FILTRABLE  (DRIED AT 105C),MG/L    	2     	6     	1966-05-02	1967-02-01	  1.00E+01  	  5.00E+01  	  2.67E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	10    	220   	1974-01-28	1995-09-14	  1.00E+01  	  9.00E+00  	  3.98E+00
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	7     	20    	1993-07-27	1995-09-14	  2.00E+00  	  7.00E+00  	  4.40E+00
00605	ORG N    N        MG/L    	NITROGEN, ORGANIC, TOTAL (MG/L AS N)              	16    	180   	1966-05-02	1996-08-09	  1.00E-01  	  9.00E-02  	  1.07E-01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	20    	427   	1966-05-02	1996-09-30	  1.00E-01  	  9.00E-02  	  6.27E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	18    	380   	1966-05-02	1995-10-11	  1.20E-06  	  9.89E-05  	  7.19E-05
