Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 569900E-2  	 	03050105	00008	1972-04-06	      1010	          	        	           0	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 569400E-2  	 	03050105	00008	1972-04-06	      1005	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 569300E-2  	 	03050105	00008	1972-04-06	      1000	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 632900E-2  	 	03050105	00008	1972-04-24	      1000	          	        	           0	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 626400E-2  	 	03050105	00008	1972-04-25	      1020	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 626300E-2  	 	03050105	00008	1972-04-25	      1015	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 627700E-2  	 	03050105	00008	1972-04-25	      1005	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 627800E-2  	 	03050105	00008	1972-04-25	      1010	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 627600E-2  	 	03050105	00008	1972-04-25	      1000	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778                               	 642300E-2  	 	03050105	00008	1972-05-09	      1015	          	        	           0	        	                	  	                     	B 	                                                            	
