Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113S000	370000         	FIRST BROAD R UPSTRM HWY150 BRDG / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.256944	-81.582778 	03050105	            087	          1.96	OFF     	FIRST BROAD R                                               	BR-13                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THIS STATION IS LOCATED ON THE FIRST BROAD RIVER JUST UPSTREAM FROM NORTH CAROLINA HWY 150 BRIDGE FIVE MILES EAST BOILING SPRINGS AND FOUR MILES SOUTH-SOUTHEAST OF SHELBY, NORTH CAROLINA.
1113S000	370002         	BROAD R AT HWY 150 BRIDGE / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                              	USEPA REGION 4           	North Carolina                	Cleveland                     	 35.191667	-81.666667 	03050105	            088	          2.26	OFF     	BROAD R                                                     	BR-14                                   	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THIS STATION IS LOCATED ON THE BROAD RIVER AT THE NORTH CAROLINA HWY 150 BRIDGE, TWO MILES SOUTH OF BOILING SPRINGS, NORTH CAROLINA.
12ELS1  	3A3-070        	LAKE HOUSER /  /                                                                                                                                                              	EPA ENVIRONMENTAL RES LAB	North Carolina                	Cleveland                     	 35.223056	-81.729167 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           42	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
21NC37GW	CV1060         	WINTER PARK NC / SOUTHEAST / CATAWBA-BROAD                                                                                                                                    	NC DE&NR                 	North Carolina                	Cleveland                     	 35.246389	-81.532778 	03050105	               	              	        	                                                            	R74B2                                   	/TYPA/AMBNT/WELL                                                 	           50	FEET                	 	G	none
21NC37GW	CV1186         	CAMPCALL / SOUTHEAST / CATAWBA                                                                                                                                                	NC DE&NR                 	North Carolina                	Cleveland                     	   35.3875	-81.624444 	03050105	               	              	        	                                                            	P75H1,100CV1186                         	/TYPA/AMBNT/WELL                                                 	          202	FEET                	 	G	none
21NC37GW	CV1187         	GROVER / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Cleveland                     	 35.171389	-81.444444 	03050105	               	              	        	                                                            	R73V3,100CV1187                         	/TYPA/AMBNT/WELL                                                 	          302	FEET                	 	G	none
21NC37GW	CV2927         	POLKVILLE / SOUTHEAST / CATAWBA                                                                                                                                               	NC DE&NR                 	North Carolina                	Cleveland                     	 35.416667	-81.7      	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          305	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CV2928         	BOILING SPRINGS / SOUTHEAST / CATAWBA                                                                                                                                         	NC DE&NR                 	North Carolina                	Cleveland                     	     35.25	-81.733333 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           32	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CV2929         	BOILING SPRINGS / SOUTHEAST / CATAWBA                                                                                                                                         	NC DE&NR                 	North Carolina                	Cleveland                     	     35.25	-81.733333 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           51	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
