Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11EPALES	371901         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.303056	-78.524444                               	 626000E-2  	 	03040206	00008	1973-03-22	      1525	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	371901         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.303056	-78.524444                               	 626100E-2  	 	03040206	00008	1973-03-22	      1525	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371901         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.303056	-78.524444                               	 103790E-1  	 	03040206	00008	1973-07-05	      1115	          	        	           5	        	                	  	                     	B 	                                                            	
11EPALES	371901         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.303056	-78.524444                               	 103800E-1  	 	03040206	00008	1973-07-05	      1115	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371901         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.303056	-78.524444                               	 141740E-1  	 	03040206	00008	1973-09-20	      1105	          	        	           5	        	                	  	                     	B 	                                                            	
11EPALES	371901         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.303056	-78.524444                               	 141730E-1  	 	03040206	00008	1973-09-20	      1105	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371902         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.278333	-78.493056                               	 626200E-2  	 	03040206	00008	1973-03-22	      1600	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	371902         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.278333	-78.493056                               	 626300E-2  	 	03040206	00008	1973-03-22	      1600	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371902         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.278333	-78.493056                               	 103810E-1  	 	03040206	00008	1973-07-05	      1145	          	        	           4	        	                	  	                     	B 	                                                            	
