Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11EPALES	371901         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.303056	-78.524444 	03040206	            017	          3.34	OFF     	L WACCAMAW                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	            8	FEET                	S	 	ABOUT 1 MILE DUE S OF GREEN WATER TOWER AT TOWN OF LAKE WACCAMAW. COMMENTS: 3-22 ULE 22, SOMEWHAT TURBID (RECENT RAINS); ONLY ONE SHALLOW BASIN WAS NOTED OVER THE EXPANSE OF LAKE. 7-5 ULE 19, EDGES LINED WITH FLOATING AQUATIC VEG; DEPTH 9 FT. MAP: USGS WHITEVILLE QUAD
11EPALES	371902         	LAKE WACCAMAW /  /                                                                                                                                                            	USEPA                    	North Carolina                	Columbus                      	 34.278333	-78.493056 	03040206	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	            8	FEET                	S	 	160 DEGREES FM GREEN WATER TOWER ROUGHLY AT CENTER OF ARC FORMED BY SHORE ON SE END. COMMENTS: 3-22 ULE 22, HIGH CONCENTRATION OF SUSPENDED SOLIDS (RECENT RAINS) 7-5 ULE 19; FLOATING AQUATICS ALONG SHORELINE; "DARK" WATER APPEARANCE; DEPTH 8 FT. 9-20 ULE 21; 1% LIGHT AT BOTTOM; NO SURF ALGAE; HIGHER AQUATICS PRESENT ALONG 25% OF SHORELINE; INTEGRATE FROM 5 FT TO SURF. MAP:USGS BOLTON QUAD
21NC37GW	CO1065         	LAKE WACCAMAW / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Columbus                      	 34.325556	-78.529167 	03040206	               	              	        	                                                            	CC38B5,100CO1065                        	/TYPA/AMBNT/WELL                                                 	           51	FEET                	 	G	none
21NC37GW	CO1205         	LAKE WACCAMAW RESEARCH STATION #2 / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                     	NC DE&NR                 	North Carolina                	Columbus                      	 34.325556	-78.529167 	03040206	               	              	        	                                                            	CC38B9,100CO1205                        	/TYPA/AMBNT/WELL                                                 	          511	FEET                	 	G	BOYS HOME LOCATION
21NC37GW	CO1206         	HALLSBORO / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Columbus                      	 34.418889	-78.585278 	03040206	               	              	        	                                                            	AA39V1,100CO1206                        	/TYPA/AMBNT/WELL                                                 	           78	FEET                	 	G	none
21NC37GW	CO1208         	CARVER-MOORE SCHOOL RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                  	NC DE&NR                 	North Carolina                	Columbus                      	 34.418889	-78.602    	03040206	               	              	        	                                                            	AA39V2,100CO1208                        	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	CO1212         	LAKE WACCAMAW / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Columbus                      	 34.325556	-78.529167 	03040206	               	              	        	                                                            	CC38B6,100CO1212                        	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	none
21NC37GW	CO1213         	LAKE WACCAMAW RESEARCH STATION #2 / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                     	NC DE&NR                 	North Carolina                	Columbus                      	 34.325556	-78.529361 	03040206	               	              	        	                                                            	CC38B7,100CO1213                        	/TYPA/AMBNT/WELL                                                 	          678	FEET                	 	G	BOYS HOME LOCATION
21NC37GW	CO1215         	CARVER MOORE SCHOOL / SOUTHEAST / YADKIN-PEE DEE                                                                                                                              	NC DE&NR                 	North Carolina                	Columbus                      	 34.418889	-78.585278 	03040206	               	              	        	                                                            	AA39V4,100CO1215                        	/TYPA/AMBNT/WELL                                                 	          261	FEET                	 	G	none
21NC37GW	CO1258         	CLARENDON / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Columbus                      	 34.210278	-78.896667 	03040203	               	              	        	                                                            	DD42N1,100CO1258                        	/TYPA/AMBNT/WELL                                                 	           51	FEET                	 	G	none
21NC37GW	CO1270         	CLAREDON RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                             	NC DE&NR                 	North Carolina                	Columbus                      	 34.210278	-78.896722 	03040203	               	              	        	                                                            	DD42N2,100CO1270                        	/TYPA/AMBNT/WELL                                                 	          797	FEET                	 	G	none
21NC37GW	CO1271         	CLARENDON / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Columbus                      	 34.210278	-78.896667 	03040203	               	              	        	                                                            	DD42N3,100CO1271                        	/TYPA/AMBNT/WELL                                                 	          578	FEET                	 	G	none
21NC37GW	CO1272         	CLARANDON / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Columbus                      	 34.210278	-78.896667 	03040203	               	              	        	                                                            	DD42N4,100CO1272                        	/TYPA/AMBNT/WELL                                                 	          248	FEET                	 	G	none
21NC37GW	CO1334         	NAKINA / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Columbus                      	 34.125833	-78.664444 	03040206	               	              	        	                                                            	EE39O5,100CO1334                        	/TYPA/AMBNT/WELL                                                 	          588	FEET                	 	G	none
21NC37GW	CO1335         	NAKINA / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Columbus                      	 34.125833	-78.664444 	03040206	               	              	        	                                                            	EE39O6,100CO1335                        	/TYPA/AMBNT/WELL                                                 	          308	FEET                	 	G	none
21NC37GW	CO1611         	COLUMBUS COUNTY / SOUTHEAST / YADKIN-PEEDEE-LOWER PEEDEE RIVER                                                                                                                	NC DE&NR                 	North Carolina                	Columbus                      	 34.318056	-78.825    	03040203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          326	FEET                	 	G	none
21NC37GW	CO1612         	COLUMBUS COUNTY / SOUTHEAST / YADKIN-PEEDEE-LOWER PEEDEE RIVER                                                                                                                	NC DE&NR                 	North Carolina                	Columbus                      	 34.333333	-78.695833 	03040206	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          291	FEET                	 	G	none
21NC37GW	CO1623         	WHITEVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Columbus                      	 34.246667	-78.690833 	03040206	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CO1624         	UNKNOWN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Columbus                      	 34.116667	-78.816667 	03040206	               	              	        	                                                            	EE39O1                                  	/TYPA/AMBNT/WELL                                                 	           85	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CO1625         	CHADBOURN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Columbus                      	 34.316944	-78.823889 	03040206	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          310	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CO1626         	WHITEVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Columbus                      	     34.33	-78.690833 	03040206	               	              	        	                                                            	CC40B1A                                 	/TYPA/AMBNT/WELL                                                 	          361	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CO1627         	WHITEVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Columbus                      	     34.33	-78.690833 	03040206	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CO1628         	WHITEVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Columbus                      	     34.33	-78.690833 	03040206	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
