
Columbus, NC
Number of Stations = 41


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	12    	1973-03-22	1973-09-20	  1.04E+04  	  6.26E+03  	  1.03E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	5     	263   	1973-03-22	1998-12-02	  1.00E+01  	  8.60E+00  	  2.22E+01
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	2     	12    	1998-03-11	1998-08-05	   .00E+00  	  2.00E-01  	  3.33E-02
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	2     	12    	1973-03-22	1973-09-20	  7.00E+01  	  9.20E+01  	  8.52E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	2     	6     	1973-03-22	1973-09-20	  1.20E+01  	  7.20E+01  	  4.43E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	7     	254   	1973-09-20	1998-12-02	  1.00E+02  	  9.70E+01  	  2.31E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	2     	8     	1973-03-22	1973-07-05	  5.50E+01  	  6.50E+01  	  5.89E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	5     	257   	1973-03-22	1998-12-02	  1.00E+01  	  9.90E+00  	  6.76E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	5     	257   	1973-03-22	1998-12-02	  1.03E+02  	  9.87E+01  	  7.50E+01
00324	BOD      20 DAY   MG/L    	BOD, 20 DAY, 20 DEG C                         MG/L	2     	38    	1996-07-09	1998-12-02	  1.10E+00  	  9.00E-01  	  3.66E+00
00400	PH        SU              	PH (STANDARD UNITS)                               	7     	252   	1973-03-22	1998-12-02	  5.50E+00  	  9.60E+00  	  6.70E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	3     	68    	1996-07-09	1998-12-02	  6.00E+00  	  7.50E+00  	  6.88E+00
