Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370144A        	PHILLIPS PLATING CO AT BRIDGETON NC TO RENNY CR / NEUSE RIVER BASIN / FINAL EFFLUENT TO RENNY CREEK                                                                           	USEPA REGION 4           	North Carolina                	Craven                        	 35.123333	-77.023333                               	 190400E-2  	 	03020204	00008	1980-07-21	      1545	1980-07-22	    1530	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370144A        	PHILLIPS PLATING CO AT BRIDGETON NC TO RENNY CR / NEUSE RIVER BASIN / FINAL EFFLUENT TO RENNY CREEK                                                                           	USEPA REGION 4           	North Carolina                	Craven                        	 35.123333	-77.023333                               	 190500E-2  	 	03020204	00008	1980-07-23	      1600	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370144A        	PHILLIPS PLATING CO AT BRIDGETON NC TO RENNY CR / NEUSE RIVER BASIN / FINAL EFFLUENT TO RENNY CREEK                                                                           	USEPA REGION 4           	North Carolina                	Craven                        	 35.123333	-77.023333                               	 136900E-2  	 	03020204	00008	1982-05-11	      0845	1982-05-12	    0830	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370144A        	PHILLIPS PLATING CO AT BRIDGETON NC TO RENNY CR / NEUSE RIVER BASIN / FINAL EFFLUENT TO RENNY CREEK                                                                           	USEPA REGION 4           	North Carolina                	Craven                        	 35.123333	-77.023333                               	 137000E-2  	 	03020204	00008	1982-05-13	      1540	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370144A        	PHILLIPS PLATING CO AT BRIDGETON NC TO RENNY CR / NEUSE RIVER BASIN / FINAL EFFLUENT TO RENNY CREEK                                                                           	USEPA REGION 4           	North Carolina                	Craven                        	 35.123333	-77.023333                               	 285000E-4  	 	03020204	00010	1980-07-23	      1600	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370144A        	PHILLIPS PLATING CO AT BRIDGETON NC TO RENNY CR / NEUSE RIVER BASIN / FINAL EFFLUENT TO RENNY CREEK                                                                           	USEPA REGION 4           	North Carolina                	Craven                        	 35.123333	-77.023333                               	 237000E-4  	 	03020204	00010	1982-05-11	      0930	          	        	            	        	                	  	                     	B 	                                                            	
1118ATL8	110321         	NEUSE SWIMMING BEACH PT 2 / SOUTH ATLANTIC GULF / NEUSE R                                                                                                                     	US FOREST SERVICE        	North Carolina                	Craven                        	 34.983611	-76.948889                               	 210000E-4  	 	03020204	00010	1980-06-12	      0830	          	        	           0	        	                	  	                     	B 	                                                            	
1118ATL8	110321         	NEUSE SWIMMING BEACH PT 2 / SOUTH ATLANTIC GULF / NEUSE R                                                                                                                     	US FOREST SERVICE        	North Carolina                	Craven                        	 34.983611	-76.948889                               	 200000E-4  	 	03020204	00010	1980-06-19	      1030	          	        	           0	        	                	  	                     	B 	                                                            	
1118ATL8	110321         	NEUSE SWIMMING BEACH PT 2 / SOUTH ATLANTIC GULF / NEUSE R                                                                                                                     	US FOREST SERVICE        	North Carolina                	Craven                        	 34.983611	-76.948889                               	 200000E-4  	 	03020204	00010	1980-06-24	      0900	          	        	           0	        	                	  	                     	B 	                                                            	
