Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370000B        	WEYERHAEUSER CO AT NEW BERN NC / NEUSE RIVER BASIN / COMPANY TREATED EFF TO NEUSE RIVER                                                                                       	USEPA REGION 4           	North Carolina                	Craven                        	    35.115	-77.046667 	03020204	            012	          1.23	OFF     	NEUSE R                                                     	NC0003191 B,W-001E   WCN                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370144A        	PHILLIPS PLATING CO AT BRIDGETON NC TO RENNY CR / NEUSE RIVER BASIN / FINAL EFFLUENT TO RENNY CREEK                                                                           	USEPA REGION 4           	North Carolina                	Craven                        	 35.123333	-77.023333 	03020204	            011	          1.15	OFF     	NEUSE R                                                     	NC0001881 A,PP-001   PHI                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1118ATL8	110321         	NEUSE SWIMMING BEACH PT 2 / SOUTH ATLANTIC GULF / NEUSE R                                                                                                                     	US FOREST SERVICE        	North Carolina                	Craven                        	 34.983611	-76.948889 	03020204	            004	         37.03	OFF     	NEUSE R                                                     	030200007101,0105,0105                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. F. METHOD.PH BY HACH COLOR/METER,ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA TWO STATIONS WERE SET UP IN THIS SWIMMING AREA FLANNER SWIMMING BEACH ON THE NEUSE RIVER 2 MILES NE OF CROATAN NC
1118ATL8	110322         	NEUSE SWIMMING BEACH PT 1 / SOUTH ATLANTIC GULF / NEUSE R                                                                                                                     	US FOREST SERVICE        	North Carolina                	Craven                        	 34.983611	-76.948889 	03020204	            004	         37.03	OFF     	NEUSE R                                                     	030200007102                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. E. METHOD.PH BY HACH COLOR/METER.ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA.TWO STATIONS WERE SET UP IN THIS SWIMMING AREA FLANNER SWIMMING BEACH ON THE NEUSE RIVER 2 MILES NE OF CROATAN NC
11BIOACC	3395           	NEUSE RIVER @ NEW BERN /  /                                                                                                                                                   	U.S. EPA MDSD            	North Carolina                	Craven                        	 35.198889	-77.1125   	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
21NC37GW	CR1209         	NEW BERN / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Craven                        	 35.180278	-77.298611 	03020202	               	              	        	                                                            	R23W2                                   	/TYPA/AMBNT/WELL                                                 	          852	FEET                	 	G	none
21NC37GW	CR1716         	BRIDGETON / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Craven                        	 35.173611	-77.051389 	03020202	               	              	        	                                                            	R20X2,100CR1716                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	CR1737         	WILMAR / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Craven                        	 35.369444	-77.085833 	03020202	               	              	        	                                                            	P21K2,100CR1737                         	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	none
21NC37GW	CR1738         	WILMAR / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Craven                        	 35.355556	-77.155556 	03020202	               	              	        	                                                            	P21P1,100CR1738                         	/TYPA/AMBNT/WELL                                                 	          180	FEET                	 	G	none
21NC37GW	CR1743         	CAYTON / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Craven                        	 35.268056	-76.967222 	03020202	               	              	        	                                                            	Q19Q1,100CR1743                         	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	none
21NC37GW	CR1748         	VANCEBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Craven                        	 35.268056	-77.085833 	03020202	               	              	        	                                                            	Q21T1,100CR1748                         	/TYPA/AMBNT/WELL                                                 	          108	FEET                	 	G	none
21NC37GW	CR1798         	TUSCARORA / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Craven                        	 35.156667	-77.218333 	03020202	               	              	        	                                                            	S22D1                                   	/TYPA/AMBNT/WELL                                                 	          310	FEET                	 	G	none
21NC37GW	CR1818         	HAVELOCK / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Craven                        	    34.925	-76.947222 	03020204	               	              	        	                                                            	U19V1,100CR1818                         	/TYPA/AMBNT/WELL                                                 	           15	FEET                	 	G	none
21NC37GW	CR2011         	CRAVEN COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Craven                        	 34.927778	-77.0875   	03020106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          662	FEET                	 	G	none
21NC37GW	CR2012         	CRAVEN COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Craven                        	 34.848611	-76.9625   	03020204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21NC37GW	CR2019         	CREEPING SWAMP / SOUTHEAST / NEUSE                                                                                                                                            	NC DE&NR                 	North Carolina                	Craven                        	 35.374722	-77.134167 	03020202	               	              	        	                                                            	P21N1,100CR2019                         	/TYPA/AMBNT/WELL                                                 	          172	FEET                	 	G	none
21NC37GW	CR2025         	PALMETTO / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Craven                        	 35.336111	-77.170833 	03020202	               	              	        	                                                            	P22U5,100CR2025                         	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	none
21NC37GW	CR2029         	CLARKS / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Craven                        	 35.137778	-77.171944 	03020202	               	              	        	                                                            	S22J4,100CR2029                         	/TYPA/AMBNT/WELL                                                 	           14	FEET                	 	G	none
21NC37GW	CR2030         	NEW BERN / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Craven                        	 35.137778	-77.171667 	03020202	               	              	        	                                                            	S22J5,100CR2030                         	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	none
21NC37GW	CR2034         	CLARKS RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                   	NC DE&NR                 	North Carolina                	Craven                        	 35.137778	-77.171667 	03020202	               	              	        	                                                            	S22J8,100CR2034                         	/TYPA/AMBNT/WELL                                                 	          338	FEET                	 	G	none
21NC37GW	CR2035         	CLARKS RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                   	NC DE&NR                 	North Carolina                	Craven                        	 35.137778	-77.171667 	03020202	               	              	        	                                                            	S22J9,100CR2035                         	/TYPA/AMBNT/WELL                                                 	          530	FEET                	 	G	none
21NC37GW	CR2036         	CLARKS  RESEARCH SATION / SOUTHEAST / NEUSE                                                                                                                                   	NC DE&NR                 	North Carolina                	Craven                        	 35.137778	-77.171667 	03020202	               	              	        	                                                            	S22J10,100CR2036                        	/TYPA/AMBNT/WELL                                                 	          730	FEET                	 	G	none
21NC37GW	CR2040         	BRIDGETON / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Craven                        	 35.118056	-77.004167 	03020204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          120	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CR2041         	BRIDGETON / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Craven                        	 35.115278	-77.0125   	03020204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          120	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CR2106         	ERNUL / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Craven                        	 35.158333	-77.031944 	03020204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	CR2120         	CLARK RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                    	NC DE&NR                 	North Carolina                	Craven                        	 35.137778	-77.171667 	03020202	               	              	        	                                                            	S22J11,100CR2120                        	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21NCGWNW	CR1716         	BRIDGETON / SOUTHEAST / NEUSE                                                                                                                                                 	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	 35.173611	-77.051389 	03020202	               	              	        	                                                            	R20X2,100CR1716                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NCGWNW	CR1737         	WILMAR / SOUTHEAST / NEUSE                                                                                                                                                    	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	 35.369444	-77.085833 	03020202	               	              	        	                                                            	P21K2,100CR1737                         	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	none
21NCGWNW	CR1748         	VANCEBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	 35.268056	-77.085833 	03020202	               	              	        	                                                            	Q21T1,100CR1748                         	/TYPA/AMBNT/WELL                                                 	          108	FEET                	 	G	none
21NCGWNW	CR1818         	HAVELOCK / SOUTHEAST / NEUSE                                                                                                                                                  	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	    34.925	-76.947222 	03020204	               	              	        	                                                            	U19V1,100CR1818                         	/TYPA/AMBNT/WELL                                                 	           15	FEET                	 	G	none
21NCGWNW	CR2019         	CREEPING SWAMP / SOUTHEAST / NEUSE                                                                                                                                            	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	 35.374722	-77.134167 	03020202	               	              	        	                                                            	P21N1,100CR2019                         	/TYPA/AMBNT/WELL                                                 	          172	FEET                	 	G	none
21NCGWNW	CR2025         	PALMETTO / SOUTHEAST / NEUSE                                                                                                                                                  	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	 35.336111	-77.170833 	03020202	               	              	        	                                                            	P22U5,100CR2025                         	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	none
21NCGWNW	CR2029         	CLARKS / SOUTHEAST / NEUSE                                                                                                                                                    	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	 35.137778	-77.171944 	03020202	               	              	        	                                                            	S22J4,100CR2029                         	/TYPA/AMBNT/WELL                                                 	           14	FEET                	 	G	none
21NCGWNW	CR2030         	NEW BERN / SOUTHEAST / NEUSE                                                                                                                                                  	NC ENV. HTH. NAT. RES.   	North Carolina                	Craven                        	 35.137778	-77.171667 	03020202	               	              	        	                                                            	S22J5,100CR2030                         	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	none
