
Craven, NC
Number of Stations = 41


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	4     	1980-07-21	1982-05-13	  1.37E+03  	  1.91E+03  	  1.64E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	5     	425   	1980-06-12	1998-12-15	  1.00E+01  	  9.00E+00  	  2.21E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	5     	1983-06-02	1983-09-01	  7.20E+01  	  8.60E+01  	  7.94E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	1     	18    	1980-06-12	1981-08-13	  2.00E+01  	  3.20E+01  	  2.74E+01
00021	AIR      TEMP     FAHN    	TEMPERATURE, AIR (DEGREES FAHRENHEIT)             	1     	5     	1983-06-02	1983-09-01	  7.80E+01  	  9.00E+01  	  8.42E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	2     	10    	1977-11-08	1982-05-13	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	3     	1988-09-01	1988-09-01	  1.64E+04  	  1.64E+04  	  1.64E+04
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	1     	6     	1998-06-08	1998-09-11	  2.50E+01  	  4.50E+01  	  3.33E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	1     	20    	1995-07-20	1997-09-19	  4.00E-01  	  8.00E-01  	  6.25E-01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	3     	400   	1994-12-06	1998-12-15	  1.00E+04  	  9.96E+03  	  3.81E+03
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	3     	400   	1994-12-06	1998-12-15	  1.00E+01  	  9.87E+00  	  6.54E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	3     	400   	1994-12-06	1998-12-15	  1.00E+02  	  9.90E+01  	  7.21E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	1     	2     	1977-11-08	1977-11-09	  1.40E+01  	  2.00E+01  	  1.70E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	1     	2     	1977-11-08	1977-11-09	  2.77E+02  	  3.90E+02  	  3.34E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	6     	465   	1974-07-22	1998-12-15	  1.00E+01  	  9.00E+00  	  7.32E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	3     	88    	1994-12-06	1997-11-13	  6.20E+00  	  8.60E+00  	  7.27E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	1     	103   	1995-07-20	1998-09-29	  1.00E+01  	  9.00E+00  	  4.95E+00
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	5     	124   	1977-11-08	1998-12-15	  1.00E+01  	  9.50E+00  	  8.19E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	3     	119   	1994-12-06	1998-12-15	  1.00E+00  	  9.80E-01  	  1.23E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	4     	123   	1977-11-08	1998-12-15	  1.00E-02  	  8.00E-02  	  2.06E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	3     	110   	1994-12-06	1998-12-15	  1.01E-03  	  9.55E-05  	  2.85E-03
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	1     	2     	1977-11-08	1977-11-09	  1.00E-02  	  1.00E-02  	  1.00E-02
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	3     	110   	1994-12-06	1998-12-15	  1.00E-04  	  9.67E-04  	  3.47E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	4     	122   	1977-11-08	1998-12-15	  1.00E+00  	  9.80E-01  	  7.25E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	3     	121   	1994-12-06	1998-12-15	  1.00E+00  	  9.70E-01  	  6.80E-01
00650	T PO4    PO4      MG/L    	PHOSPHATE, TOTAL (MG/L AS PO4)                    	1     	2     	1977-11-08	1977-11-09	  4.40E-01  	  4.60E-01  	  4.50E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	3     	120   	1994-12-06	1998-12-15	  1.00E-01  	  9.00E-02  	  1.40E-01
00720	CYANIDE  CN-TOT   MG/L    	CYANIDE, TOTAL (MG/L AS CN)                  MG/L 	2     	5     	1977-11-08	1982-05-13	  1.00E+01  	  3.44E+00  	  3.02E+00
00722	CYANIDE  FREE CN  MG/L    	CYANIDE, FREE (AMENABLE TO CHLORINATION) MG/L     	1     	1     	1982-05-13	1982-05-13	  3.44E+00  	  3.44E+00  	  3.44E+00
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	1     	1     	1977-11-08	1977-11-08	  1.00E+01  	  1.00E+01  	  1.00E+01
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	1     	1     	1977-11-08	1977-11-08	  5.00E+00  	  5.00E+00  	  5.00E+00
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	1     	1     	1977-11-08	1977-11-08	  1.00E+01  	  1.00E+01  	  1.00E+01
01032	CHROMIUM HEX-VAL  UG/L    	CHROMIUM, HEXAVALENT (UG/L AS CR)                 	1     	1     	1982-05-13	1982-05-13	  7.20E+02  	  7.20E+02  	  7.20E+02
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	2     	4     	1977-11-08	1982-05-11	  1.80E+01  	  8.09E+03  	  1.02E+04
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	2     	3     	1977-11-08	1982-05-11	  1.00E+01  	  8.30E+02  	  5.24E+02
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	1     	1     	1977-11-08	1977-11-08	  3.00E+00  	  3.00E+00  	  3.00E+00
01059	THALLIUM TL,TOTAL UG/L    	THALLIUM, TOTAL (UG/L AS TL)                      	1     	1     	1977-11-08	1977-11-08	  5.00E+00  	  5.00E+00  	  5.00E+00
