Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370130B        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF ROGER ELLIS                                                                        	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.838889                               	 331500E-2  	 	03030004	00008	1978-11-21	      1030	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130C        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF CHARLES VAN ZANT                                                                   	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.838889                               	 331400E-2  	 	03030004	00008	1978-11-21	      1045	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130F        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER FROM CAROLINA TRANSFORMER CO                                                            	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.840556                               	 331300E-2  	 	03030004	00008	1978-11-21	      1100	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130F        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER FROM CAROLINA TRANSFORMER CO                                                            	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.840556                               	 753000E-3  	 	03030004	00008	1979-03-27	      1625	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130I        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT LARRY'S SAUSAGE                                                                      	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.842222                               	 754000E-3  	 	03030004	00008	1979-03-28	      0850	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130J        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT BORDEN'S DAIRY                                                                       	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.059444	-78.853611                               	 755000E-3  	 	03030004	00008	1979-03-28	      0920	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130K        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF BRITT CLAYTON                                                                      	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063056	-78.837222                               	 756000E-3  	 	03030004	00008	1979-03-28	      1405	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130L        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF T.R. WEEKS                                                                         	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063889	-78.8375                                 	 757000E-3  	 	03030004	00008	1979-03-28	      1240	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130M        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF PHILLIP SEALEY                                                                     	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063889	-78.8375                                 	 758000E-3  	 	03030004	00008	1979-03-28	      0950	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130N        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF CHARLIE DAVIS                                                                      	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.043333	-78.837778                               	 759000E-3  	 	03030004	00008	1979-03-28	      1050	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130O        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT ROADWAY EXPRESS ON RIVER R                                                           	USEPA REGION 4           	North Carolina                	Cumberland                    	    35.075	-78.845278                               	 760000E-3  	 	03030004	00008	1979-03-28	      1015	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130P        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT WELL'S ELECTRONICS                                                                   	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.054444	-78.838333                               	 761000E-3  	 	03030004	00008	1979-03-28	      1115	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130Q        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT BESSIE'S EDGE                                                                        	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063056	-78.845833                               	 331600E-2  	 	03030004	00008	1978-11-21	      1000	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130Q        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT BESSIE'S EDGE                                                                        	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063056	-78.845833                               	 762000E-3  	 	03030004	00008	1979-03-28	      1310	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370016A        	ROHM & HAAS CO CARODEL PLANT AT FAYETTEVILLE NC / CAPE FEAR RIVER BASIN / RAW WATER FR ADJ FACILITY FR CAPE FEAR R                                                            	USEPA REGION 4           	North Carolina                	Cumberland                    	 34.978056	-78.782778                               	 197900E-2  	 	03030004	00026	1979-02-07	      1430	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370130B        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF ROGER ELLIS                                                                        	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.838889                               	 198000E-2  	 	03030004	00026	1978-11-21	      1030	          	        	            	        	                	  	                     	B 	                                                            	
