Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370016A        	ROHM & HAAS CO CARODEL PLANT AT FAYETTEVILLE NC / CAPE FEAR RIVER BASIN / RAW WATER FR ADJ FACILITY FR CAPE FEAR R                                                            	USEPA REGION 4           	North Carolina                	Cumberland                    	 34.978056	-78.782778 	03030004	            001	          2.98	OFF     	CAPE FEAR R                                                 	NC0003719 A,CI-RW    ROH                	/TYPA/IND/NTRTMT/INTAKE/NONAMB/PIPE/SUPPLY                       	            0	FEET                	 	 	none
1114PEST	370130B        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF ROGER ELLIS                                                                        	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.838889 	03030004	               	              	        	                                                            	F-003    CAR                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370130C        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF CHARLES VAN ZANT                                                                   	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.838889 	03030004	               	              	        	                                                            	F-004    CAR                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370130F        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER FROM CAROLINA TRANSFORMER CO                                                            	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.840556 	03030004	               	              	        	                                                            	CTW-W01  CAR,F-005                      	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370130I        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT LARRY'S SAUSAGE                                                                      	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.061667	-78.842222 	03030004	               	              	        	                                                            	CTW-W02  CAR                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370130J        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / WELL WATER AT BORDEN'S DAIRY                                                                       	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.059444	-78.853611 	03030004	               	              	        	                                                            	CTW-W03  CAR                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370130K        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF BRITT CLAYTON                                                                      	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063056	-78.837222 	03030004	               	              	        	                                                            	CTW-W04  CAR                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370130L        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF T.R. WEEKS                                                                         	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063889	-78.8375   	03030004	               	              	        	                                                            	CTW-W05  CAR                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370130M        	CAROLINA TRANSFORMER CO HAZARDOUS WASTE SITE INV / CAPE FEAR RIVER BASIN / PRIVATE WELL OF PHILLIP SEALEY                                                                     	USEPA REGION 4           	North Carolina                	Cumberland                    	 35.063889	-78.8375   	03030004	               	              	        	                                                            	CTW-W06  CAR                            	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
