Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	CK1032         	POINT HARBOR / SOUTHEAST / SAVANNAH                                                                                                                                           	NC DE&NR                 	North Carolina                	Currituck                     	 36.081667	-75.791111                               	 940000E-4  	 	03010205	72001	1962-02-01	      2500	          	        	          94	        	                	  	                     	B 	                                                            	
21NC37GW	CK1032         	POINT HARBOR / SOUTHEAST / SAVANNAH                                                                                                                                           	NC DE&NR                 	North Carolina                	Currituck                     	 36.081667	-75.791111                               	 940000E-4  	 	03010205	72008	1962-02-01	      2500	          	        	          94	        	                	  	                     	B 	                                                            	
21NC37GW	CK1059         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	 36.302778	-75.925                                  	 430000E-4  	 	03010205	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1059         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	 36.302778	-75.925                                  	 520000E-4  	 	03010205	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1059         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	 36.302778	-75.925                                  	 530000E-4  	 	03010205	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1059         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	 36.302778	-75.925                                  	 600000E-4  	 	03010205	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1059         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	 36.302778	-75.925                                  	 610000E-4  	 	03010205	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1060         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	      36.5	-76.25                                   	 310000E-4  	 	03010205	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1060         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	      36.5	-76.25                                   	 330000E-4  	 	03010205	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1060         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	      36.5	-76.25                                   	 350000E-4  	 	03010205	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1060         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	      36.5	-76.25                                   	 360000E-4  	 	03010205	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1060         	CURRITUCK COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Currituck                     	      36.5	-76.25                                   	 370000E-4  	 	03010205	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	CK1032         	POINT HARBOR / SOUTHEAST / SAVANNAH                                                                                                                                           	NC DE&NR                 	North Carolina                	Currituck                     	 36.081667	-75.791111                               	 100000E-4  	 	03010205	82514	1962-02-01	      2500	          	        	          94	        	                	  	                     	B 	                                                            	
21NC37GW	CK1032         	POINT HARBOR / SOUTHEAST / SAVANNAH                                                                                                                                           	NC DE&NR                 	North Carolina                	Currituck                     	 36.081667	-75.791111                               	 700000E-6  	 	03010205	82515	1962-02-01	      2500	          	        	          94	        	                	  	                     	B 	                                                            	
21NC37GW	CK1032         	POINT HARBOR / SOUTHEAST / SAVANNAH                                                                                                                                           	NC DE&NR                 	North Carolina                	Currituck                     	 36.081667	-75.791111                               	 955000E-5  	 	03010205	82546	1983-06-20	      1548	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	CK1032         	POINT HARBOR / SOUTHEAST / SAVANNAH                                                                                                                                           	NC DE&NR                 	North Carolina                	Currituck                     	 36.081667	-75.791111                               	 950000E-5  	 	03010205	82546	1983-09-12	      1745	          	        	            	        	                	  	                     	B 	                                                            	
