Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114GBL 	3701           	WANCHESE-CROATAN SOUND / SOUTHEAST / NORTH CAROLINA COASTAL AREA                                                                                                              	USEPA HQ                 	North Carolina                	Dare                          	 35.666667	-75.9      	03010205	               	              	        	                                                            	none                                    	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	DATA FROM NATIONAL PESTICIDES MONITORING PROGRAM "ORGANOCHLORINE RESIDUES IN ESTUARINE MOLLUSCS, 1965-72" SAMPLE TAKEN FROM WANCHESE-CROATAN SOUND IF CONTAMINENT WAS TESTED FOR BUT NOT DETECTED, IT IS STORED AS "K5.0", MEANING "LESS THAN THE DETECTION LIMIT OF 5".  IF A TRACE OF THE CONTAMINENT HAS BEEN DETECTED, IT IS STORED AS "J7.5", MEANING "APPROXIMATELY 7.5", BUT ACTUALLY MEANING "BETWEEN 5 AND 10 PPB".
1114GBL 	3702           	SALVO-PAMLICO SOUND / SOUTHEAST / NORTH CAROLINA COASTAL AREA                                                                                                                 	USEPA HQ                 	North Carolina                	Dare                          	    35.675	-75.900278 	03010205	               	              	        	                                                            	none                                    	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	DATA FROM NATIONAL PESTICIDES MONITORING PROGRAM "ORGANOCHLORINE RESIDUES IN ESTUARINE MOLLUSCS, 1965-72" SAMPLE TAKEN FROM SALVO-PAMLICO SOUND IF CONTAMINENT WAS TESTED FOR BUT NOT DETECTED, IT IS STORED AS "K5.0", MEANING "LESS THAN THE DETECTION LIMIT OF 5".  IF A TRACE OF THE CONTAMINENT HAS BEEN DETECTED, IT IS STORED AS "J7.5", MEANING "APPROXIMATELY 7.5", BUT ACTUALLY MEANING "BETWEEN 5 AND 10 PPB".
21NC37GW	DA1260         	KITTY HAWK / SOUTHEAST / CHOWAN                                                                                                                                               	NC DE&NR                 	North Carolina                	Dare                          	 35.086667	-75.730556 	        	               	              	        	                                                            	G4X1,100DA1260                          	/TYPA/AMBNT/WELL                                                 	          240	FEET                	 	G	none
21NC37GW	DA1261         	KILL DEVIL HILL / SOUTHEAST / CHOWAN                                                                                                                                          	NC DE&NR                 	North Carolina                	Dare                          	 36.020556	-75.668333 	03010205	               	              	        	                                                            	H3P1,100DA1261                          	/TYPA/AMBNT/WELL                                                 	           59	FEET                	 	G	none
21NC37GW	DA1262         	KILL DEVIL / SOUTHEAST / CHOWAN                                                                                                                                               	NC DE&NR                 	North Carolina                	Dare                          	 36.343333	-75.67     	        	               	              	        	                                                            	H4U2,100DA1262                          	/TYPA/AMBNT/WELL                                                 	          266	FEET                	 	G	none
21NC37GW	DA1263         	MANTEO / SOUTHEAST / CHOWAN                                                                                                                                                   	NC DE&NR                 	North Carolina                	Dare                          	     35.92	-75.697222 	03010205	               	              	        	                                                            	I4V3,100DA1263                          	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	none
21NC37GW	DA1268         	MANS HARBOR / SOUTHEAST / CHOWAN                                                                                                                                              	NC DE&NR                 	North Carolina                	Dare                          	 35.872222	-75.791667 	03010205	               	              	        	                                                            	J5M2,100DA1268                          	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	none
21NC37GW	DA1269         	MANTEO / SOUTHEAST / CHOWAN                                                                                                                                                   	NC DE&NR                 	North Carolina                	Dare                          	 35.891667	-75.6375   	03010205	               	              	        	                                                            	J3G1,100DA1269                          	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	none
21NC37GW	DA1292         	DARE COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                        	NC DE&NR                 	North Carolina                	Dare                          	 35.998611	-75.866667 	03010205	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
