
Dare, NC
Number of Stations = 85


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	7     	7     	1972-06-29	1972-11-01	  1.22E+04  	  7.20E+02  	  6.08E+03
00400	PH        SU              	PH (STANDARD UNITS)                               	10    	10    	1972-06-29	1974-01-22	  7.40E+00  	  8.20E+00  	  7.79E+00
00405	CO2       MG/L            	CARBON DIOXIDE (MG/L AS CO2)                      	1     	1     	1974-01-22	1974-01-22	  8.50E+00  	  8.50E+00  	  8.50E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	9     	9     	1972-06-29	1972-11-01	  1.89E+02  	  8.50E+01  	  2.96E+02
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	10    	10    	1972-06-29	1974-01-22	  1.04E+02  	  6.00E+02  	  3.45E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	10    	10    	1972-06-29	1974-01-22	   .00E+00  	   .00E+00  	   .00E+00
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	8     	8     	1972-06-29	1972-11-01	   .00E+00  	  9.00E-02  	  5.95E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	8     	8     	1972-06-29	1972-11-01	   .00E+00  	  9.30E-02  	  2.94E-02
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	9     	9     	1972-06-29	1974-01-22	  1.06E+03  	  7.73E+02  	  3.74E+02
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	9     	9     	1972-06-29	1974-01-22	   .00E+00  	  6.71E+02  	  1.47E+02
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	9     	9     	1972-06-29	1974-01-22	  1.39E+02  	  9.90E+01  	  6.73E+01
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	9     	9     	1972-06-29	1974-01-22	  1.00E+01  	  8.40E+00  	  5.43E+01
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	9     	9     	1972-06-29	1974-01-22	  1.07E+03  	  9.10E+00  	  9.58E+02
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	8     	8     	1972-06-29	1972-11-01	  1.26E+02  	  8.90E+00  	  3.65E+01
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	10    	10    	1972-06-29	1974-01-22	  1.48E+03  	  7.80E+02  	  1.70E+03
00946	SULFATE  S04-DISS MG/L    	SULFATE, DISSOLVED (MG/L AS SO4)                  	8     	8     	1972-06-29	1972-11-01	  1.10E+01  	  6.20E+00  	  1.34E+01
00951	FLUORIDE F,TOTAL  MG/L    	FLUORIDE, TOTAL (MG/L AS F)                       	9     	9     	1972-06-29	1974-01-22	  1.00E-01  	  7.00E-01  	  3.33E-01
00955	SILICA   DISOLVED MG/L    	SILICA, DISSOLVED (MG/L AS SI02)                  	8     	8     	1972-06-29	1972-11-01	  1.20E+01  	  6.20E+00  	  1.62E+01
01046	IRON     FE,DISS  UG/L    	IRON, DISSOLVED (UG/L AS FE)                      	8     	8     	1972-06-29	1972-11-01	   .00E+00  	  3.81E-01  	  5.58E+01
01056	MANGNESE MN,DISS  UG/L    	MANGANESE, DISSOLVED (UG/L AS MN)                 	8     	8     	1972-06-29	1972-11-01	   .00E+00  	  8.00E+00  	  2.09E+01
