Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113MONA	370099         	YADKIN R - US HWY 64 / QUAD - CHURCHLAND   7.5 / PEE DEE RIVER BASIN      MONITOR STATION                                                                                     	USEPA REGION 4           	North Carolina                	Davidson                      	 35.856667	-80.386111 	03040101	            002	          5.45	OFF     	YADKIN R                                                    	YAD-99                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	LOCATED AT GAGING STATION NEAR LEFT BANK ON DOWNSTREAM END OF PIER OF BRIDGE ON US HWY 64, 1.5 MILES SOUTH OF YADKIN COLLEGE, 6.2 MILES DOWN- STREAM FROM REEDY CREEK, AND 295 MILES UPSTREAM FROM MOUTH OF PEE DEE R. STREAM IN WINYAH BAY. THIS STATION BEGAN OPERATION SEPTEMBER, 1974.  OPERATED JOINTLY BY EPA, STATE OF NORTH CAROLINA, AND USGS.
1114PEST	370140A        	HAMBY CR STP NR THOMASVILLE NC TO HAMBY CREEK / YADKIN-PEE DEE R BASIN / DRYING BED SLUDGE                                                                                    	USEPA REGION 4           	North Carolina                	Davidson                      	 35.883333	-80.08     	03040103	               	              	        	                                                            	NC0024112 A,TV-DBS   HAM                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370142A        	ABBOTTS CR STP NR LEXINGTON NC TO ABBOTTS CREEK / YADKIN-PEE DEE R BASIN / DRYING BED SLUDGE                                                                                  	USEPA REGION 4           	North Carolina                	Davidson                      	 35.683333	-80.25     	03040103	            016	         15.36	OFF     	HIGH ROCK L                                                 	NC0024384 A,LAC-DBS  ABB                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
11EPALES	370601         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Davidson                      	 35.601667	-80.235278 	03040103	            013	         11.61	OFF     	YADKIN R                                                    	none                                    	/TYPA/AMBNT/LAKE                                                 	           53	FEET                	S	 	1000 FT NORTH OF WARNING SIGN ON DAM AT SOUTH END OF LAKE. COMMENTS: 3-24; ULE 20; FORESTED ALONG SHORE; NO FLOATERS, EMERGENTS OR ALGAE SCUM. 7-11 STEEP THERMAL SLOPE 6 TO 10 FT; STEADY INCREASE IN TURBIDITY FR 25 FT TO BOTTOM. USGS MAP: DENTON QUAD
11EPALES	370603         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Davidson                      	 35.672778	-80.314722 	03040103	            017	         16.85	OFF     	HIGH ROCK L                                                 	none                                    	/TYPA/AMBNT/LAKE                                                 	           20	FEET                	S	 	AT MAJOR "Y" IN LAKE WHERE SWEARING CREEK ENTERS FROM THE NORTH. EAST SHORE FAIRLY WELL DEVELOPED. SITE CLOSE TO BEST SHORE DIRECTLY NORTH OF DARK BROWN HOUSE WITH TAN BRICK CHIMNEY ABOUT 200 YDS AWAY. COMMENTS: 3-24, ULE 20. 7-12 ULE 17, VERY TURBID, MUDDY, STRONG INTERFACE (CONTRAST) OF WATER APPEARANCE WHERE CRANE CREEK ARM ENTERS (ONE MILE S OF SITE). USGS MAP: SOUTHMONT QUAD
11EPALES	370604         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Davidson                      	 35.720833	-80.330556 	03040103	            018	          8.82	OFF     	HIGH ROCK L                                                 	none                                    	/TYPA/AMBNT/LAKE                                                 	            8	FEET                	S	 	090 DEGREES FROM LARGE FACTORY AT NORTH END OF LAKE ALONG LONG AXIS OF NORTH POTTS CREEK ENTERING FROM THE NORTH; DUE NORTH OF CENTER OF LARGE LOW ISLAND SITTING IN THE MIDDLE OF RIVER AT THIS "Y" INTERSECTION. COMMENTS: 3-24, ULE 20, NO AQUATIC VEGETATION OR ALGAE CONCENTRATION NOTED; SHORELINE PERHAPS 10 PER CENT DEVELOPED, REST FORESTED. 7-12 ULE 18 (SURFACE SAMPLE ONLY); MUDDY TURBID; EMERGENTS ALONG SHORE; GRASSY ISLANDS. USGS MAP: SOUTHMONT QUAD
21NC37GW	DS1160         	WELCOME / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Davidson                      	 35.927778	-80.245556 	03040101	               	              	        	                                                            	I58Y2,100DS1160                         	/TYPA/AMBNT/WELL                                                 	          290	FEET                	 	G	none
21NC37GW	DS1182         	LEXINGTON / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Davidson                      	 35.771389	-80.178889 	03040103	               	              	        	                                                            	K58T1,100DS1182                         	/TYPA/AMBNT/WELL                                                 	           35	FEET                	 	G	none
21NC37GW	DS1198         	CHURCHLAND / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Davidson                      	 36.784444	-80.416389 	05050001	               	              	        	                                                            	K60O1,100DS1198                         	/TYPA/AMBNT/WELL                                                 	          225	FEET                	 	G	none
