
Davidson, NC
Number of Stations = 26


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	5     	35    	1973-03-24	1980-07-16	  1.08E+04  	  6.49E+03  	  9.56E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	13    	1074  	1973-03-24	1998-12-29	  1.00E+01  	  9.95E+00  	  1.51E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	900   	1974-09-05	1975-12-31	  3.61E+01  	  8.37E+01  	  5.70E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	2     	2     	1980-07-15	1980-07-16	  1.98E+03  	  1.98E+03  	  1.98E+03
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	3     	33    	1973-03-24	1973-09-19	  1.20E+01  	  8.50E+01  	  4.30E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	9     	63    	1998-06-03	1998-12-29	  1.01E+01  	  9.80E+00  	  1.27E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	3     	8     	1973-03-24	1973-09-19	  1.00E+01  	  4.00E+01  	  2.13E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	12    	91    	1973-09-19	1998-12-29	  1.13E+02  	  9.75E+02  	  3.03E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	4     	923   	1973-03-24	1975-12-31	  1.18E+01  	  9.80E+01  	  5.27E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	13    	1067  	1973-03-24	1998-12-29	  1.00E+01  	  1.00E+01  	  8.95E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	13    	1067  	1973-03-24	1998-12-29	  1.00E+02  	  9.97E+01  	  8.59E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	13    	843   	1973-03-24	1998-12-29	  5.48E+00  	  9.30E+00  	  6.76E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	3     	33    	1973-03-24	1973-09-19	  1.00E+01  	  2.80E+01  	  1.77E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	10    	82    	1973-03-24	1998-12-04	  1.00E-01  	  9.00E-02  	  1.39E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	10    	82    	1973-03-24	1998-12-04	  1.02E-03  	  9.61E-04  	  4.23E-03
