Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	DV1227         	ADVANCE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Davie                         	    36.965	-80.465556 	05050001	               	              	        	                                                            	I61M2,100DV1227                         	/TYPA/AMBNT/WELL                                                 	          322	FEET                	 	G	none
21NC37GW	DV1440         	CLEMMONS / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Davie                         	 36.012222	-80.422222 	03040101	               	              	        	                                                            	H61U1,100DV1440                         	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	none
21NC37GW	DV2429         	MOCKSVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Davie                         	 35.916667	-80.633333 	03040102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DV2430         	MOCKSVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Davie                         	 35.783333	-80.5      	03040102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DV2431         	MARKSVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Davie                         	    35.875	-80.673611 	03040102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           56	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DV2432         	MARKSVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Davie                         	 35.904167	-80.695833 	03040102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           56	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DV2433         	MOCKSVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Davie                         	 35.791667	-80.523611 	03040102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          485	FEET                	 	G	HAROLD FRYE C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC77WQ	TSYADBR23      	BERMUDA RUN EFFLUENT CHANNEL AT YADKIN RIVER / SOUTHEAST / YADKIN                                                                                                             	NC DE&NR                 	North Carolina                	Davie                         	 35.996389	-80.42     	03040101	            014	          6.59	OFF     	YADKIN R                                                    	none                                    	/TYPA/AMBNT/STREAM                                               	            1	FEET                	S	 	STATON IS SAMPLED TO DETERMINE SOURCES OF ELEVATED LEVELS OF TOTAL COLIFORM BACTERIA ENTERING WINSTON SALEM'S YADKIN RIVER RAW WATER SUPPLY
21NC77WQ	TSYADSC17      	SHEEK CREEK AT YADKIN RIVER / SOUTHEAST / YADKIN                                                                                                                              	NC DE&NR                 	North Carolina                	Davie                         	 36.024167	-80.433333 	03040101	            014	           8.6	OFF     	YADKIN R                                                    	none                                    	/TYPA/AMBNT/STREAM                                               	            1	FEET                	S	 	STATION IS SAMPLED TO DETERMINE SOURCES OF ELEVATED LEVELS OF TOTAL COLIFORM BACTERIA ENTERING WINSTON SALEM'S YADKIN RIVER RAW WATER SUPPLY
21NC77WQ	TSYADUT25      	FIRST UNNAMED TRIB @ YADKIN RI W BANK DS BER RN / SOUTHEAST / YADKIN                                                                                                          	NC DE&NR                 	North Carolina                	Davie                         	 35.990556	-80.423333 	03040101	            014	           5.8	OFF     	YADKIN R                                                    	none                                    	/TYPA/AMBNT/STREAM                                               	            1	FEET                	S	 	STATION IS SAMPLED TO DETERMINE SOURECES OF ELEVATED LEVELS OF TOTAL COLIFORM BACTERIA ENTERING WINSTON SALEM'S YADKIN RIVER RAW WATER SUPPLY
