Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 248000E-4  	 	03030007	00010	1996-07-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 239000E-4  	 	03030007	00010	1996-07-31	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 228000E-4  	 	03030007	00010	1996-09-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 173000E-4  	 	03030007	00010	1996-10-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 690000E-5  	 	03030007	00010	1996-11-14	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 660000E-5  	 	03030007	00010	1996-12-11	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 700000E-5  	 	03030007	00010	1997-01-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 121000E-4  	 	03030007	00010	1997-02-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
22NC7205	GS             	GOSHEN SWAMP AT HWY NC11 BRIDGE /  /                                                                                                                                          	UNCW CENT FOR MARINE SCIE	North Carolina                	Duplin                        	 35.016667	-77.85                                   	 150000E-4  	 	03030007	00010	1997-03-12	      2500	          	        	            	        	                	  	                     	B 	                                                            	
