Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	DU1362         	DUPLIN COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Duplin                        	 34.734722	-77.997222 	03030007	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          322	FEET                	 	G	none
21NC37GW	DU1363         	DUPLIN COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Duplin                        	 35.122222	-77.784722 	03030007	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          320	FEET                	 	G	none
21NC37GW	DU1365         	PINK HILL FIRE TOWER RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                 	NC DE&NR                 	North Carolina                	Duplin                        	 35.057222	-77.807222 	03030007	               	              	        	                                                            	T29G4,100DU1365                         	/TYPA/AMBNT/WELL                                                 	          396	FEET                	 	G	none
21NC37GW	DU1368         	PINK HILL FIRE TOWER RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                 	NC DE&NR                 	North Carolina                	Duplin                        	 35.057222	-77.807222 	03030007	               	              	        	                                                            	T29G5,100DU1368                         	/TYPA/AMBNT/WELL                                                 	          256	FEET                	 	G	none
21NC37GW	DU1370         	PINK HILL FIRE TOWER RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                 	NC DE&NR                 	North Carolina                	Duplin                        	 35.057222	-77.807222 	03030007	               	              	        	                                                            	T29G7,100DU1370                         	/TYPA/AMBNT/WELL                                                 	           17	FEET                	 	G	none
21NC37GW	DU1371         	PINK HILL FIRE TOWER RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                 	NC DE&NR                 	North Carolina                	Duplin                        	 35.057222	-77.807222 	03030007	               	              	        	                                                            	T29G3,100DU1371                         	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	none
21NC37GW	DU1373         	CHINQUAPIN RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                           	NC DE&NR                 	North Carolina                	Duplin                        	    34.825	-77.811111 	03030007	               	              	        	                                                            	W29D6,100DU1373                         	/TYPA/AMBNT/WELL                                                 	          470	FEET                	 	G	none
21NC37GW	DU1377         	CHINQUAPIN RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                           	NC DE&NR                 	North Carolina                	Duplin                        	    34.825	-77.811111 	03030007	               	              	        	                                                            	W29D7,100DU1377                         	/TYPA/AMBNT/WELL                                                 	           16	FEET                	 	G	none
21NC37GW	DU1378         	CHINQUAPIN RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                           	NC DE&NR                 	North Carolina                	Duplin                        	    34.825	-77.811111 	03030007	               	              	        	                                                            	W29D5,100DU1378                         	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	none
