
Duplin, NC
Number of Stations = 44


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	7     	180   	1996-07-08	1998-12-01	  1.00E+01  	  9.80E+00  	  1.83E+01
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	6     	36    	1998-03-12	1998-08-10	   .00E+00  	  9.00E-01  	  5.69E-01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	7     	180   	1996-07-08	1998-12-01	  1.00E+02  	  9.80E+02  	  7.61E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	7     	180   	1996-07-08	1998-12-01	   .00E+00  	  9.90E+00  	  5.99E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	7     	180   	1996-07-08	1998-12-01	   .00E+00  	  9.91E+01  	  6.09E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	7     	165   	1996-07-08	1998-12-01	  5.60E+00  	  8.70E+00  	  6.77E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	7     	180   	1996-07-08	1998-12-01	  6.10E+00  	  9.40E+00  	  6.88E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	7     	180   	1996-07-08	1998-12-01	   .00E+00  	  9.00E-01  	  3.36E-01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	6     	48    	1998-05-07	1998-12-01	  1.00E+01  	  9.00E+00  	  7.98E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	7     	180   	1996-07-08	1998-12-01	  1.00E+00  	  9.90E-01  	  2.20E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	7     	150   	1996-07-08	1998-12-01	  1.00E-01  	  9.80E-01  	  1.35E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	7     	150   	1996-07-08	1998-12-01	  1.05E-06  	  9.92E-05  	  3.30E-03
