Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113MONA	370015         	NEW HOPE CR - US HWY 54 / QUAD - DURHAM SOUTH 15 / CAPE FEAR RIVER BASIN    MONITOR STATION                                                                                   	USEPA REGION 4           	North Carolina                	Durham                        	 35.916667	-78.969444 	03030002	            007	          8.08	OFF     	NEW HOPE CR                                                 	NEH-15                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	LOCATED UPSTREAM OF CAPE FEAR RIVER BASIN AT GAGING STATION SOUTHWEST OF DURHAM, NC AT BRIDGE ON US HWY 54. THIS STATION BEGAN OPERATION APRIL, 1975.  OPERATED JOINTLY BY EPA, TRIANGLE J COUNCIL OF GOVERNMENTS, AND USGS.
1114PEST	370034B        	NORTHSIDE STP AT DURHAM NC TO ELLERBE CREEK / NEUSE RIVER BASIN / EFFLUENT    @ END OF PARSHALL FLUMES                                                                        	USEPA REGION 4           	North Carolina                	Durham                        	 35.996667	-78.896667 	03020201	               	              	        	                                                            	NC0023841 B,DE-1     NSS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370034C        	NORTHSIDE STP AT DURHAM NC TO ELLERBE CREEK / NEUSE RIVER BASIN / SLUDGE      RANDOM SAMPLES FR DRYING BED                                                                    	USEPA REGION 4           	North Carolina                	Durham                        	 35.996667	-78.896667 	03020201	               	              	        	                                                            	NC0023841 C,DS-1     NSS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370182A        	ENO STP AT DURHAM NC TO ENO RIVER / NEUSE RIVER BASIN / SLUDGE FROM SIDE OF SLUDGE LAGOON                                                                                     	USEPA REGION 4           	North Carolina                	Durham                        	 35.996667	-78.896667 	03020201	               	              	        	                                                            	NC0026336 A,DER-SL   ENO                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370188A        	THIRD FORK STP AT DURHAM NC TO THIRD FORK CREEK / NEUSE RIVER BASIN / DRYING BEDS                                                                                             	USEPA REGION 4           	North Carolina                	Durham                        	 35.996667	-78.896667 	03020201	               	              	        	                                                            	NC0026298 A,DTF-DBS  TFS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370190A        	HOPE VALLEY STP AT DURHAM NC TO HOPE VALLEY CR / NEUSE RIVER BASIN / SLUDGE LAGOON                                                                                            	USEPA REGION 4           	North Carolina                	Durham                        	 35.996667	-78.896667 	03020201	               	              	        	                                                            	NC0026328 A,DHV-DBS  HOP                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
121WILEN	FLSNS12        	FALLS LAKE MI. BUOY#12(LEDGE CREEK MOUTH)-SEE#5 / SOUTHEAST / NEUSE RIVER                                                                                                     	CORPS OF ENGINEERS       	North Carolina                	Durham                        	 36.026917	-78.711861 	03020201	            029	          1.86	OFF     	NEUSE R                                                     	none                                    	/RESERV/TYPA/AMBNT                                               	           36	FEET                	S	 	TO BE ADDED LATER
121WILEN	FLSNS16        	FALLS LAKE MI.BUOY#16(APP.1.5 MI.BELOWI-85)SEE#5 / SOUTHEAST / NEUSE RIVER                                                                                                    	CORPS OF ENGINEERS       	North Carolina                	Durham                        	 36.058333	-78.764194 	03020201	            037	           .46	OFF     	*D                                                          	none                                    	/RESERV/TYPA/AMBNT                                               	           20	FEET                	S	 	TO BE ADDED LATER
121WILEN	NH-2           	WEIR BRG @ MORGAN CRK @ RD TO MASON FARM SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                  	CORPS OF ENGINEERS       	North Carolina                	Durham                        	 35.887333	-78.861917 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	            0	FEET                	S	 	WEISS PRE-IMP WQ DATA (74-76) LOWER HAW & NEW HOPE RIVERS
121WILEN	NH-4           	   NC 751 @ THIRD FORK CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                                	CORPS OF ENGINEERS       	North Carolina                	Durham                        	 35.911028	-78.960972 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	            0	FEET                	S	 	WEISS PRE-IMP WQ DATA (74-76) LOWER HAW & NEW HOPE RIVERS
121WILEN	NH-5           	   DURHAM CO 1107 @ NEW HOPE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                          	CORPS OF ENGINEERS       	North Carolina                	Durham                        	 35.884806	-78.965889 	03030002	            007	          5.24	OFF     	NEW HOPE CR                                                 	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	            0	FEET                	S	 	WEISS PRE-IMP WQ DATA (74-76) LOWER HAW & NEW HOPE RIVERS
12OWNIRS	NC0332126      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Durham                        	      36.1	-78.916667 	03020201	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	          105	FEET                	 	 	none
21NC37GW	DR1098         	DURHAM / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Durham                        	 35.936111	-78.983056 	03030002	               	              	        	                                                            	I43Q1,100DR1098                         	/TYPA/AMBNT/WELL                                                 	          165	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1971 MEASURED MONTHLY AQUIFER TRU
21NC37GW	DR1233         	DURHAM / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Durham                        	 35.971667	-78.977222 	03030002	               	              	        	                                                            	I43P1,100DR1233                         	/TYPA/AMBNT/WELL                                                 	           99	FEET                	 	G	none
21NC37GW	DR1256         	BRAGTOWN / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Durham                        	   36.0575	-78.854167 	03020201	               	              	        	                                                            	H42I1,100DR1256                         	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	none
21NC37GW	DR2600         	CHAPEL HILL / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Durham                        	 35.883333	-78.983333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2601         	CHAPEL HILL / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Durham                        	 35.883333	-78.983333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           13	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2602         	BAPTIST ROAD / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Durham                        	 35.983333	-78.766667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          175	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2605         	DURHAM / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Durham                        	 35.916667	-78.983333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2606         	DURHAM / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Durham                        	 35.933333	-78.85     	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2607         	BAHAMA / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Durham                        	     36.15	-78.916667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2608         	CARR TOWNSHIP / SOUTHEAST / NEUSE                                                                                                                                             	NC DE&NR                 	North Carolina                	Durham                        	     35.95	-78.766667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2609         	DURHAM / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Durham                        	 35.916667	-78.916667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	DR2637         	DURHAM / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Durham                        	 36.130556	-78.951389 	03020201	               	              	        	                                                            	G43M                                    	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	JASPER WOMBLE C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
