
Durham, NC
Number of Stations = 62


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	4     	4     	1981-04-14	1981-04-17	  1.21E+03  	  1.27E+03  	  1.25E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	6     	1256  	1974-04-24	1987-06-30	  1.00E+01  	  9.50E+00  	  1.90E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	1     	534   	1975-04-13	1975-12-31	  3.61E+01  	  7.95E+01  	  6.88E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	2     	166   	1983-07-12	1987-06-30	   .00E+00  	 -2.00E+00  	  1.75E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	5     	6     	1978-06-07	1981-04-17	  1.98E+03  	  1.98E+03  	  1.98E+03
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	3     	80    	1974-04-24	1976-06-21	  1.00E+01  	  9.90E+01  	  2.88E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	2     	292   	1983-07-12	1987-06-30	  1.00E+01  	  9.80E+00  	  2.36E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	2     	166   	1983-07-12	1987-06-30	  1.18E+01  	  7.90E+00  	  1.72E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	2     	20    	1983-09-06	1987-06-16	  1.04E+02  	  9.20E+01  	  9.15E+01
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	2     	604   	1983-08-23	1987-06-30	   .00E+00  	 -8.00E+01  	  3.07E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	5     	722   	1974-04-24	1987-06-30	  1.00E+02  	  9.90E+01  	  1.33E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	1     	543   	1975-04-13	1975-12-31	  1.00E+02  	  9.90E+01  	  1.91E+02
00204	DEPTH-M  1% LIGHT REMAINS 	DEPTH IN METERS AT WHICH 1% SURFACE LIGHT REMAINS 	2     	47    	1984-05-30	1987-06-30	  1.00E+00  	  2.00E+00  	  1.02E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	642   	1983-07-12	1987-06-30	  1.00E+01  	  9.90E+00  	  5.13E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	4     	617   	1974-04-24	1976-06-21	   .00E+00  	  9.96E-01  	  3.47E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	6     	1250  	1974-04-24	1987-06-30	   .00E+00  	  9.93E+01  	  4.36E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	3     	78    	1974-04-24	1976-06-21	  1.02E+01  	  9.40E+00  	  8.07E+00
00400	PH        SU              	PH (STANDARD UNITS)                               	6     	1259  	1974-04-24	1987-06-30	  1.00E+00  	  9.20E+00  	  6.73E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	2     	54    	1983-09-06	1987-06-30	  1.00E+01  	  8.00E+00  	  2.24E+01
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	3     	80    	1974-04-24	1976-06-21	  1.00E+01  	  9.45E+01  	  4.02E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	2     	292   	1983-07-12	1987-06-30	  1.00E+01  	  9.60E+01  	  2.64E+01
00592	TOTINORG N WTM G  F/F MG/L	NITROGEN,INORGANIC,TOTAL CALC,WHATMAN GF/F MG/L N 	2     	601   	1983-07-12	1987-06-30	  1.00E-01  	  9.97E-01  	  4.55E-01
00593	NO2&NO3- N TOTWTM GF/FMG/L	NO2 & NO3-N,TOTAL,WHATMAN GF/F FILTERED MG/L      	2     	601   	1983-07-12	1987-06-30	  1.00E-01  	  9.90E-02  	  1.70E-01
00594	AMMONIA- N DISS   WTM GF/F	NH3 & NH4-N,DISS,WHATMAN GF/F FILTERED MG/L       	2     	601   	1983-07-12	1987-06-30	  1.01E+00  	  9.94E-01  	  2.86E-01
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	5     	681   	1974-04-24	1987-06-30	  1.00E+01  	  9.99E-01  	  2.16E+00
00605	ORG N    N        MG/L    	NITROGEN, ORGANIC, TOTAL (MG/L AS N)              	2     	599   	1983-07-12	1987-06-30	  1.00E+00  	  9.98E-01  	  9.47E-01
00608	NH3+NH4- N DISS   MG/L    	NITROGEN, AMMONIA, DISSOLVED (MG/L AS N)          	3     	80    	1974-04-24	1976-06-21	  1.00E+01  	  9.50E+00  	  4.74E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	3     	80    	1974-04-24	1976-06-21	  1.13E-02  	  9.66E-04  	  1.26E-02
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	3     	80    	1974-04-24	1976-06-21	  1.17E-03  	  9.85E-03  	  1.53E-02
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	5     	681   	1974-04-24	1987-06-30	  1.00E+01  	  9.90E-01  	  1.82E+00
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	3     	80    	1974-04-24	1976-06-21	  1.00E+00  	  9.70E-01  	  1.63E+00
00640	T INORG. NITROGEN MG/L N  	NITROGEN, INORGANIC, TOTAL (MG/L AS N)            	3     	80    	1974-04-24	1976-06-21	  1.02E+01  	  9.84E+00  	  6.39E+00
00651	PHOS D   OP WTM G F/F MG/L	PHOSPHOROUS DISS ORTHOPHOSPHATE WTM GF/F MG/L     	2     	601   	1983-07-12	1987-06-30	  1.00E-02  	  9.80E-02  	  3.76E-02
00652	PHOS-DIS TOT WTM  MG/L P  	PHOSPHOROUS DISSOLVED TOTAL WHATMAN GF/F MG/L P   	2     	601   	1983-07-12	1987-06-30	  1.00E-01  	  9.90E-02  	  4.97E-02
00662	PHOSPHOR WTR  TOT REC UG/L	PHOSPHORUS (P), WATER, TOTAL RECOVERABLE      UG/L	1     	1     	1986-04-22	1986-04-22	  4.20E+01  	  4.20E+01  	  4.20E+01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	5     	681   	1974-04-24	1987-06-30	  1.00E-01  	  9.90E-02  	  4.42E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	3     	80    	1974-04-24	1976-06-21	  1.00E+00  	  9.20E-02  	  2.13E+00
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	2     	292   	1983-07-12	1987-06-30	  1.00E+01  	  9.00E+00  	  9.00E+00
00682	CARBON I N&ORG.DI SS.MG/L 	CARBON, DISSOLVED-INORGANIC + ORGANIC (MG/L ASC   	3     	15    	1974-04-24	1974-08-28	  1.00E+01  	  3.60E+01  	  2.21E+01
00684	D ORG C  WTM GF/F MG/L C  	CARBON DISSOLVED ORGANIC WHATMAN GF/F MG/L AS C   	2     	292   	1983-07-12	1987-06-30	  1.00E+01  	  9.00E+00  	  7.50E+00
00685	T. INORG C        MG/L    	CARBON, TOTAL INORGANIC (MG/L AS C)               	3     	15    	1974-04-24	1974-08-28	   .00E+00  	  9.00E+00  	  9.40E+00
00690	T-CARBON C        MG/L    	CARBON, TOTAL (MG/L AS C)                         	3     	15    	1974-04-24	1974-08-28	  1.00E+01  	  3.90E+01  	  2.10E+01
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	4     	4     	1981-04-14	1981-04-17	  1.24E+04  	  1.84E+04  	  1.62E+04
00918	CALCIUMT OT.REC.  MG/L    	CALCIUM,TOTAL RECOVERABLE IN WATER AS CA     MG/L 	1     	1     	1986-04-22	1986-04-22	  5.78E+01  	  5.78E+01  	  5.78E+01
00921	MGNESIUM TOT.REC. MG/L    	MAGNESIUM,TOTAL RECOVERABLE IN WATER AS MG   MG/L 	1     	1     	1986-04-22	1986-04-22	  1.01E+01  	  1.01E+01  	  1.01E+01
00923	SODIUM   TOT.REC. MG/L    	SODIUM,TOTAL RECOVERABLE IN WATER AS NA      MG/L 	1     	1     	1986-04-22	1986-04-22	  2.15E+01  	  2.15E+01  	  2.15E+01
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	4     	4     	1981-04-14	1981-04-17	  2.70E+03  	  3.60E+03  	  3.33E+03
00934	NA MUD   DRY WGT  MG/KG-NA	SODIUM IN BOTTOM DEPOSITS (MG/KG AS NA DRY WGT)   	4     	4     	1981-04-14	1981-04-17	  1.00E+02  	  9.60E+02  	  5.85E+02
00939	POTASIUM TOT.REC. MG/L    	POTASSIUM,TOTAL RECOVERABLE IN WATER AS K    MG/L 	1     	1     	1986-04-22	1986-04-22	  4.92E-01  	  4.92E-01  	  4.92E-01
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	5     	67    	1975-03-24	1987-06-16	  1.00E+01  	  9.40E+00  	  1.75E+01
00945	SULFATE  SO4-TOT  MG/L    	SULFATE, TOTAL (MG/L AS SO4)                      	2     	20    	1983-09-06	1987-06-16	  1.00E+01  	  9.00E+00  	  9.05E+00
