Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370050C        	TARBORO STP AT TARBORO NC TO TAR RIVER / TAR-PAMLICO RIVER BASIN / SLUDGE      DIGESTED SLUDGE                                                                                	USEPA REGION 4           	North Carolina                	Edgecombe                     	 35.903333	-77.536667                               	 198000E-2  	 	03020103	00026	1978-06-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370050C        	TARBORO STP AT TARBORO NC TO TAR RIVER / TAR-PAMLICO RIVER BASIN / SLUDGE      DIGESTED SLUDGE                                                                                	USEPA REGION 4           	North Carolina                	Edgecombe                     	 35.903333	-77.536667                               	 197900E-2  	 	03020103	00026	1978-06-08	      0830	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370050C        	TARBORO STP AT TARBORO NC TO TAR RIVER / TAR-PAMLICO RIVER BASIN / SLUDGE      DIGESTED SLUDGE                                                                                	USEPA REGION 4           	North Carolina                	Edgecombe                     	 35.903333	-77.536667                               	 197900E-2  	 	03020103	00026	1978-06-08	      0800	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 190000E-3  	 	03020103	00662	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 279000E-5  	 	03020103	00918	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 121000E-5  	 	03020103	00921	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 946000E-4  	 	03020103	00923	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 698000E-5  	 	03020103	00939	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 500000E-5  	K	03020103	00978	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 600000E-5  	K	03020103	00979	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45                                   	 690000E-4  	 	03020103	00980	1986-04-22	      1015	          	        	            	        	                	  	                     	B 	                                                            	
