Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370050C        	TARBORO STP AT TARBORO NC TO TAR RIVER / TAR-PAMLICO RIVER BASIN / SLUDGE      DIGESTED SLUDGE                                                                                	USEPA REGION 4           	North Carolina                	Edgecombe                     	 35.903333	-77.536667 	03020103	            013	          8.36	OFF     	TAR R                                                       	NC0020605 C,TDS      TAR                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
111WS   	124NSP         	TARBORD MUNICIPAL WATER WORKS / SOUTHEAST / TAR RIVER                                                                                                                         	USEPA HQ                 	North Carolina                	Edgecombe                     	          	           	03020103	            013	          9.76	OFF     	TAR R                                                       	none                                    	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	          999	FEET                	 	 	NATIONAL SURVEY FOR ALDRIN,DIELDRIN,AND DDT IN DRINKING WATER RAW WATER SAMPLE AT MUNICIPAL WATER WORKS SURFACE WATER SOURCE
12OWNIRS	NC0433030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Edgecombe                     	      35.8	-77.45     	03020103	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           56	FEET                	 	 	none
21NC37GW	ED2051         	TARBORO / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Edgecombe                     	     36.97	-77.436111 	03010201	               	              	        	                                                            	I25I2,100ED2051                         	/TYPA/AMBNT/WELL                                                 	          190	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1972 MEASURED MONTHLY AQUIFER KT
21NC37GW	ED2382         	EDGECOMBE COUNTY / SOUTHEAST / TAR RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Edgecombe                     	 35.788889	-77.638889 	03020103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          229	FEET                	 	G	none
21NC37GW	ED2383         	EDGECOMBE COUNTY / SOUTHEAST / TAR RIVER                                                                                                                                      	NC DE&NR                 	North Carolina                	Edgecombe                     	     35.67	-77.500278 	03020103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          600	FEET                	 	G	none
21NC37GW	ED2424         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Edgecombe                     	 35.916667	-77.666667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          621	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	ED2425         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Edgecombe                     	 35.916667	-77.666667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	ED2426         	MACCLESFIELD / SOUTHEAST / TAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Edgecombe                     	 35.756389	-77.689444 	03020103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          234	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	ED2427         	TARBORO / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Edgecombe                     	 35.816667	-77.55     	03020103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           37	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
