Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-05-22	      1135	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-06-05	      1110	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-06-26	      1045	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-07-17	      1205	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-08-14	      1040	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-09-11	      1115	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-09-25	      0930	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC06      	BASHAVIA CREEK AT SR 1443 (RIVER RIDGE RD) / SOUTHEAST / YADKIN                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.155833	-80.425556                               	 500000E-4  	 	03040101	00002	1984-10-16	      0930	          	        	           0	        	                	  	                     	B 	                                                            	
21NC77WQ	TSYADBC19      	BLANKET CREEK AT YADKIN RIVER / SOUTHEAST / YADKIN                                                                                                                            	NC DE&NR                 	North Carolina                	Forsyth                       	 36.021389	-80.425556                               	 500000E-4  	 	03040101	00002	1984-05-22	      1225	          	        	           0	        	                	  	                     	B 	                                                            	
