Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370058A        	ARCHIE ELLEDGE STP AT WINSTON-SALEM NC SALEM CR / YADKIN-PEE DEE R BASIN / INFLUENT    COMBINED INFLUENT                                                                      	USEPA REGION 4           	North Carolina                	Forsyth                       	      36.1	-80.245    	03040101	               	              	        	                                                            	NC0024198 A,I-3      AES                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370058B        	ARCHIE ELLEDGE STP AT WINSTON-SALEM NC SALEM CR / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Forsyth                       	      36.1	-80.245    	03040101	               	              	        	                                                            	NC0024198 B,E-1      AES                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
12OWNIRS	NC0285108      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Forsyth                       	 36.266667	-80.3      	03010103	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	          118	FEET                	 	 	none
21NC37GW	FO1199         	WALKERTOWN / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Forsyth                       	 36.183056	-80.191389 	03010103	               	              	        	                                                            	F58V1,100FO1199                         	/TYPA/AMBNT/WELL                                                 	          264	FEET                	 	G	none
21NC37GW	FO1206         	WINSTON-SALEM / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Forsyth                       	 36.275556	-80.280278 	03010103	               	              	        	                                                            	F59S1,100FO1206                         	/TYPA/AMBNT/WELL                                                 	          211	FEET                	 	G	none
21NC37GW	FO3024         	WINSTON-SALEM / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Forsyth                       	 36.076389	-80.354444 	03040101	               	              	        	                                                            	H60B3,100FO3024                         	/TYPA/AMBNT/WELL                                                 	           41	FEET                	 	G	none
21NC37GW	FO4642         	WALKERTOWN / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Forsyth                       	     36.15	-80.166667 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4644         	HIGH POINT / SOUTHEAST / YADKIN - PEEDEE                                                                                                                                      	NC DE&NR                 	North Carolina                	Forsyth                       	     36.05	-80.15     	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          265	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4646         	WINSTON SALEM / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Forsyth                       	     36.15	-80.383333 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           37	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4647         	WALKERTOWN / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Forsyth                       	 36.183333	-80.133333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           83	FEET                	 	G	R. D. CAIN C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4648         	GERMANTON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Forsyth                       	 36.233333	-80.233333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           56	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4649         	WINSTON SALEM / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Forsyth                       	 36.166667	-80.2      	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           82	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4650         	WINSTON SALEM / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Forsyth                       	        36	-80.083333 	03040103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           70	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4651         	WINSTON SALEM / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Forsyth                       	        36	-80.216667 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           46	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4652         	LEWISVILLE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Forsyth                       	      36.1	-80.266667 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          295	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4653         	KING / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                             	NC DE&NR                 	North Carolina                	Forsyth                       	     36.25	-80.333333 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4654         	CLEMMONS / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Forsyth                       	 35.995833	-80.345833 	03040101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FO4655         	WINSTON SALEM / SOUTHEAST / ROANOKE                                                                                                                                           	NC DE&NR                 	North Carolina                	Forsyth                       	 36.241667	-80.252778 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           43	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
