Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 160000E-4  	 	03020201	00010	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 860000E-4  	 	03020201	00094	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 620000E-5  	 	03020201	00300	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 620000E-4  	$	03020201	00301	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 660000E-5  	 	03020201	00400	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 620000E-5  	 	03020201	00403	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 150000E-5  	 	03020201	00530	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 360000E-6  	 	03020201	00600	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J5610000       	LITTLE RIVER @HARRIS CROSSROADS INACT-741030 / SE / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Franklin                      	     35.96	-78.408333                               	 300000E-6  	K	03020201	00610	1994-12-07	      1518	          	        	         .49	        	                	  	                     	B 	                                                            	
