Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	FR1081         	FRANKLINTON / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Franklin                      	 36.101389	-78.466944 	03020101	               	              	        	                                                            	G37Q1,100FR1081                         	/TYPA/AMBNT/WELL                                                 	          384	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1962 MEASURED MONTHLY AQUIFER MIC GN
21NC37GW	FR1670         	MOULTON / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Franklin                      	 36.178056	-78.210833 	03020101	               	              	        	                                                            	F34W2,100FR1670                         	/TYPA/AMBNT/WELL                                                 	           62	FEET                	 	G	none
21NC37GW	FR1671         	CENTERVILLE / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Franklin                      	 36.156389	-78.143889 	03020101	               	              	        	                                                            	G33D1,100FR1671                         	/TYPA/AMBNT/WELL                                                 	          152	FEET                	 	G	none
21NC37GW	FR1673         	LOUISBURG / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Franklin                      	 36.059444	-78.468611 	03020101	               	              	        	                                                            	H36H2,100FR1673                         	/TYPA/AMBNT/WELL                                                 	           31	FEET                	 	G	none
21NC37GW	FR1675         	RALEIGH / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Franklin                      	        36	-78.416667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FR1676         	RALEIGH / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Franklin                      	        36	-78.416667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FR1677         	FRANKLINTON / SOUTHEAST / NEUSE                                                                                                                                               	NC DE&NR                 	North Carolina                	Franklin                      	     36.05	-78.516667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FR1680         	YOUNGVILLE / SOUTHEAST / NEUSE                                                                                                                                                	NC DE&NR                 	North Carolina                	Franklin                      	 36.016667	-78.466667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          175	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FR1681         	FRENKLINTON / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Franklin                      	      36.1	-78.45     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FR1682         	BUNN / SOUTHEAST / NEUSE                                                                                                                                                      	NC DE&NR                 	North Carolina                	Franklin                      	     35.95	-78.383333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FR1684         	LOUISBURG / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Franklin                      	 36.083333	-78.25     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          225	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	FR1688         	BUNN / SOUTHEAST / NEUSE                                                                                                                                                      	NC DE&NR                 	North Carolina                	Franklin                      	     35.95	-78.4      	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
