
Gaston, NC
Number of Stations = 139


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	24    	106   	1973-07-24	1990-09-05	  1.00E+01  	  9.00E+01  	  4.95E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	67    	351   	1973-04-02	1980-02-21	  1.06E+04  	  6.84E+03  	  3.98E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	64    	801   	1973-04-02	1990-09-05	  1.24E+01  	  4.20E+01  	  2.57E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	7     	41    	1989-06-19	1990-08-23	  2.15E+01  	  3.40E+01  	  2.74E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	10    	15    	1979-02-06	1980-02-21	  1.98E+03  	  1.98E+03  	  1.98E+03
00041	WEATHER  WMO CODE 4501    	WEATHER (WMO CODE 4501)                           	7     	41    	1989-06-19	1990-08-23	   .00E+00  	  2.20E+01  	  4.12E+00
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	1     	18    	1989-04-17	1990-09-05	  1.15E+01  	  3.37E+01  	  2.09E+01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	15    	55    	1973-07-17	1973-08-01	  1.00E+01  	  9.00E+01  	  1.34E+02
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	2     	26    	1973-04-02	1973-09-20	  5.20E+01  	  9.70E+01  	  7.45E+01
