Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12NSS   	3B070050L      	HACKLEY CREEK /  /                                                                                                                                                            	EPA ENVIRONMENTAL RES LAB	North Carolina                	Gates                         	 36.470556	-76.785833 	03010203	               	              	        	                                                            	3B03B070050L                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	3B070050U      	HACKLEY CREEK /  /                                                                                                                                                            	EPA ENVIRONMENTAL RES LAB	North Carolina                	Gates                         	 36.480278	-76.786667 	03010203	               	              	        	                                                            	3B03B070050U                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
21NC37GW	GA1060         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC DE&NR                 	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S4,100GA1060                         	/TYPA/AMBNT/WELL                                                 	          953	FEET                	 	G	none
21NC37GW	GA1061         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC DE&NR                 	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S5,100GA1061                         	/TYPA/AMBNT/WELL                                                 	          570	FEET                	 	G	none
21NC37GW	GA1062         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC DE&NR                 	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S6,100GA1062                         	/TYPA/AMBNT/WELL                                                 	          264	FEET                	 	G	none
21NC37GW	GA1063         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC DE&NR                 	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S7,100GA1063                         	/TYPA/AMBNT/WELL                                                 	           31	FEET                	 	G	none
21NC37GW	GA1250         	GATES COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Gates                         	    36.525	-76.6      	03010205	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          375	FEET                	 	G	none
21NC37GW	GA1251         	GATES COUNTY / SOUTHEAST / CHOWAN RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Gates                         	      36.5	-76.75     	03010203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          461	FEET                	 	G	none
21NCGWNW	GA1060         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC ENV. HTH. NAT. RES.   	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S4,100GA1060                         	/TYPA/AMBNT/WELL                                                 	          953	FEET                	 	G	none
21NCGWNW	GA1061         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC ENV. HTH. NAT. RES.   	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S5,100GA1061                         	/TYPA/AMBNT/WELL                                                 	          570	FEET                	 	G	none
21NCGWNW	GA1062         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC ENV. HTH. NAT. RES.   	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S6,100GA1062                         	/TYPA/AMBNT/WELL                                                 	          264	FEET                	 	G	none
21NCGWNW	GA1063         	SUNBURY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                      	NC ENV. HTH. NAT. RES.   	North Carolina                	Gates                         	 36.447222	-76.601667 	03010205	               	              	        	                                                            	C15S7,100GA1063                         	/TYPA/AMBNT/WELL                                                 	           31	FEET                	 	G	none
