Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1118ATL8	110205         	JOYCE KILMER SPRING / TENNESSEE RIVER / LITTLE TENNESSEE RIVER                                                                                                                	US FOREST SERVICE        	North Carolina                	Graham                        	 35.354167	-83.93     	06010204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/SPRING                                               	            0	FEET                	 	G	none
11EPALES	371601         	SANTEELAH LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Graham                        	 35.375833	-83.876111 	06010204	            028	         10.85	OFF     	SANTEETLAH L                                                	none                                    	/TYPA/AMBNT/LAKE                                                 	          175	FEET                	S	 	NEAR DAM, ABOUT 50 YDS FM CENTER OF SPILLWAY. COMMENTS: 6-3 FORRELL 10; 1% LIGHT AT 27 FT; CHANNEL A OFFSET EQUALS PLUS 100; VERY CLEAR GREEN; DEPTH 175 FT. 8-22 ULE 9; 1% LIGHT AT 25 FT; VERY CLEAR GREEN W/O SURFACE ALGAE OR HIGHER AQUATICS, SOME SUBMERGED HIGHER AQUATICS IN SHALLOW AREAS; INTEGRATED FM 25 FT TO SURF; DEPTH 180 MAP: USGS TAPOCO QUAD
11EPALES	371602         	SANTEELAH LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Graham                        	    35.355	-83.863889 	06010204	            026	          5.65	OFF     	SANTEETLAH L                                                	none                                    	/TYPA/AMBNT/LAKE                                                 	          110	FEET                	S	 	CENTRAL AREA OF LAKE, DUE S OF BROOKS GAP (FACING A-FRAME HOUSE ON N SHORE) JUST N OF ISLAND. COMMENTS: 6-3 FORRELL 10; 1% LIGHT AT 18 FT; WATER SAME AS SITE 1. 8-22 NOT SAMPLED. MAP: USGS ROBBINSVILLE QUAD
11EPALES	371603         	SANTEETLAH LAKE /  /                                                                                                                                                          	USEPA                    	North Carolina                	Graham                        	 35.340833	-83.866667 	06010204	            026	         10.45	OFF     	SANTEETLAH L                                                	none                                    	/TYPA/AMBNT/LAKE                                                 	           60	FEET                	S	 	SW ARM OF LAKE, BUFFALO CREEK AREA, CENTER OF OPEN AREA. COMMENTS: 6-3 FORRELL 11; 1% LIGHT AT 27 FT; VERY CLEAR W/O VISIBLE ALGAE. 8-22 ULE 12; 1% LIGHT AT 21 FT; VERY CLEAR GREEN W/O SURF ALGAE OR HIGHER AQUATICS; INTEGRATED FM 25 FT TO SURF; DEPTH 75 FT. MAP: USGS ROBBINSVILLE QUAD
11EPALES	371604         	SANTEETLAH LAKE /  /                                                                                                                                                          	USEPA                    	North Carolina                	Graham                        	 35.338889	-83.853611 	06010204	            026	         11.85	OFF     	SANTEETLAH L                                                	none                                    	/TYPA/AMBNT/LAKE                                                 	           75	FEET                	S	 	S CENTRAL AREA, JUST N OF PENINSULA SHAPED LIKE AN ARROWHEAD, IN SNOWBIRD CREEK INLET. COMMENS:: 6-3 FORRELL 11; 1% LIGHT AT 21 FT; 1% LIGHT AT SURF AND 12 FT; VERY CLEAR W/O VISIBLE ALGAE. 8-22 ULE 14; 1% LIGHT AT 21 FT; CLEAR GREEN; NO SURF ALGAE OR HIGHER AQUATICS; INTEGRATED FM 20 FT TO SURF; DEPTH 58 FT. MAP: USGS ROBBINSVILLE QUAD
11EPALES	371605         	SANTEETLAH LAKE /  /                                                                                                                                                          	USEPA                    	North Carolina                	Graham                        	    35.345	-83.835556 	06010204	            028	          2.17	OFF     	SANTEETLAH L                                                	none                                    	/TYPA/AMBNT/LAKE                                                 	           75	FEET                	S	 	2 MILES NW OF ROBBINSVILLE, ON CHEOAH RIVER ARM (AT E END OF LAKE) ABOUT 1 MILE E OF JCT W/SNOWBIRD CREEK. COMMENTS: 6-3 ULE 13; STEEP TEMP SLOPE SURF TO 20 FT. 8-22 ULE 12; 1% LIGHT AT 21 FT; NO SURF ALGAE OR HIGHER AQUATICS; CLEAR GREEN; INTEGRATE FM 25 TO SURF; DEPTH 72 FT. MAP: USGS ROBBINSVILLE QUAD
12ELS1  	3A1-004        	LAKE CHEOAH /  /                                                                                                                                                              	EPA ENVIRONMENTAL RES LAB	North Carolina                	Graham                        	     35.45	-83.929167 	06010204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	          167	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12ELS1  	3A2-007        	FONTANA LAKE /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Graham                        	     35.45	-83.791667 	06010204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	          337	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12ELS1  	3A2-062        	SANTEETLAH LAKE /  /                                                                                                                                                          	EPA ENVIRONMENTAL RES LAB	North Carolina                	Graham                        	 35.366667	-83.875    	06010204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	          150	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
