
Graham, NC
Number of Stations = 46


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	18    	2291  	1966-08-25	1996-10-29	  3.00E+01  	  5.00E+01  	  4.93E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	8     	160   	1973-06-03	1996-09-05	  1.03E+04  	  9.55E+03  	  1.34E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	27    	4994  	1961-10-03	1997-11-05	  1.00E+01  	  9.96E+00  	  1.30E+01
00019	SAMPLE   WEIGHT   GRAMS   	SAMPLE WEIGHT IN GRAMS                            	2     	24    	1987-09-23	1993-11-18	  1.01E+03  	  9.77E+02  	  7.67E+02
00039	SAMPLE   LENGTH   MM      	SAMPLE LENGTH IN MILLIMETERS                      	2     	24    	1987-09-23	1993-11-18	  3.41E+02  	  5.38E+02  	  4.28E+02
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	1     	7     	1993-04-21	1993-10-19	  1.58E+03  	  5.50E+03  	  3.78E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	5     	1872  	1966-05-04	1997-11-05	   .00E+00  	  9.97E+02  	  4.96E+03
00062	WATER    SURF ELE IN FEET 	ELEVATION, RESERVOIR SURFACE WATER IN FEET        	1     	14    	1993-04-21	1994-10-20	  1.65E+03  	  1.70E+03  	  1.69E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	5     	1985-03-28	1985-07-16	  5.00E-01  	  5.60E-01  	  5.48E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	6     	189   	1966-05-04	1980-06-17	  1.00E+01  	  9.30E+00  	  3.35E+00
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	5     	98    	1973-06-03	1973-10-26	  1.00E+02  	  9.90E+01  	  9.35E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	5     	15    	1973-06-03	1973-10-26	  1.03E+02  	  9.60E+01  	  1.34E+02
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	4     	29    	1984-11-20	1996-10-29	  2.25E+00  	  8.10E+00  	  4.42E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	13    	194   	1966-05-04	1986-12-02	  1.00E+01  	  9.00E+00  	  7.38E+00
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	6     	140   	1974-01-28	1986-12-02	  1.00E+01  	  9.00E+00  	  1.37E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	1     	8     	1966-05-04	1967-01-30	  1.00E+00  	  1.00E+00  	  1.00E+00
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	2     	112   	1979-04-25	1995-04-26	  5.38E+02  	  6.43E+02  	  6.07E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	18    	2106  	1973-10-26	1996-10-29	   .00E+00  	  9.00E+00  	  2.12E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	18    	463   	1966-05-04	1986-12-02	  1.00E+01  	  9.80E+01  	  2.68E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	15    	1428  	1978-01-17	1986-12-02	  1.00E+02  	  9.70E+01  	  1.94E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	3     	3     	1984-11-20	1984-11-20	  1.43E+00  	  1.63E+00  	  1.55E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	5     	1985-03-28	1985-07-16	  1.00E+01  	  9.30E+00  	  9.04E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	22    	4643  	1961-10-03	1997-11-05	   .00E+00  	  9.99E+00  	  7.59E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	24    	4636  	1961-10-03	1997-11-05	   .00E+00  	  9.99E+01  	  7.10E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	6     	65    	1966-05-04	1980-06-17	  1.00E+00  	  2.40E+00  	  1.11E+00
00326	BOD      28 DAY   MG/L    	BOD, 28 DAY, 20 DEG C                         MG.L	1     	1     	1970-09-29	1970-09-29	  1.00E+00  	  1.00E+00  	  1.00E+00
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	4     	133   	1974-01-28	1979-02-26	  1.00E+00  	  9.00E+00  	  3.35E+00
00339	COD MUD  DRY WGT  MG/KG   	COD, BOTTOM DEPOSITS, DRY WEIGHT             MG/KG	2     	2     	1973-06-27	1973-06-27	  1.01E+05  	  6.56E+04  	  8.33E+04
00400	PH        SU              	PH (STANDARD UNITS)                               	22    	2638  	1966-05-04	1996-10-29	  4.10E+00  	  8.90E+00  	  6.39E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	7     	21    	1982-10-18	1986-12-02	  6.45E+00  	  7.39E+00  	  6.94E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	5     	8     	1984-11-20	1985-07-16	  1.39E+02  	  2.44E+02  	  1.75E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	13    	314   	1966-05-04	1986-12-02	   .00E+00  	  9.00E+00  	  7.44E+00
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	6     	203   	1966-05-04	1980-06-17	   .00E+00  	   .00E+00  	   .00E+00
