Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 260000E-4  	 	03020201	00010	1983-07-12	      2500	          	        	           7	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 290000E-4  	 	03020201	00010	1983-07-12	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 240000E-4  	 	03020201	00010	1983-07-26	      2500	          	        	          13	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 280000E-4  	 	03020201	00010	1983-07-26	      2500	          	        	           7	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 290000E-4  	 	03020201	00010	1983-07-26	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 250000E-4  	 	03020201	00010	1983-08-09	      2500	          	        	          13	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 285000E-4  	 	03020201	00010	1983-08-09	      2500	          	        	           7	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 290000E-4  	 	03020201	00010	1983-08-09	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722                               	 250000E-4  	 	03020201	00010	1983-08-23	      2500	          	        	          13	        	                	  	                     	B 	                                                            	
