Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
121WILEN	FLSNS17A       	FALLS LAKE JUST UPSTRM OF I-85 BRIDGE -SEE #5 / SOUTHEAST / NEUSE RIVER                                                                                                       	CORPS OF ENGINEERS       	North Carolina                	Granville                     	 36.070444	-78.779722 	03020201	            039	           .95	OFF     	NEUSE R                                                     	none                                    	/RESERV/TYPA/AMBNT                                               	           20	FEET                	S	 	TO BE ADDED LATER
12OWNIRS	NC0239104      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Granville                     	      36.1	-78.75     	03020201	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           73	FEET                	 	 	none
21NC37GW	GV1075         	OXFORD / SOUTHEAST / TAR                                                                                                                                                      	NC DE&NR                 	North Carolina                	Granville                     	 36.305556	-78.584167 	03020101	               	              	        	                                                            	E39J1,100GV1075                         	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	GV1077         	PROVIDENCE / SOUTHEAST / TAR                                                                                                                                                  	NC DE&NR                 	North Carolina                	Granville                     	   36.2525	-78.660833 	03020101	               	              	        	                                                            	E39Y1,100GV1077                         	/TYPA/AMBNT/WELL                                                 	           10	FEET                	 	G	none
21NC37GW	GV1080         	OXFORD / SOUTHEAST / TAR                                                                                                                                                      	NC DE&NR                 	North Carolina                	Granville                     	 36.238889	-78.639167 	03020101	               	              	        	                                                            	F39D2,100GV1080                         	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	none
21NC37GW	GV1139         	BULLOCK / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Granville                     	 36.526944	-78.595833 	03010102	               	              	        	                                                            	B39T1,100GV1139                         	/TYPA/AMBNT/WELL                                                 	           85	FEET                	 	G	none
21NC37GW	GV2064         	OXFORD / SOUTHEAST / TAR                                                                                                                                                      	NC DE&NR                 	North Carolina                	Granville                     	 36.266667	-78.533333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GV2065         	OXFORD / SOUTHEAST / TAR                                                                                                                                                      	NC DE&NR                 	North Carolina                	Granville                     	 36.266667	-78.55     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          142	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GV2066         	OXFORD / SOUTHEAST / TAR                                                                                                                                                      	NC DE&NR                 	North Carolina                	Granville                     	 36.266667	-78.55     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          142	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
