Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 900000E-5  	 	03020203	00010	1994-12-12	      1330	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 900000E-5  	 	03020203	00010	1995-01-19	      1320	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 200000E-5  	 	03020203	00010	1995-02-13	      1045	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 900000E-5  	 	03020203	00010	1995-03-13	      1000	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 125000E-4  	 	03020203	00010	1995-04-11	      1105	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 170000E-4  	 	03020203	00010	1995-05-11	      1145	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 190000E-4  	 	03020203	00010	1995-05-25	      1545	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 180000E-4  	 	03020203	00010	1995-06-14	      1110	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 200000E-4  	 	03020203	00010	1995-06-25	      1525	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 220000E-4  	 	03020203	00010	1995-07-18	      1110	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 225000E-4  	 	03020203	00010	1995-07-25	      1335	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 200000E-4  	 	03020203	00010	1995-08-08	      1210	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 195000E-4  	 	03020203	00010	1995-08-21	      1245	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 195000E-4  	 	03020203	00010	1995-09-15	      1020	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 160000E-4  	 	03020203	00010	1995-09-25	      0110	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 175000E-4  	 	03020203	00010	1995-10-11	      1130	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 100000E-4  	 	03020203	00010	1995-11-28	      1140	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 350000E-5  	 	03020203	00010	1995-12-13	      1205	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 800000E-5  	 	03020203	00010	1996-01-16	      1240	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 800000E-5  	 	03020203	00010	1996-02-15	      1210	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 600000E-5  	 	03020203	00010	1996-03-12	      1255	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 700000E-5  	 	03020203	00010	1996-04-09	      1230	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 140000E-4  	 	03020203	00010	1996-05-14	      1340	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 160000E-4  	 	03020203	00010	1996-05-22	      1330	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 220000E-4  	 	03020203	00010	1996-06-11	      1440	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 220000E-4  	 	03020203	00010	1996-06-18	      1015	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 260000E-4  	 	03020203	00010	1996-07-10	      1315	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 220000E-4  	 	03020203	00010	1996-07-15	      1625	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 230000E-4  	 	03020203	00010	1996-08-14	      1630	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 245000E-4  	 	03020203	00010	1996-08-21	      1245	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 230000E-4  	 	03020203	00010	1996-10-18	      1155	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 100000E-4  	 	03020203	00010	1996-11-22	      1645	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 105000E-4  	 	03020203	00010	1996-12-19	      1730	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 850000E-5  	 	03020203	00010	1997-02-12	      1225	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 133000E-4  	 	03020203	00010	1997-03-10	      1230	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 153000E-4  	 	03020203	00010	1997-04-09	      1050	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 168000E-4  	 	03020203	00010	1997-05-12	      1400	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 190000E-4  	 	03020203	00010	1997-05-22	      1230	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 170000E-4  	 	03020203	00010	1997-06-09	      1450	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 210000E-4  	 	03020203	00010	1997-06-17	      1135	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 261000E-4  	 	03020203	00010	1997-07-08	      1535	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 256000E-4  	 	03020203	00010	1997-07-16	      1250	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7325000       	NAHUNTA SWAMP AT NC HWY 58 NEAR CONTENTNEA NC / SOUTHEAST / NEUSE                                                                                                             	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Greene                        	 35.508333	-77.744444                               	 229000E-4  	 	03020203	00010	1997-08-11	      1520	          	        	         .49	        	                	  	                     	B 	                                                            	
