Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	GR1088         	MUARY / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Greene                        	 35.461667	-77.575833 	03020203	               	              	        	                                                            	02601,100GR1088                         	/TYPA/AMBNT/WELL                                                 	           65	FEET                	 	G	none
21NC37GW	GR1309         	WALSTONBURG / SOUTHEAST / NEUSE                                                                                                                                               	NC DE&NR                 	North Carolina                	Greene                        	 35.520556	-77.696667 	03020203	               	              	        	                                                            	N28S1,100GR1309                         	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	none
21NC37GW	GR1351         	MAURY / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Greene                        	 35.477778	-77.599722 	03020203	               	              	        	                                                            	027J2,100GR1351                         	/TYPA/AMBNT/WELL                                                 	           55	FEET                	 	G	none
21NC37GW	GR1352         	MAURY / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Greene                        	 35.477778	-77.599722 	03020203	               	              	        	                                                            	O27J3,100GR1352                         	/TYPA/AMBNT/WELL                                                 	           55	FEET                	 	G	none
21NC37GW	GR1356         	MAURY / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Greene                        	 35.477778	-77.599722 	03020203	               	              	        	                                                            	027J5,100GR1356                         	/TYPA/AMBNT/WELL                                                 	          115	FEET                	 	G	none
21NC37GW	GR1357         	MAURY / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Greene                        	 35.477778	-77.599722 	03020203	               	              	        	                                                            	O27J6,100GR1357                         	/TYPA/AMBNT/WELL                                                 	          326	FEET                	 	G	none
21NC37GW	GR1366         	SNOW HILL / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Greene                        	 35.441667	-77.825    	03020203	               	              	        	                                                            	O29P1,100GR1366                         	/TYPA/AMBNT/WELL                                                 	           58	FEET                	 	G	none
21NC37GW	GR1367         	MAURY / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Greene                        	 35.458889	-77.575    	03020203	               	              	        	                                                            	O26O2,100GR1367                         	/TYPA/AMBNT/WELL                                                 	          211	FEET                	 	G	none
21NC37GW	GR1369         	SNOW HILL / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Greene                        	 35.421111	-77.656667 	03020203	               	              	        	                                                            	O27Y3,100GR1369                         	/TYPA/AMBNT/WELL                                                 	           65	FEET                	 	G	none
