Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370148A        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / SLUDGE TAKEN FROM FILTER PRESS                                                                     	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 122300E-2  	 	03030002	00008	1980-05-07	      0840	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370148B        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / INFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 142700E-2  	 	03030002	00008	1976-12-14	      1300	1976-12-15	    1300	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370148B        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / INFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 146900E-2  	 	03030002	00008	1976-12-15	      1445	1976-12-16	    1445	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370148B        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / INFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 151600E-2  	 	03030002	00008	1976-12-16	      1600	1976-12-17	    1600	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370148C        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 143000E-2  	 	03030002	00008	1976-12-14	      0700	1976-12-15	    0700	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370148C        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 141500E-2  	 	03030002	00008	1976-12-14	      1501	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370148C        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 147200E-2  	 	03030002	00008	1976-12-15	      0910	1976-12-16	    0910	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370148C        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 143600E-2  	 	03030002	00008	1976-12-15	      1150	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370148C        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667                               	 143100E-2  	 	03030002	00008	1976-12-15	      1000	          	        	            	        	                	  	                     	B 	                                                            	
