Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370002A        	FIELDCREST MILLS AT STOKESDALE NC / CAPE FEAR RIVER BASIN / EFF FROM FILTERS DIS TO TANK(OCC.OVERFL)                                                                          	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0001651 A,FM-E     FMS                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370038A        	EASTSIDE STP AT HIGH POINT NC TO RICHLAND CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0024210 A,HPE001   ESS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370038B        	EASTSIDE STP AT HIGH POINT NC TO RICHLAND CREEK / YADKIN-PEE DEE R BASIN / SLUDGE      DIGESTER SLUDGE                                                                        	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0024210 B,HPE-D    RCE                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370040A        	WESTSIDE STP AT HIGH POINT NC TO RICH FORK CREEK / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                          	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0024228 A,HPWS001  WSS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370040B        	WESTSIDE STP AT HIGH POINT NC TO RICH FORK CREEK / YADKIN-PEE DEE R BASIN / SLUDGE      VACUUM FILTER SLUDGE                                                                  	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0024228 B,HPWS-F   WSS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370148A        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / SLUDGE TAKEN FROM FILTER PRESS                                                                     	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0023833 A,GRS-S    BUF                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370148B        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / INFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0023833 B,INF      BUF                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370148C        	SOUTH BUFFALO STP AT GREENSBORO NC SO BUFFALO CR / CAPE FEAR RIVER BASIN / EFFLUENT                                                                                           	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0023833 C,EFF      BUF                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370150A        	NORTH BUFFALO STP AT GREENSBORO NC NO BUFFALO CR / CAPE FEAR RIVER BASIN / SLUDGE FROM INCINERATOR (ASH)                                                                      	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0024325 A,GRN-S2   BUF                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370150B        	NORTH BUFFALO STP AT GREENSBORO NC NO BUFFALO CR / CAPE FEAR RIVER BASIN / SLUDGE FROM VACUUM FILTER                                                                          	USEPA REGION 4           	North Carolina                	Guilford                      	 36.016667	-79.816667 	03030002	               	              	        	                                                            	NC0024325 B,GRN-S1   BUF                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
11NPSWRD	GUCO_GSWRS_RC  	RICHLAND CREEK AT GUILFORD COURTHOUSE NMP / SOUTHEAST / CAPE FEAR RIVER                                                                                                       	NATIONAL PARK SERVICE    	North Carolina                	Guilford                      	 36.134556	-79.837694 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THIS SITE IS LOCATED ON THE LAKE BRANDT NORTH CAROLINA 7.5 MINUTE SERIES (TOPOGRAPHIC) QUADRANGLE.  THE SITE IS AT RICHLAND CREEK IN GUILFORD COURTHOUSE NATIONAL MILITARY PARK JUST NORTH OF THE NEW GARDEN ROAD BRIDGE.  DATA WERE COLLECTED BY THE CITY OF GREENSBORO STORM WATER SERVICES ON A MONTHLY BASIS STARTING IN JULY 1996.  SAMPLING WAS CONDUCTED DURING BASEFLOW CONDITIONS.  BIOLOGICAL MONITORING WAS CONDUCTED IN LATE SUMMER 1997 AT THIS SITE AS PART OF A COMPREHENSIVE BIOLOGICAL SURVEY OF GREENSBORO CITY STREAMS.  A FINAL REPORT OF THIS SURVEY SHOULD BE AVAILABLE BY JUNE 1998.  BASEFLOW MONITORING WILL BE REDUCED TO QUARTERLY IN JULY 1998.  FOR MORE INFORMATION CONTACT BETSY JOHNSON; MONITORING COORDINATOR FOR THE CITY OF GREENSBORO STORM WATER SERVICES; CITY OF GREENSBORO; P.O. BOX 3136; GREENSBORO; NC 27402-3136 TEL (336) 373-2123.  DATA WERE PROCESSED AND UPLOADED TO STORET BY ERIC JANNEY OF THE NPS WATER RESOURCES DIVISION; 1201 OAK RIDGE DRIVE; SUITE 250; FORT COLLINS; COLORADO 80525.  TEL (970)225-3516.
21NC37GW	GU1579         	GIBSONVILLE / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Guilford                      	 36.088333	-79.548333 	03030002	               	              	        	                                                            	G50W2,100GU1579                         	/TYPA/AMBNT/WELL                                                 	          500	FEET                	 	G	none
21NC37GW	GU6456         	GIBSONVILLE / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Guilford                      	 36.083333	-79.5      	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          140	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6464         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 35.916667	-79.666667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6465         	JULIAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Guilford                      	 35.908333	-79.658333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6466         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 35.916667	-79.75     	03030003	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6468         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 35.933333	-79.766667 	03030003	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           55	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6470         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	        36	-79.616667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6471         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 36.166667	-79.916667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6474         	HIGH POINT / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 36.016667	-79.95     	03030003	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6475         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	        36	-79.75     	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6477         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 36.083333	-79.583333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          190	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6478         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 36.116667	-79.733333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          275	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6481         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 35.916667	-79.666667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          175	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6487         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	      35.9	-79.683333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           75	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6488         	STOKESDALE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Guilford                      	 36.166667	-79.916667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6492         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	        36	-80        	03030003	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           85	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6493         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 35.916667	-79.666667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6495         	OAK RIDGE / SOUTHEAST / CAPE FEAR                                                                                                                                             	NC DE&NR                 	North Carolina                	Guilford                      	 36.183333	-79.95     	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	GU6497         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Guilford                      	 36.083333	-79.666667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
