
Guilford, NC
Number of Stations = 60


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	5     	13    	1976-12-14	1980-05-07	  1.22E+03  	  1.52E+03  	  1.41E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	1     	18    	1996-07-10	1997-12-10	  1.03E+01  	  8.30E+00  	  1.55E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	10    	21    	1976-12-14	1980-05-07	  1.98E+03  	  1.98E+03  	  1.98E+03
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	1     	18    	1996-07-10	1997-12-10	  1.00E+02  	  9.40E+01  	  8.31E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	18    	1996-07-10	1997-12-10	  1.00E+01  	  9.26E+00  	  8.38E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	1     	18    	1996-07-10	1997-12-10	  1.03E+02  	  9.30E+01  	  8.17E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	4     	28    	1976-12-14	1998-02-10	  1.00E+01  	  8.50E+00  	  4.67E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	4     	28    	1976-12-14	1998-02-10	  1.90E+02  	  8.61E+02  	  1.64E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	1     	18    	1996-07-10	1997-12-10	  6.13E+00  	  7.80E+00  	  6.89E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	2     	6     	1976-12-14	1976-12-16	  3.76E+02  	  7.57E+02  	  5.28E+02
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	2     	6     	1976-12-14	1976-12-16	  1.10E+02  	  4.83E+02  	  2.51E+02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	4     	28    	1976-12-14	1998-02-10	  1.00E+00  	  9.50E+01  	  3.15E+01
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	2     	6     	1976-12-14	1976-12-16	  1.24E+02  	  7.60E+01  	  9.70E+01
00545	RESIDUE  SETTLBLE ML/L    	RESIDUE, SETTLEABLE (ML/L)                        	2     	4     	1976-12-14	1976-12-15	  1.00E-01  	  6.00E+00  	  2.55E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	3     	26    	1976-12-14	1998-02-10	  1.00E+01  	  9.70E+00  	  2.91E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	1     	18    	1996-07-10	1997-12-10	  1.06E-03  	  9.97E-04  	  1.68E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	1     	18    	1996-07-10	1997-12-10	  1.01E-03  	  6.12E-03  	  2.04E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	3     	26    	1976-12-14	1998-02-10	  1.36E+01  	  8.00E-01  	  5.22E+00
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	3     	25    	1976-12-14	1998-02-10	  1.00E-01  	  8.80E-01  	  1.46E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	3     	26    	1976-12-14	1998-02-10	  1.00E-02  	  6.90E+00  	  1.65E+00
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	1     	20    	1996-07-10	1998-02-10	  1.00E-02  	  5.00E-01  	  3.56E-01
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	2     	6     	1976-12-14	1976-12-16	  1.10E+02  	  3.30E+02  	  2.20E+02
00720	CYANIDE  CN-TOT   MG/L    	CYANIDE, TOTAL (MG/L AS CN)                  MG/L 	1     	2     	1977-11-09	1977-11-10	  2.00E-03  	  4.00E-03  	  3.00E-03
00745	SULFIDE  TOTAL    MG/L    	SULFIDE, TOTAL (MG/L AS S)                        	1     	2     	1977-11-08	1977-11-09	  2.00E-01  	  2.00E-01  	  2.00E-01
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	3     	3     	1980-05-07	1980-05-07	  1.00E+04  	  5.25E+04  	  2.50E+04
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	3     	3     	1980-05-07	1980-05-07	  1.10E+04  	  2.80E+03  	  5.27E+03
00934	NA MUD   DRY WGT  MG/KG-NA	SODIUM IN BOTTOM DEPOSITS (MG/KG AS NA DRY WGT)   	3     	3     	1980-05-07	1980-05-07	  1.00E+03  	  5.00E+02  	  1.43E+03
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	1     	12    	1996-07-10	1998-02-10	  1.00E+01  	  6.40E+00  	  5.18E+00
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	1     	5     	1996-07-10	1997-07-08	  5.00E+00  	  5.00E+00  	  5.00E+00
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	3     	3     	1980-05-07	1980-05-07	  2.00E+01  	  5.00E+00  	  1.67E+01
01008	BA MUD   DRY WGT  MG/KG-BA	BARIUM IN BOTTOM DEPOSITS (MG/KG AS BA DRY WGT)   	3     	3     	1980-05-07	1980-05-07	  2.03E+03  	  4.36E+02  	  9.54E+02
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	1     	2     	1977-11-08	1977-11-09	  5.00E+00  	  5.00E+00  	  5.00E+00
01013	BERYLIUM SEDMG/KG DRY WGT 	BERYLLIUM IN BOTTOM DEPOSITS(MG/KG AS BE DRY WGT) 	3     	3     	1980-05-07	1980-05-07	  1.00E+00  	  2.00E+00  	  1.67E+00
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	4     	14    	1976-12-14	1997-10-14	  1.00E+01  	  8.00E-02  	  5.74E+00
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	5     	5     	1978-06-06	1980-05-07	  1.25E+02  	  8.00E+00  	  1.03E+02
01029	CHROMIUM SEDMG/KG DRY WGT 	CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT) 	5     	5     	1978-06-06	1980-05-07	  1.05E+03  	  3.37E+02  	  1.63E+03
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	4     	13    	1976-12-14	1997-07-08	  1.10E+01  	  7.70E+01  	  2.89E+01
01038	CO MUD   DRY WGT  MG/KG-CO	COBALT IN BOTTOM DEPOSITS (MG/KG AS CO DRY WGT)   	3     	3     	1980-05-07	1980-05-07	  1.00E+01  	  5.00E+00  	  1.33E+01
