Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 280000E-5  	 	03010107	00023	1969-10-01	      2500	          	        	         411	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 600000E-6  	 	03010107	00023	1969-10-01	      2500	          	        	         311	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 400000E-6  	 	03010107	00023	1969-10-01	      2500	          	        	         101	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 370000E-5  	 	03010107	00023	1970-10-01	      2500	          	        	         412	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 320000E-5  	 	03010107	00023	1970-10-01	      2500	          	        	         411	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 300000E-6  	 	03010107	00023	1970-10-01	      2500	          	        	         101	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 100000E-5  	 	03010107	00023	1970-10-01	      2500	          	        	         311	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 250000E-5  	 	03010107	00023	1971-10-01	      2500	          	        	         412	        	                	  	                     	B 	                                                            	
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111                               	 290000E-5  	 	03010107	00023	1971-10-01	      2500	          	        	         411	        	                	  	                     	B 	                                                            	
