Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11FWS   	007            	ROANOKE RIVER AT ROANOKE RAPIDS / SOUTHEAST / ROANOKE RIVER                                                                                                                   	USEPA HQ                 	North Carolina                	Halifax                       	 36.461111	-77.661111 	03010107	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	WHOLE BODY FISH COMPOSITE SAM. RESIDUE ANALYSIS
21NC37GW	HA1144         	CALEDONIA / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Halifax                       	   36.3025	-77.451667 	03010107	               	              	        	                                                            	E25H2,100HA1144                         	/TYPA/AMBNT/WELL                                                 	          401	FEET                	 	G	none
21NC37GW	HA1146         	CALEDONIA / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Halifax                       	    36.305	-77.458056 	03010107	               	              	        	                                                            	E25H4,100HA1146                         	/TYPA/AMBNT/WELL                                                 	           90	FEET                	 	G	none
21NC37GW	HA1225         	ENFIELD / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Halifax                       	 36.173611	-77.676111 	03020102	               	              	        	                                                            	F28U2,100HA1225                         	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	HA1677         	HALIFAX COUNTY / SOUTHEAST / TAR RIVER                                                                                                                                        	NC DE&NR                 	North Carolina                	Halifax                       	 36.115278	-77.376389 	03010107	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          244	FEET                	 	G	none
21NC37GW	HA1678         	HALIFAX COUNTY / SOUTHEAST / TAR RIVER                                                                                                                                        	NC DE&NR                 	North Carolina                	Halifax                       	 36.030556	-77.394444 	03020102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          296	FEET                	 	G	none
21NC37GW	HA1741         	TILLERY / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Halifax                       	 36.291111	-77.443333 	03010107	               	              	        	                                                            	E25L4,100HA1741                         	/TYPA/AMBNT/WELL                                                 	           90	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1981 MEASURED MONTHLY AQUIFER MY AND PB RESEARCH STATION
21NC37GW	HA1810         	TILLERY / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Halifax                       	 36.291111	-77.443611 	03010107	               	              	        	                                                            	E25L5,100HA1810                         	/TYPA/AMBNT/WELL                                                 	           19	FEET                	 	G	none
21NC37GW	HA1823         	LITTLETON / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Halifax                       	 36.416667	-77.833333 	03010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          285	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	HA1824         	ROANOKE RAPIDS / SOUTHEAST / ROANOKE                                                                                                                                          	NC DE&NR                 	North Carolina                	Halifax                       	      36.4	-77.75     	03020102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NCGWNW	HA1146         	CALEDONIA / SOUTHEAST / ROANOKE                                                                                                                                               	NC ENV. HTH. NAT. RES.   	North Carolina                	Halifax                       	    36.305	-77.458056 	03010107	               	              	        	                                                            	E25H4,100HA1146                         	/TYPA/AMBNT/WELL                                                 	           90	FEET                	 	G	none
21NCGWNW	HA1225         	ENFIELD / SOUTHEAST / TAR                                                                                                                                                     	NC ENV. HTH. NAT. RES.   	North Carolina                	Halifax                       	 36.173611	-77.676111 	03020102	               	              	        	                                                            	F28U2,100HA1225                         	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NCGWNW	HA1741         	TILLERY / SOUTHEAST / ROANOKE                                                                                                                                                 	NC ENV. HTH. NAT. RES.   	North Carolina                	Halifax                       	 36.291111	-77.443333 	03010107	               	              	        	                                                            	E25L4,100HA1741                         	/TYPA/AMBNT/WELL                                                 	           90	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1981 MEASURED MONTHLY AQUIFER MY AND PB RESEARCH STATION
21NCGWNW	HA1810         	TILLERY / SOUTHEAST / ROANOKE                                                                                                                                                 	NC ENV. HTH. NAT. RES.   	North Carolina                	Halifax                       	 36.291111	-77.443611 	03010107	               	              	        	                                                            	E25L5,100HA1810                         	/TYPA/AMBNT/WELL                                                 	           19	FEET                	 	G	none
