
Halifax, NC
Number of Stations = 14


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00023	WEIGHT    POUNDS          	SAMPLE WEIGHT IN POUNDS                           	1     	35    	1969-10-01	1984-10-01	  1.00E+00  	  9.00E-01  	  1.32E+00
00024	LENGTH    INCHES          	SAMPLE LENGTH IN INCHES                           	1     	35    	1969-10-01	1984-10-01	  1.01E+01  	  9.70E+00  	  1.35E+01
01004	ARSENIC  TISMG/KG WET WGT 	ARSENIC TOTAL IN FISH OR ANIMAL WET WT MG/KG      	1     	11    	1976-10-01	1986-10-01	  1.07E-01  	  9.00E-02  	  1.02E+00
01149	SELENIUM TISMG/KG WET WGT 	SELENIUM, TOTAL IN FISH OR ANIMALS WET WGT MG/KG  	1     	10    	1978-10-01	1986-10-01	  2.10E-01  	  5.87E-01  	  3.53E-01
34680	ALDRIN   TISMG/KG WET WGT 	ALDRIN             IN FISH TISSUE WET WEIGHT MG/KG	1     	2     	1986-10-01	1986-10-01	  1.00E-02  	  1.00E-02  	  1.00E-02
34684	DIELDRIN  TISMG/KG        	DIELDRIN                                  TISMG/KG	1     	37    	1969-10-01	1986-10-01	  1.00E-01  	  8.00E-02  	  4.16E-02
34685	ENDRIN   TISMG/KG WET WGT 	ENDRIN                             WET WGTTISMG/KG	1     	34    	1970-10-01	1986-10-01	  1.00E-02  	  1.00E-02  	  1.00E-02
34686	HPCHLREP TISMG/KG WET WGT 	HEPTACHLOR EPOXIDE                 WET WGTTISMG/KG	1     	2     	1986-10-01	1986-10-01	  1.00E-02  	  1.00E-02  	  1.00E-02
34687	HEPTCHLR TISMG/KG WET WGT 	HEPTACHLOR                         WET WGTTISMG/KG	1     	37    	1969-10-01	1986-10-01	  1.00E-02  	  1.00E-02  	  1.00E-02
