Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 210000E-3  	 	03030004	72001	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 230000E-3  	 	03030004	72001	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 210000E-3  	 	03030006	72001	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 300000E-3  	 	03030004	72001	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 210000E-3  	 	03030004	72008	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 230000E-3  	 	03030004	72008	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 210000E-3  	 	03030006	72008	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 300000E-3  	 	03030004	72008	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HA1340         	HARNETT COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                  	NC DE&NR                 	North Carolina                	Harnett                       	 35.416667	-78.833333                               	 230000E-4  	 	03030004	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HA1340         	HARNETT COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                  	NC DE&NR                 	North Carolina                	Harnett                       	 35.416667	-78.833333                               	 250000E-4  	 	03030004	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HA1340         	HARNETT COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                  	NC DE&NR                 	North Carolina                	Harnett                       	 35.416667	-78.833333                               	 260000E-4  	 	03030004	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HA1340         	HARNETT COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                  	NC DE&NR                 	North Carolina                	Harnett                       	 35.416667	-78.833333                               	 280000E-4  	 	03030004	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HA1340         	HARNETT COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                  	NC DE&NR                 	North Carolina                	Harnett                       	 35.416667	-78.833333                               	 300000E-4  	 	03030004	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 300000E-4  	 	03030004	72019	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 200000E-4  	 	03030004	72019	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 300000E-4  	 	03030006	72019	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 500000E-4  	 	03030004	72019	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 000000E+0  	 	03030004	72058	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 000000E+0  	 	03030004	72058	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 000000E+0  	 	03030006	72058	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 000000E+0  	 	03030004	72058	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 300000E-4  	 	03030004	72060	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 105000E-3  	 	03030004	72060	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 120000E-3  	 	03030006	72060	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 227000E-3  	 	03030004	72060	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 000000E+0  	 	03030004	72065	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 000000E+0  	 	03030004	72065	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 000000E+0  	 	03030006	72065	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 000000E+0  	 	03030004	72065	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 210000E-4  	 	03030004	72068	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 200000E-4  	 	03030004	72068	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 200000E-4  	 	03030006	72068	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 200000E-4  	 	03030004	72068	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	HR1515         	BUNCAN / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Harnett                       	     35.55	-78.866667                               	 600000E-5  	 	03030004	72090	1982-06-03	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1516         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	 35.404167	-78.758333                               	 640000E-5  	 	03030004	72090	1982-08-25	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	HR1517         	COATS / SOUTHEAST / CAPE FEAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Harnett                       	      35.4	-78.65                                   	 640000E-5  	 	03030006	72090	1982-11-11	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	HR1518         	LILLINGTON / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Harnett                       	      35.3	-79.016667                               	 640000E-5  	 	03030004	72090	1982-10-28	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
