Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370064A        	HAZELWOOD STP AT WAYNESVILLE NC TO RICHLAND CR / SANTEE-COOPER RIV BASIN / INFLUENT    PRIOR TO GRIT CHAMBER                                                                  	USEPA REGION 4           	North Carolina                	Haywood                       	     35.49	-82.991667 	06010106	            020	          5.84	OFF     	RICHLAND CR                                                 	NC0025321 A,WI-001   HAZ                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370064B        	HAZELWOOD STP AT WAYNESVILLE NC TO RICHLAND CR / FRENCH BROAD RIVER BASIN / EFFLUENT    FROM CHLORINE CONTACT CHAMBR                                                          	USEPA REGION 4           	North Carolina                	Haywood                       	     35.49	-82.991667 	06010106	            020	          5.84	OFF     	RICHLAND CR                                                 	NC0025321 B,WE-001   HAZ                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370064C        	HAZELWOOD STP AT WAYNESVILLE NC TO RICHLAND CR / FRENCH BROAD RIVER BASIN / SLUDGE      VACUUM FILTER CAKE SLUDGE                                                             	USEPA REGION 4           	North Carolina                	Haywood                       	     35.49	-82.991667 	06010106	            020	          5.84	OFF     	RICHLAND CR                                                 	NC0025321 C,WFC      HAZ                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370122A        	PIGEON RIVER EXPOSURE RISK STUDY / FRENCH BROAD RIVER BASIN / PIGEON RIVER AT NEW HEPCO BRIDGE                                                                                	USEPA REGION 4           	North Carolina                	Haywood                       	     35.75	-83.116667 	06010106	            010	          2.56	OFF     	BIG CR                                                      	PR-1     PIG                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1114PEST	370122B        	PIGEON RIVER EXPOSURE RISK STUDY / FRENCH BROAD RIVER BASIN / FISH TISSUE SAMPLES FROM WATERVILLE LAKE                                                                        	USEPA REGION 4           	North Carolina                	Haywood                       	     35.75	-83.116667 	06010106	            010	          2.56	OFF     	BIG CR                                                      	PR-2     PIG                            	/TYPA/AMBNT/LAKE                                                 	            0	FEET                	S	 	none
11BIOACC	2139           	CATTALOOCHEE CREEK @ CATTALOOCHEE /  /                                                                                                                                        	U.S. EPA MDSD            	North Carolina                	Haywood                       	 35.667222	-83.073056 	06010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/FISH/STREAM                                          	            0	FEET                	S	 	none
11BIOACC	3343           	PIGEON RIVER @ CLYDE /  /                                                                                                                                                     	U.S. EPA MDSD            	North Carolina                	Haywood                       	 35.534722	-82.911111 	06010106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
11EPALES	370901         	LAKE JUNALUSKA /  /                                                                                                                                                           	USEPA                    	North Carolina                	Haywood                       	 35.525833	-82.966111 	06010106	            020	          2.33	OFF     	RICHLAND CR                                                 	none                                    	/TYPA/AMBNT/LAKE                                                 	           23	FEET                	S	 	NEAR DAM, 145 DEGREES FM WHITE CROSS ON NW SHORE AND 300 YDS FM DAM. COMMENTS: 3-24 ULE 16; 1% LIGHT AT 9 FT; 8% LIGHT AT 1 FT; DIFF RAD 4.0 TO 4.5 VOLTS; CHAN A +010 VOLTS; SLIGHTLY GREEN W/O VISIBLE ALGAE; UPPER END OF LAKE APPEARS SHALLOW W/DISCOLORATION FM SILTATION. 7-5 ULE 16; 1% LIGHT AT 11 FT; 4% LIGHT AT SURF; GREEN W/O VISIBLE ALGAE; DEPTH 21 FT. MAP: USGS CLYDE QUAD
11EPALES	371801         	WATERVILLE RESERVOIR /  /                                                                                                                                                     	USEPA                    	North Carolina                	Haywood                       	    35.775	-83.1      	06010106	            010	            .1	OFF     	BIG CR                                                      	none                                    	/TYPA/AMBNT/LAKE                                                 	          135	FEET                	S	 	CAUTION: WIRES CROSSING CANYON JUST BELOW DAM, 250 DEGREES ABOVE DAM LEVEL. SAMPLE SITE ABOUT 300 YDS ABOVE DAM, MIDCHANNEL. COMMENTS: 3-24 ULE 16, SLIGHTLY TURBID; NO VISIBLE ALGAE; 1% LIGHT AT 4-1/2 FT, 4.5% LIGHT AT 1 FT. 7-5 ULE 18; 1% LIGHT AT 6 FT, .2% LIGHT AT SURF; VERY BROWNISH, HUMIC COLOR; DEPTH 130 FT. 9-20 ULE 22 PLUS; VERY HUMIC; NO VISIBLE ALGAE OR MACROPHYTES; WATER LEVEL DOWN; INC LIGHT AT 1% AT 1-1/2 METERS; SKY CLEAR, NO HAZE. MAP:USGS WATERVILLE QUAD
