
Haywood, NC
Number of Stations = 115


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	45    	565   	1965-01-05	1986-12-04	  1.00E+01  	  9.90E+01  	  5.28E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	9     	61    	1973-03-24	1986-12-04	  1.04E+03  	  9.34E+03  	  1.02E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	57    	669   	1965-01-05	1986-12-04	  1.00E+01  	  9.90E+00  	  1.62E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	5     	23    	1978-06-27	1981-03-19	  1.98E+03  	  1.98E+03  	  1.98E+03
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	5     	1984-10-17	1987-11-02	  1.60E+03  	  7.15E+04  	  2.14E+04
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	22    	212   	1965-01-05	1978-12-18	  1.00E+02  	  9.80E+02  	  2.55E+02
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	8     	22    	1985-03-17	1985-07-15	  1.50E+00  	  8.00E-01  	  9.46E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	16    	229   	1965-01-05	1978-12-18	  1.00E+02  	  9.50E+01  	  2.09E+01
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	3     	41    	1973-03-24	1973-09-20	  1.00E-01  	  9.80E+01  	  7.45E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	3     	9     	1973-03-24	1973-09-20	  2.40E+01  	  4.80E+01  	  3.38E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	2     	2     	1984-11-29	1984-11-29	  1.45E+00  	  3.50E-01  	  9.00E-01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	42    	310   	1965-01-05	1986-12-04	  1.00E+02  	  9.50E+01  	  6.10E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	23    	121   	1971-11-03	1986-12-04	  1.00E+02  	  9.00E+00  	  1.07E+02
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	7     	60    	1965-01-05	1971-11-03	  1.00E+00  	  8.00E+00  	  2.90E+01
