
Henderson, NC
Number of Stations = 116


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	22    	151   	1965-01-06	1974-09-09	  1.00E+00  	  9.90E+01  	  5.00E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	38    	239   	1965-01-06	1985-07-04	   .00E+00  	  9.50E+00  	  1.49E+01
00053	SURFACE  AREA     ACRES   	SURFACE AREA, ACRES                               	1     	1     	1981-09-28	1981-09-28	  3.40E+00  	  3.40E+00  	  3.40E+00
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	16    	142   	1965-01-06	1978-03-03	  1.00E+03  	  9.00E+00  	  3.86E+02
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	6     	17    	1985-03-19	1985-07-04	  1.60E-01  	  6.50E-01  	  5.25E-01
00065	STREAM   STAGE    FEET    	STAGE, STREAM (FEET)                              	3     	69    	1982-08-02	1984-06-04	  1.00E-01  	  8.00E-02  	  2.25E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	12    	106   	1965-01-06	1974-09-09	  1.00E+02  	  9.00E+00  	  1.95E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	2     	22    	1977-03-30	1978-03-03	  2.28E+01  	  9.80E+01  	  5.24E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	2     	2     	1984-11-29	1984-11-29	  2.10E+00  	  2.45E+00  	  2.28E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	23    	126   	1965-01-06	1985-07-04	  1.00E+01  	  7.50E+02  	  2.35E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	3     	13    	1973-10-30	1982-10-20	  2.00E+01  	  8.00E+01  	  6.23E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	6     	29    	1965-01-06	1967-01-25	  1.00E+00  	  3.20E+01  	  2.10E+00
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	4     	37    	1977-03-30	1982-10-20	  1.50E+01  	  4.90E+01  	  2.85E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	29    	161   	1965-01-06	1993-06-03	  1.00E+02  	  9.60E+01  	  3.80E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	2     	11    	1982-10-19	1982-10-20	  1.00E+00  	  4.00E+00  	  1.78E+00
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	2     	2     	1984-11-29	1984-11-29	  1.34E+00  	  5.10E-01  	  9.25E-01
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	8     	69    	1977-03-30	1985-07-04	  1.00E+01  	  9.80E+00  	  7.56E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	26    	167   	1965-01-06	1992-05-16	  1.00E+01  	  9.90E+00  	  7.91E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	30    	229   	1965-01-06	1985-07-04	  1.00E+02  	  9.80E+01  	  7.46E+01
00303	BOD      1 DAY    MG/L    	BOD, 1DAY, 20 DEG C                           MG/L	6     	16    	1970-08-25	1970-08-25	  1.00E+00  	  2.00E+00  	  1.34E+00
00304	BOD      2 DAY    MG/L    	BOD, 2 DAY, 20 DEG C                          MG/L	7     	7     	1968-07-02	1969-07-11	  1.00E+00  	  2.30E+00  	  1.19E+00
00305	BOD      3 DAY    MG/L    	BOD, 3 DAY, 20 DEG C                          MG/L	6     	16    	1970-08-25	1970-08-25	  1.00E+00  	  2.90E+00  	  1.94E+00
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	9     	50    	1965-01-06	1970-08-25	  1.00E+00  	  7.00E+00  	  2.97E+00
00315	BOD      7 DAY    MG/L    	BOD, 7 DAY, 20 DEG C                          MG/L	6     	16    	1970-08-25	1970-08-25	  1.20E+00  	  5.60E+00  	  3.59E+00
00322	BOD      10 DAY   MG/L    	BOD, 10 DAY, 20 DEG C                         MG/L	6     	15    	1970-08-25	1970-08-25	  2.10E+00  	  6.70E+00  	  4.87E+00
00326	BOD      28 DAY   MG/L    	BOD, 28 DAY, 20 DEG C                         MG.L	1     	1     	1969-07-11	1969-07-11	  1.80E+01  	  1.80E+01  	  1.80E+01
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	1     	8     	1974-02-04	1974-09-09	  1.00E+01  	  9.00E+00  	  1.11E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	29    	182   	1965-01-06	1993-06-03	  4.50E+00  	  7.80E+00  	  6.59E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	10    	21    	1982-10-19	1985-07-04	  6.30E+00  	  7.20E+00  	  6.82E+00
