Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1980-09-10	      1130	          	        	           1	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1980-10-08	      1135	          	        	           1	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1980-12-08	      1120	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-02-25	      1240	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-03-17	      1300	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-04-22	      1335	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-07-15	      1215	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-08-26	      1245	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-09-16	      1100	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-10-14	      1220	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-11-16	      1200	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1981-12-15	      1235	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1982-02-16	      1215	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1982-03-15	      1120	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1982-04-15	      1315	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1982-06-15	      1125	          	        	            	        	                	  	                     	B 	                                                            	
21VASWCB	5ACHW050.50    	TRANSECT #4 / 03-SOUTHEAST / 5-CHOWAN + DISMAL SW                                                                                                                             	VA DEPT OF ENVIRONMENTAL 	North Carolina                	Hertford                      	 36.538333	-76.921389                               	 500000E-4  	 	03010201	00002	1982-07-15	      1200	          	        	            	        	                	  	                     	B 	                                                            	
