Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12NSS   	3B070075L      	FLAT SWAMP /  /                                                                                                                                                               	EPA ENVIRONMENTAL RES LAB	North Carolina                	Hertford                      	 36.268333	-76.8325   	03010203	               	              	        	                                                            	3B03B070075L                            	/TYPA/AMBNT/STREAM                                               	            3	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	3B070075U      	FLAT SWAMP /  /                                                                                                                                                               	EPA ENVIRONMENTAL RES LAB	North Carolina                	Hertford                      	 36.258611	-76.826667 	03010203	               	              	        	                                                            	3B03B070075U                            	/TYPA/AMBNT/STREAM                                               	            3	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12OWNIRS	NC0446107      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hertford                      	 36.316667	-76.966667 	03010203	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           46	FEET                	 	 	none
21NC37GW	HF1029         	COMO / SOUTHEAST / CHOWAN                                                                                                                                                     	NC DE&NR                 	North Carolina                	Hertford                      	 36.535278	-76.989722 	03010201	               	              	        	                                                            	B19O1,100HF1029                         	/TYPA/AMBNT/WELL                                                 	          225	FEET                	 	G	none
21NC37GW	HF1088         	PILANDS CROSSROADS / SOUTHEAST / CHOWAN                                                                                                                                       	NC DE&NR                 	North Carolina                	Hertford                      	 36.351111	-76.828333 	03010203	               	              	        	                                                            	D17P2,100HF1088                         	/TYPA/AMBNT/WELL                                                 	           21	FEET                	 	G	none
21NC37GW	HF1110         	TUNIS / SOUTHEAST / CHOWAN                                                                                                                                                    	NC DE&NR                 	North Carolina                	Hertford                      	     36.38	-76.890833 	03010203	            010	          7.42	OFF     	CHOWAN R                                                    	D18N13,100HF1110                        	/TYPA/AMBNT/WELL                                                 	           51	FEET                	 	G	none
21NC37GW	HF1183         	UNION / SOUTHEAST / CHOWAN                                                                                                                                                    	NC DE&NR                 	North Carolina                	Hertford                      	 36.353056	-77.009722 	03010204	               	              	        	                                                            	D20T2,100HF1183                         	/TYPA/AMBNT/WELL                                                 	          369	FEET                	 	G	none
21NC37GW	HF1212         	HARRELLSVILLE / SOUTHEAST / CHOWAN                                                                                                                                            	NC DE&NR                 	North Carolina                	Hertford                      	 36.309722	-76.7275   	03010203	               	              	        	                                                            	E16G6,100HF1212                         	/TYPA/AMBNT/WELL                                                 	          236	FEET                	 	G	none
21NC37GW	HF1213         	HARRELLSVILLE / SOUTHEAST / CHOWAN                                                                                                                                            	NC DE&NR                 	North Carolina                	Hertford                      	 36.311389	-76.728611 	03010203	               	              	        	                                                            	E16G7,100HF1213                         	/TYPA/AMBNT/WELL                                                 	           52	FEET                	 	G	none
