
Hertford, NC
Number of Stations = 73


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	1     	32    	1980-09-10	1984-04-25	  5.00E+01  	  5.00E+01  	  5.00E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	7     	380   	1979-07-10	1986-04-02	  1.00E+01  	 -6.20E+00  	  1.76E+01
00041	WEATHER  WMO CODE 4501    	WEATHER (WMO CODE 4501)                           	1     	113   	1979-07-23	1986-03-19	  1.00E+00  	  3.00E+00  	  2.26E+00
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	1     	27    	1979-08-01	1980-07-30	  1.00E+04  	  9.82E+02  	  3.92E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	4     	1986-03-18	1986-04-02	  1.64E+00  	  1.72E+00  	  1.68E+00
00067	TIDE     STAGE    CODE    	TIDE STAGE (REFER TO APPENDIX FOR CODES)          	1     	1     	1982-03-15	1982-03-15	  4.00E+00  	  4.00E+00  	  4.00E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	2     	4     	1986-03-18	1986-04-02	  1.50E+02  	  1.75E+02  	  1.56E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	5     	41    	1980-02-27	1983-08-10	  1.00E+02  	  9.50E+01  	  1.10E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	2     	4     	1986-03-18	1986-04-02	  1.05E+02  	  9.65E+01  	  1.00E+02
00116	INTNSVE  SURVEY   IDENT   	INTENSIVE SURVEY IDENTIFICATION NUMBER            	1     	391   	1979-07-10	1986-03-19	  7.95E+05  	  7.95E+05  	  7.95E+05
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	4     	1986-03-18	1986-04-02	  1.08E+01  	  9.80E+00  	  9.28E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	363   	1979-07-10	1986-03-19	  1.00E+01  	  9.90E+00  	  8.00E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	3     	365   	1979-07-10	1986-04-02	  1.01E+02  	  9.93E+01  	  7.92E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	1     	57    	1983-02-02	1986-03-19	  1.00E+00  	  8.00E+00  	  1.56E+00
00400	PH        SU              	PH (STANDARD UNITS)                               	5     	355   	1979-07-10	1986-03-19	  5.10E+00  	  8.60E+00  	  7.44E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	7     	72    	1981-04-22	1986-04-02	  5.80E+00  	  7.30E+00  	  6.60E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	2     	4     	1986-03-18	1986-04-02	  1.91E+02  	  3.84E+02  	  2.81E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	5     	68    	1981-04-22	1986-03-19	  1.00E+01  	  9.60E+00  	  3.00E+01
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	6     	8     	1981-05-18	1986-04-02	  1.18E+01  	  3.40E+01  	  1.27E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	4     	4     	1981-05-18	1981-07-13	  1.00E+00  	  5.00E+00  	  2.00E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	1     	1     	1983-08-10	1983-08-10	  9.40E+01  	  9.40E+01  	  9.40E+01
