Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 420000E-4  	K	03030004	00662	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 372000E-5  	 	03030004	00918	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 370000E-6  	 	03030004	00921	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 139000E-4  	 	03030004	00923	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 519000E-6  	 	03030004	00939	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 500000E-5  	K	03030004	00978	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 600000E-5  	K	03030004	00979	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 540000E-4  	 	03030004	00980	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 500000E-5  	K	03030004	00981	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 800000E-5  	K	03030004	00982	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 300000E-5  	K	03030004	00983	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 200000E-5  	K	03030004	00984	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 300000E-5  	K	03030004	00985	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 100000E-5  	K	03030004	00986	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 101000E-1  	 	03030004	00992	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 100000E-5  	K	03030004	00998	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 500000E-5  	K	03030004	00999	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 120000E-4  	 	03030004	01009	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 500000E-5  	K	03030004	01074	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 400000E-5  	K	03030004	01079	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 190000E-4  	 	03030004	01084	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 250000E-3  	 	03030004	01094	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 310000E-4  	K	03030004	01104	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 200000E-5  	K	03030004	01113	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 500000E-5  	K	03030004	01114	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 200000E-5  	K	03030004	01118	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 400000E-5  	 	03030004	01119	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 300000E-5  	 	03030004	01123	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 600000E-5  	K	03030004	01129	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 500000E-5  	K	03030004	01134	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 900000E-5  	K	03030004	01268	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 170000E-4  	K	03030004	01269	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 220000E-4  	K	03030004	01270	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 120000E-4  	K	03030004	01271	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 423000E-6  	 	03030004	09510	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 100000E-5  	K	03030004	11501	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 130000E-6  	 	03030004	28012	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0347117      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Hoke                          	 35.016667	-79.116667                               	 200000E-6  	K	03030004	71901	1984-10-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	HO1018         	RAEFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Hoke                          	 34.983333	-79.233333                               	 248000E-3  	 	03030004	72001	1970-01-14	      2500	          	        	         248	        	                	  	                     	B 	                                                            	
21NC37GW	HO1667         	MCCAIN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Hoke                          	 35.059722	-79.355556                               	 209000E-3  	 	03040203	72001	1972-01-31	      2500	          	        	         209	        	                	  	                     	B 	                                                            	
21NC37GW	HO1018         	RAEFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Hoke                          	 34.983333	-79.233333                               	 600000E-4  	 	03030004	72002	1970-01-14	      2500	          	        	         248	        	                	  	                     	B 	                                                            	
21NC37GW	HO1667         	MCCAIN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Hoke                          	 35.059722	-79.355556                               	 780000E-4  	 	03040203	72002	1972-01-31	      2500	          	        	         209	        	                	  	                     	B 	                                                            	
21NC37GW	HO1018         	RAEFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Hoke                          	 34.983333	-79.233333                               	 700000E-4  	 	03030004	72003	1970-01-14	      2500	          	        	         248	        	                	  	                     	B 	                                                            	
