
Hyde, NC
Number of Stations = 89


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	19    	21    	1983-03-15	1985-05-06	  5.00E+01  	  5.00E+01  	  5.00E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	54    	166   	1983-03-03	1985-05-06	  1.00E+01  	  9.90E+00  	  2.01E+01
00032	CLOUD    COVER    PERCENT 	CLOUD COVER (PERCENT)                             	1     	1     	1985-05-06	1985-05-06	  1.00E+01  	  1.00E+01  	  1.00E+01
00036	WIND     DIR.FROM NORTH-0 	WIND DIRECTION IN DEGREES FROM TRUE N (CLOCKWISE) 	1     	1     	1985-05-06	1985-05-06	  2.70E+02  	  2.70E+02  	  2.70E+02
00037	WIND     FORCE    BEAUFORT	WIND FORCE (BEAUFORT UNITS)                       	1     	1     	1985-05-06	1985-05-06	  1.00E+00  	  1.00E+00  	  1.00E+00
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	1     	1     	1985-05-06	1985-05-06	   .00E+00  	   .00E+00  	   .00E+00
00063	NO. OF   SAMPLING POINTS  	SAMPLING POINTS, NUMBER OF IN A CROSS SECTION     	3     	3     	1983-03-15	1983-03-15	  1.00E+00  	  1.00E+00  	  1.00E+00
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	24    	57    	1983-04-19	1985-05-06	  1.00E+01  	  9.80E+00  	  8.81E+00
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	56    	171   	1975-11-10	1985-05-06	  1.00E+02  	  9.50E+01  	  1.27E+03
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	54    	165   	1983-03-03	1985-05-06	  1.01E+01  	  9.70E+00  	  5.47E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	54    	165   	1983-03-03	1985-05-06	  1.00E+02  	  9.98E+01  	  5.81E+01
00353	BOD      42 DAY   MG/L    	BOD, 42 DAY, 20 DEG C                         MG/L	1     	1     	1983-05-17	1983-05-17	  5.00E+00  	  5.00E+00  	  5.00E+00
00400	PH        SU              	PH (STANDARD UNITS)                               	54    	166   	1983-03-03	1985-05-06	  2.60E+00  	  7.80E+00  	  5.43E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	10    	10    	1983-03-03	1983-03-03	  3.70E+00  	  6.60E+00  	  4.94E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	6     	6     	1983-03-03	1983-03-03	  1.40E+01  	  6.00E+00  	  1.70E+01
00431	T ALK    FIELD    MG/L    	ALKALINITY TOATL FIELD, (MG/L AS CACO3)           	2     	2     	1983-05-17	1985-05-06	  2.00E-01  	  2.40E+01  	  1.21E+01
00435	T ACDITY CACO3    MG/L    	ACIDITY, TOTAL (MG/L AS CACO3)                    	9     	9     	1983-03-03	1983-03-03	  1.90E+01  	  5.00E+01  	  3.53E+01
00436	ACIDITY  MINERAL  MG/L    	ACIDITY, MINERAL (METHYL ORANGE) (MG/L AS CACO3)  	5     	5     	1983-03-03	1983-03-03	  1.00E+01  	  9.00E+00  	  6.80E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	1     	1     	1985-05-06	1985-05-06	  8.00E+00  	  8.00E+00  	  8.00E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	47    	134   	1983-03-03	1985-05-06	  1.10E+03  	  9.66E+02  	  7.43E+02
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	26    	67    	1983-03-03	1983-06-16	  1.00E+02  	  9.60E+01  	  2.28E+02
00510	RESIDUE  TOT FIX  MG/L    	RESIDUE, TOTAL FIXED (MG/L)                       	26    	67    	1983-03-03	1983-06-16	  1.00E+03  	  9.90E+01  	  6.40E+02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	47    	133   	1983-03-03	1985-05-06	  1.00E+02  	  9.50E+01  	  2.10E+01
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	26    	66    	1983-03-03	1983-06-16	  1.00E+01  	  9.00E+00  	  1.02E+01
00540	RESIDUE  FIX NFLT MG/L    	RESIDUE, FIXED NONFILTRABLE (MG/L)                	26    	67    	1983-03-03	1983-06-16	   .00E+00  	  9.00E+00  	  8.97E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	12    	18    	1983-04-19	1985-05-06	  1.00E+01  	  6.00E-02  	  8.53E-01
