Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370080A        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / DRIED SLUDGE FROM CITY LANDFILL                                                                      	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89                                   	 261800E-2  	 	03040102	00008	1979-10-17	      1600	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370080B        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / INFLUENT                                                                                             	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89                                   	 412000E-3  	 	03040102	00008	1980-02-22	      0945	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370080D        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / RETURN SLUDGE                                                                                        	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89                                   	 419000E-3  	 	03040102	00008	1980-02-22	      0915	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370156A        	NATIONAL LEAD AT STATESVILLE NC / YADKIN-PEE DEE R BASIN / EFFLUENT TO THIRD CREEK STP                                                                                        	USEPA REGION 4           	North Carolina                	Iredell                       	 35.783333	-80.85                                   	 422000E-3  	 	03040102	00008	1980-02-22	      1600	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370080B        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / INFLUENT                                                                                             	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89                                   	 120000E-4  	 	03040102	00010	1980-02-21	      0907	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370080B        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / INFLUENT                                                                                             	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89                                   	 120000E-4  	 	03040102	00010	1980-02-22	      0945	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370080C        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                             	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89                                   	 750000E-5  	 	03040102	00010	1980-02-21	      2500	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370080C        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                             	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89                                   	 110000E-4  	 	03040102	00010	1980-02-22	      0900	          	        	            	        	                	  	                     	B 	                                                            	
21NC37GW	IR2012         	MOORESVILLE, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Iredell                       	 35.588889	-80.790278                               	 160000E-4  	D	03040102	00010	1980-01-07	      2500	          	        	            	        	                	  	                     	B 	                                                            	
