Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370060A        	MOORESVILLE INDUSTRIAL STP MORRESVILLE NC DYE BR / YADKIN-PEE DEE R BASIN / INFLUENT                                                                                          	USEPA REGION 4           	North Carolina                	Iredell                       	      35.7	-80.866667 	03040102	               	              	        	                                                            	NC0020796 A,I-1      MIS                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370060B        	MOORESVILLE INDUSTRIAL STP MORRESVILLE NC DYE BR / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                          	USEPA REGION 4           	North Carolina                	Iredell                       	      35.7	-80.866667 	03040102	               	              	        	                                                            	NC0020796 B,E-1      MIS                	/TYPA/CMBMI/TREATD/OUTFL/NONAMB/PIPE                             	            0	FEET                	 	 	none
1114PEST	370080A        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / DRIED SLUDGE FROM CITY LANDFILL                                                                      	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89     	03040102	               	              	        	                                                            	NC0020591 A,SV-DS    THI                	/MUN/OUTFL/AMBNT/LND/SOLIDS                                      	            0	FEET                	 	 	none
1114PEST	370080B        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / INFLUENT                                                                                             	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89     	03040102	               	              	        	                                                            	NC0020591 B,SV-I     THI                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370080C        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / EFFLUENT                                                                                             	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89     	03040102	               	              	        	                                                            	NC0020591 C,SV-001   THI                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370080D        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / RETURN SLUDGE                                                                                        	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89     	03040102	               	              	        	                                                            	NC0020591 D,SV-RS    THI                	/TYPA/MUN/INPLNT/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370080E        	THIRD CREEK STP AT STATESVILLE NC TO THIRD CR / YADKIN-PEE DEE R BASIN / SLUDGE FROM LANDFILL DISPOSAL SITE                                                                   	USEPA REGION 4           	North Carolina                	Iredell                       	    35.785	-80.89     	03040102	               	              	        	                                                            	NC0020591 E,SV-S     THI                	/TYPA/MUN/INPLNT/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370156A        	NATIONAL LEAD AT STATESVILLE NC / YADKIN-PEE DEE R BASIN / EFFLUENT TO THIRD CREEK STP                                                                                        	USEPA REGION 4           	North Carolina                	Iredell                       	 35.783333	-80.85     	03040102	               	              	        	                                                            	NL-EFF   NAT                            	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
11EPALES	3713GA         	TROUTMAN NC / T/LAKE NORMAN / BIG BRANCH                                                                                                                                      	USEPA                    	North Carolina                	Iredell                       	 35.691667	-80.891667 	03050101	               	              	        	                                                            	AS3713GA                                	/AMBNT/STREAM                                                    	            0	FEET                	S	 	none
21NC37GW	IR1019         	MOORESVILLE NC / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Iredell                       	 35.523611	-80.838972 	03050101	               	              	        	                                                            	N66T7                                   	/TYPA/AMBNT/WELL                                                 	          155	FEET                	 	G	none
