
Iredell, NC
Number of Stations = 235


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	4     	4     	1979-10-17	1980-02-22	  2.62E+03  	  4.22E+02  	  9.68E+02
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	15    	49    	1975-06-16	1998-12-11	  1.00E+01  	  9.50E+00  	  1.73E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	8     	16    	1976-02-18	1980-02-22	  1.98E+03  	  1.98E+03  	  1.98E+03
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	4     	28    	1998-06-04	1998-12-11	  1.02E+01  	  8.80E+00  	  1.91E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	15    	48    	1975-06-16	1998-12-11	  1.01E+02  	  9.89E+01  	  1.81E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	5     	5     	1978-08-15	1981-03-27	  1.00E+02  	  6.20E+01  	  1.50E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	4     	36    	1998-06-04	1998-12-11	  1.02E+01  	  9.90E+00  	  8.54E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	4     	36    	1998-06-04	1998-12-11	  1.01E+02  	  9.89E+01  	  8.92E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	4     	6     	1976-02-18	1980-02-21	  1.33E+02  	  8.00E+00  	  8.01E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	2     	2     	1976-02-18	1976-02-18	  1.22E+02  	  5.37E+02  	  3.30E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	9     	43    	1975-06-16	1998-12-11	  1.04E+01  	  8.70E+00  	  7.62E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	8     	9     	1978-08-15	1981-03-27	  5.70E+00  	  7.80E+00  	  7.17E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	9     	10    	1978-08-15	1981-03-27	  1.18E+02  	  7.50E+01  	  5.48E+01
00430	CO3 ALK  CACO3    MG/L    	ALKALINITY, CARBONATE (MG/L AS CACO3)             	1     	1     	1980-01-07	1980-01-07	  7.60E+00  	  7.60E+00  	  7.60E+00
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	9     	10    	1978-08-15	1981-03-27	  1.44E+02  	  9.20E+01  	  7.54E+01
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	8     	8     	1978-08-15	1981-03-27	  1.00E+00  	  1.00E+00  	  1.00E+00
00495	% MOIST. SEDIMENT SAMPLE  	MOISTURE CONTENT (PERCENT OF TOTAL DRY WEIGHT)    	2     	3     	1979-10-17	1980-02-21	  4.90E+01  	  8.90E+01  	  6.83E+01
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	2     	2     	1976-02-18	1976-02-18	  1.20E+03  	  9.60E+02  	  1.08E+03
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	2     	2     	1976-02-18	1976-02-18	  2.30E+02  	  8.40E+01  	  1.57E+02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	5     	7     	1976-02-18	1980-02-22	  1.05E+04  	  9.20E+01  	  1.66E+03
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	2     	2     	1976-02-18	1976-02-18	  1.10E+01  	  7.60E+01  	  4.35E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	9     	20    	1973-05-22	1981-03-27	  1.40E-01  	  8.85E+00  	  6.39E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	2     	2     	1979-07-31	1979-11-26	  1.59E-05  	  5.79E-04  	  2.98E-04
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	1     	9     	1973-05-22	1974-09-23	  1.30E-02  	  9.75E-01  	  1.38E+00
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	2     	2     	1979-07-31	1979-11-26	  1.93E-05  	  7.04E-04  	  3.62E-04
00620	NO3-N    TOTAL    MG/L    	NITRATE NITROGEN, TOTAL (MG/L AS N)               	1     	9     	1973-05-22	1974-09-23	  1.68E+00  	  6.60E-01  	  1.89E+00
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	3     	11    	1973-05-22	1976-02-18	  1.16E+01  	  8.60E+00  	  1.60E+01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	3     	11    	1973-05-22	1976-02-18	  1.00E+00  	  9.75E+00  	  2.81E+00
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	9     	10    	1978-08-15	1981-03-27	  1.00E-01  	  7.50E-01  	  5.55E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	3     	11    	1973-05-22	1976-02-18	  1.05E+01  	  9.90E+00  	  1.11E+01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	9     	10    	1978-08-15	1981-03-27	  1.20E-01  	  8.00E-02  	  6.00E-02
00671	PHOS-DIS ORTHO    MG/L P  	PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)  	1     	9     	1973-05-22	1974-09-23	  1.04E+01  	  9.60E+00  	  9.11E+00
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	9     	10    	1978-08-15	1981-03-27	  1.00E+00  	  8.10E+02  	  1.86E+02
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	9     	10    	1978-08-15	1981-03-27	  1.00E+00  	  7.40E+02  	  1.37E+02
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	9     	10    	1978-08-15	1981-03-27	  1.00E+01  	  8.70E+01  	  9.18E+01
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	4     	4     	1980-02-22	1980-02-22	  4.36E+02  	  7.50E+00  	  1.14E+02
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	2     	3     	1979-10-17	1980-02-21	  3.39E+04  	  9.20E+03  	  2.73E+04
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	2     	3     	1979-10-17	1980-02-21	  2.20E+03  	  9.00E+03  	  6.73E+03
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	9     	10    	1978-08-15	1981-03-27	  1.00E+00  	  6.80E+00  	  4.58E+00
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	4     	4     	1980-02-22	1980-02-22	  1.23E+02  	  2.60E+00  	  3.25E+01
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	4     	4     	1980-02-22	1980-02-22	  1.13E+02  	  8.40E+02  	  3.01E+02
