Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113MONA	370013         	NEUSE R - US HWY 42 / QUAD - CLAYTON      7.5 / NEUSE RIVER BASIN        MONITOR STATION                                                                                      	USEPA REGION 4           	North Carolina                	Johnston                      	   35.6375	-78.396389 	03020201	            015	         16.21	OFF     	NEUSE R                                                     	NEU-13                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	LOCATED UPSTREAM OF NEUSE RIVER BASIN AT GAGING STATION EAST OF CLAYTON, NC AT BRIDGE ON US HWY 42. THIS STATION BEGAN OPERATION APRIL, 1975.  OPERATED JOINTLY BY EPA, TRIANGLE J COUNCIL OF GOVERNMENTS, AND USGS.
1113MONA	370014         	NEUSE R - US HWY 70 / QUAD - SELMA        7.5 / NEUSE RIVER BASIN        MONITOR STATION                                                                                      	USEPA REGION 4           	North Carolina                	Johnston                      	 35.511389	-78.35     	03020201	            015	          1.98	OFF     	NEUSE R                                                     	NEU-14                                  	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	LOCATED UPSTREAM OF NEUSE RIVER BASIN AT GAGING STATION NORTHWEST OF SMITHFIELD, NC AT BRIDGE ON US HWY 70. THIS STATION BEGAN OPERATION APRIL, 1975.  OPERATED JOINTLY BY EPA, TRIANGLE J COUNCIL OF GOVERNMENTS, AND USGS.
12OWNIRS	NC0351136      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Johnston                      	 35.483333	-78.4      	03020201	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           71	FEET                	 	 	none
21NC37GW	JH1002         	APP. 4.5 MI. NE OF SELMA SR 2331 / SOUTHEAST / NEUSE                                                                                                                          	NC DE&NR                 	North Carolina                	Johnston                      	     35.55	-78.233333 	03020201	               	              	        	                                                            	N34O1                                   	/TYPA/AMBNT/WELL                                                 	           38	FEET                	 	G	none
21NC37GW	JH1012         	APP. 9 MI. SW OF CLAYTON SR 1010 / SOUTHEAST / NEUSE                                                                                                                          	NC DE&NR                 	North Carolina                	Johnston                      	 35.566667	-78.533333 	03020201	               	              	        	                                                            	N38C2                                   	/TYPA/AMBNT/WELL                                                 	           41	FEET                	 	G	none
21NC37GW	JH1016         	SELMA - APP. 6 MI. W OF SELMA SR 1003 / SOUTHEAST / NEUSE                                                                                                                     	NC DE&NR                 	North Carolina                	Johnston                      	 35.616667	-78.316667 	03020201	               	              	        	                                                            	M35O1                                   	/TYPA/AMBNT/WELL                                                 	           48	FEET                	 	G	none
21NC37GW	JH1021         	SELMA / SOUTHEAST / NEUSE                                                                                                                                                     	NC DE&NR                 	North Carolina                	Johnston                      	 35.597222	-78.291667 	03020201	               	              	        	                                                            	M35W1                                   	/TYPA/AMBNT/WELL                                                 	          220	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	JH1034         	APP. 6 MI N OF SELMA HWY 39 / SOUTHEAST / NEUSE                                                                                                                               	NC DE&NR                 	North Carolina                	Johnston                      	      35.6	-78.25     	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           33	FEET                	 	G	none
21NC37GW	JH1036         	APP. 4 MI S OF CLAYTON SR 1557 / SOUTHEAST / NEUSE                                                                                                                            	NC DE&NR                 	North Carolina                	Johnston                      	 35.599444	-78.501389 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           49	FEET                	 	G	none
21NC37GW	JH1037         	APP. 1 MI W OF CLAYTON HWY 70 / SOUTHEAST / NEUSE                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.583333	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	none
21NC37GW	JH1038         	APP. 2 MI W OF CLAYTON SR 1560 / SOUTHEAST / NEUSE                                                                                                                            	NC DE&NR                 	North Carolina                	Johnston                      	 35.583333	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           61	FEET                	 	G	none
21NC37GW	JH1039         	CLEVELAND HEIGHTS LOT #10211 / SOUTHEAST / NEUSE                                                                                                                              	NC DE&NR                 	North Carolina                	Johnston                      	 35.588333	-78.551389 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	none
21NC37GW	JH1041         	APP. 1 MI. W OF PINE LEVEL SR 1927 / SOUTHEAST / NEUSE                                                                                                                        	NC DE&NR                 	North Carolina                	Johnston                      	 35.521667	-78.259722 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           31	FEET                	 	G	none
21NC37GW	JH1042         	APP. 3.5 MI. N OF SELMA SR 2134 / SOUTHEAST / NEUSE                                                                                                                           	NC DE&NR                 	North Carolina                	Johnston                      	 35.566667	-78.233333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           33	FEET                	 	G	none
21NC37GW	JH1043         	APP. 2 MI. NE OF PINE LEVEL SR 2320 / SOUTHEAST / NEUSE                                                                                                                       	NC DE&NR                 	North Carolina                	Johnston                      	 35.516667	-78.216667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	none
21NC37GW	JH1045         	APP. 12 MI. N OF BENSON SR 1326 / SOUTHEAST / NEUSE                                                                                                                           	NC DE&NR                 	North Carolina                	Johnston                      	      35.5	-78.55     	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           61	FEET                	 	G	none
21NC37GW	JH1046         	APP. 11 MI. N OF BENSON SR 1521 / SOUTHEAST / NEUSE                                                                                                                           	NC DE&NR                 	North Carolina                	Johnston                      	 35.532778	-78.569167 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           41	FEET                	 	G	none
21NC37GW	JH1047         	APP. 14 MI. W OF SMITHFIELD SR 1519 / SOUTHEAST / NEUSE                                                                                                                       	NC DE&NR                 	North Carolina                	Johnston                      	 35.523611	-78.563889 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           43	FEET                	 	G	none
21NC37GW	JH1048         	APP. 13 MI. W OF SMITHFIELD HWY 210 / SOUTHEAST / NEUSE                                                                                                                       	NC DE&NR                 	North Carolina                	Johnston                      	 35.513889	-78.545833 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           44	FEET                	 	G	none
21NC37GW	JH1050         	APP. 15 MI. W OF SMITHFIELD JCT 210 & HWY 50 / SOUTHEAST / NEUSE                                                                                                              	NC DE&NR                 	North Carolina                	Johnston                      	 35.516667	-78.577778 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	none
21NC37GW	JH1064         	BENSON / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Johnston                      	 35.516667	-78.566667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	none
21NC37GW	JH1069         	BENSON / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Johnston                      	 35.523611	-78.560556 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	JH1076         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.691389	-78.478333 	03020201	               	              	        	                                                            	L37Q1                                   	/TYPA/AMBNT/WELL                                                 	          303	FEET                	 	G	none
21NC37GW	JH1079         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.607778	-78.462778 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          105	FEET                	 	G	none
21NC37GW	JH1080         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.655556	-78.463056 	03020201	               	              	        	                                                            	M37C1                                   	/TYPA/AMBNT/WELL                                                 	           96	FEET                	 	G	none
21NC37GW	JH1081         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.656667	-78.454167 	03020201	               	              	        	                                                            	M37C2                                   	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	none
21NC37GW	JH1082         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.653889	-78.465    	03020201	               	              	        	                                                            	M37C5                                   	/TYPA/AMBNT/WELL                                                 	          360	FEET                	 	G	none
21NC37GW	JH1083         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.652222	-78.461667 	03020201	               	              	        	                                                            	M37C6                                   	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	none
21NC37GW	JH1085         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.653611	-78.456667 	03020201	               	              	        	                                                            	M37C4                                   	/TYPA/AMBNT/WELL                                                 	          290	FEET                	 	G	none
21NC37GW	JH1086         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.656944	-78.472222 	03020201	               	              	        	                                                            	M37D1                                   	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	none
21NC37GW	JH1087         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.646667	-78.469167 	03020201	               	              	        	                                                            	M37G1                                   	/TYPA/AMBNT/WELL                                                 	          185	FEET                	 	G	none
21NC37GW	JH1089         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.647778	-78.469167 	03020201	               	              	        	                                                            	M37G3                                   	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	JH1092         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	   35.6425	-78.461944 	03020201	               	              	        	                                                            	M37H2                                   	/TYPA/AMBNT/WELL                                                 	          180	FEET                	 	G	none
21NC37GW	JH1094         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.633333	-78.461111 	03020201	               	              	        	                                                            	M37H6                                   	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	none
21NC37GW	JH1144         	CLAYTON OFF SR 1557 / SOUTHEAST / NEUSE                                                                                                                                       	NC DE&NR                 	North Carolina                	Johnston                      	 35.583333	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	JH1145         	COUNTRY HILLS ESTATES / SOUTHEAST / NEUSE                                                                                                                                     	NC DE&NR                 	North Carolina                	Johnston                      	 35.603611	-78.586944 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          218	FEET                	 	G	none
21NC37GW	JH1149         	CLAYTON - SR 1560 - LOT #23 / SOUTHEAST / NEUSE                                                                                                                               	NC DE&NR                 	North Carolina                	Johnston                      	 35.628611	-78.454444 	03020201	               	              	        	                                                            	M37M1                                   	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	none
21NC37GW	JH1151         	CLAYTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.661389	-78.456667 	03020201	               	              	        	                                                            	M37C9                                   	/TYPA/AMBNT/WELL                                                 	          306	FEET                	 	G	none
21NC37GW	JH1152         	WENDELL / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          165	FEET                	 	G	none
21NC37GW	JH1155         	CLAYTON 1/2 MI. W OF US 70 / SOUTHEAST / NEUSE                                                                                                                                	NC DE&NR                 	North Carolina                	Johnston                      	 35.637222	-78.455278 	03020201	               	              	        	                                                            	M37H7                                   	/TYPA/AMBNT/WELL                                                 	          306	FEET                	 	G	none
21NC37GW	JH1156         	CLAYTON SR 1708 / SOUTHEAST / NEUSE                                                                                                                                           	NC DE&NR                 	North Carolina                	Johnston                      	 35.661667	-78.446667 	03020201	               	              	        	                                                            	M37B1                                   	/TYPA/AMBNT/WELL                                                 	          306	FEET                	 	G	none
21NC37GW	JH1161         	APP. 13 MI. W OF SMITHFIELD HWY 210 / SOUTHEAST / NEUSE                                                                                                                       	NC DE&NR                 	North Carolina                	Johnston                      	 35.518056	-78.585556 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	none
21NC37GW	JH1163         	WENDELL SR 1008 / SOUTHEAST / NEUSE                                                                                                                                           	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           44	FEET                	 	G	none
21NC37GW	JH1165         	APP. 5 MI N OF SELMA ON HWY 39 / SOUTHEAST / NEUSE                                                                                                                            	NC DE&NR                 	North Carolina                	Johnston                      	      35.6	-78.25     	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           34	FEET                	 	G	none
21NC37GW	JH1172         	APP. 6.5 MI W OF SELMA SR 1910 / SOUTHEAST / NEUSE                                                                                                                            	NC DE&NR                 	North Carolina                	Johnston                      	 35.583333	-78.35     	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           41	FEET                	 	G	none
21NC37GW	JH1173         	APP. 5 MI N OF SELMA SR 1938 / SOUTHEAST / NEUSE RIVER                                                                                                                        	NC DE&NR                 	North Carolina                	Johnston                      	 35.614167	-78.315556 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           34	FEET                	 	G	none
21NC37GW	JH1184         	APP. 5 MI. SW OF SMITHFIELD SR  1501 / SOUTHEAST / NEUSE                                                                                                                      	NC DE&NR                 	North Carolina                	Johnston                      	 35.533333	-78.383333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           34	FEET                	 	G	none
21NC37GW	JH1196         	WENDELL / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	     35.75	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          165	FEET                	 	G	none
21NC37GW	JH1197         	WENDELL / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	     35.75	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          103	FEET                	 	G	none
21NC37GW	JH1198         	WENDELL / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	     35.75	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          165	FEET                	 	G	none
21NC37GW	JH1233         	PINE LEVEL / SOUTHEAST / NEUSE RIVER                                                                                                                                          	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           30	FEET                	 	G	none
21NC37GW	JH1234         	HWY 42 E OF CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                                 	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          168	FEET                	 	G	none
21NC37GW	JH1235         	WENDELL / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          120	FEET                	 	G	none
21NC37GW	JH1236         	CLAYTON - SR 1703 / SOUTHEAST / NEUSE RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          146	FEET                	 	G	none
21NC37GW	JH1237         	WENDELL / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          130	FEET                	 	G	none
21NC37GW	JH1238         	CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          186	FEET                	 	G	none
21NC37GW	JH1239         	WENDELL / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.333333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          130	FEET                	 	G	none
21NC37GW	JH1240         	CLAYTON - APP. 4 MI NE OF CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           51	FEET                	 	G	none
21NC37GW	JH1241         	CLAYTON - APP. 4 MI NE OF CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           54	FEET                	 	G	none
21NC37GW	JH1242         	CLAYTON - APP. 4 MI NE OF CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                   	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	none
21NC37GW	JH1243         	CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          130	FEET                	 	G	none
21NC37GW	JH1244         	CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.416667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	none
21NC37GW	JH1245         	CLAYTON / SOUTHEAST / NEUSE RIVER                                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.666667	-78.5      	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          205	FEET                	 	G	none
21NC37GW	JH1284         	APP. 5.5 MI N OF SELMA SR 1940 / SOUTHEAST / NEUSE                                                                                                                            	NC DE&NR                 	North Carolina                	Johnston                      	      35.6	-78.3      	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           37	FEET                	 	G	none
21NC37GW	JH1285         	APP. 7 MI N OF SELMA - HWY 96 / SOUTHEAST / NEUSE                                                                                                                             	NC DE&NR                 	North Carolina                	Johnston                      	 35.626389	-78.288333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	none
21NC37GW	JH1286         	APP. 5 MI N OF SELMA SR 1936 / SOUTHEAST / NEUSE                                                                                                                              	NC DE&NR                 	North Carolina                	Johnston                      	     35.59	-78.289444 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           37	FEET                	 	G	none
21NC37GW	JH1287         	HWY 39 SELMA / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Johnston                      	 35.583333	-78.25     	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           58	FEET                	 	G	none
21NC37GW	JH1288         	BENSON / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Johnston                      	 35.616111	-78.458889 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          145	FEET                	 	G	none
21NC37GW	JH1289         	APP. 4 MI N OF SELMA SR 1003 / SOUTHEAST / NEUSE                                                                                                                              	NC DE&NR                 	North Carolina                	Johnston                      	 35.583333	-78.25     	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           38	FEET                	 	G	none
21NC37GW	JH1290         	SE CORNER OF HWY 42 & 96 / SOUTHEAST / NEUSE                                                                                                                                  	NC DE&NR                 	North Carolina                	Johnston                      	     35.66	-78.275    	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          126	FEET                	 	G	none
