Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1118ATL8	110331         	CANAL BELOW IMPOUNDMENT STA 31 / SOUTHEAST / NC COASTAL AREA            TRENT RV MIL                                                                                          	US FOREST SERVICE        	North Carolina                	Jones                         	 34.949167	-77.098333 	03020106	            025	           2.4	OFF     	CATFISH L                                                   	030200007001,050040                     	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	CANAL BELOW IMPOUNDMENT STA 318 CROATAN NATIONAL FOREST EFFECT OF THE CATFISH LAKE IMPOUNDMENT ON THE WATER QUALITY OF CATFISH LAKE AND MILL CREEK, SAMPLES ARE COLLECTED BIWEEKLY EXCEPT DURING FILLING AND DRAW DOWN, THEN SAMPLES ARE TAKEN WEEKLY TO BE ANALYZED BY THE WATER QUALITY LABORATORY IN ELY, MINNESOTA FOR TOTAL NITROGEN AND PHOSPHOROUS, IRON, CALCIUM, AND MAGNESIUM
1118ATL8	110332         	CATFISH LAKE STA 32 / SOUTHEAST / NC COASTAL AREA            TRENT RV M/L                                                                                                     	US FOREST SERVICE        	North Carolina                	Jones                         	 34.948611	-77.100278 	03020106	            025	           2.4	OFF     	CATFISH L                                                   	030200007002                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	IMPOUNDMENT ON THE WATER QUALITY OF CATFISH LAKE AND MILL CREEK SAMPLES ARE COLLECTED BIWEEKLY EXCEPT DURING FILLING AND DRAWDOWN, THEN SAMPLES ARE TAKEN WEEKLY TO BE AMALYZED BY THE WATER QUALITY LABORATORY IN ELY, MINNESOTA FOR TOTAL NITROGEN AND PHOSPHORUS, IRON, CALCIUM, AND MAGNESIUM.
1118ATL8	110333         	OUTLET ABOVE IMPOUNDMENT STA 33 / SOUTHEAST / NC COAST AL AREA           TRENT RV MIL                                                                                         	US FOREST SERVICE        	North Carolina                	Jones                         	   34.9625	-77.348889 	03020204	               	              	        	                                                            	030200007003                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	OUTLET ABOVE IMPOUNDMENT STA 33, CROATAN NF, EFFECT OF THE CATFISH LAKE IMPOUNDMENT ON THE WATER QUALITY OF CATFISH LAKE AND MILL CREEK, SAMPLES ARE COLLECTED BIWEEKLY EXCEPT DURING FILLING AND DRAWDOWN, THEN SAMPLES ARE TAKEN WEEKLY TO BE ANALYZED BY THE WATER QUALITY LABORATORY IN ELY, MINNESOTA FOR TOTAL NITROGEN AND PHOSPHOROUS, IRON, CALCIUM, AND MAGNESIUM
21NC37GW	JO1025         	POLLOCKSVILLE / SOUTHEAST / NEUSE                                                                                                                                             	NC DE&NR                 	North Carolina                	Jones                         	 35.015278	-77.218056 	03020204	               	              	        	                                                            	T22X1,100JO1025                         	/TYPA/AMBNT/WELL                                                 	           51	FEET                	 	G	none
21NC37GW	JO1038         	OLIVER'S CROSS ROADS / SOUTHEAST / NEUSE                                                                                                                                      	NC DE&NR                 	North Carolina                	Jones                         	 35.015278	-77.218056 	03020204	               	              	        	                                                            	T23X1,100JO1038                         	/TYPA/AMBNT/WELL                                                 	          167	FEET                	 	G	none
21NC37GW	JO1045         	TRENTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Jones                         	   35.0675	-77.353611 	03020204	               	              	        	                                                            	T24I2,100JO1045                         	/TYPA/AMBNT/WELL                                                 	          375	FEET                	 	G	none
21NC37GW	JO1078         	MAYSVILLE / SOUTHEAST / NORTH CAROLINA COASTAL AREA                                                                                                                           	NC DE&NR                 	North Carolina                	Jones                         	 34.901944	-77.227222 	03020106	               	              	        	                                                            	V22D2,100JO1078                         	/TYPA/AMBNT/WELL                                                 	           35	FEET                	 	G	none
21NC37GW	JO1159         	JONES COUNTY / SOUTHEAST / NORTH CAROLINA COASTAL AREA                                                                                                                        	NC DE&NR                 	North Carolina                	Jones                         	   34.9375	-77.408333 	03020106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21NC37GW	JO1160         	JONES COUNTY / SOUTHEAST / NORTH CAROLINA COASTAL AREA                                                                                                                        	NC DE&NR                 	North Carolina                	Jones                         	 34.909722	-77.225    	03020106	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          469	FEET                	 	G	none
21NC37GW	JO1163         	COMFORT RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                  	NC DE&NR                 	North Carolina                	Jones                         	 34.969444	-77.503056 	03020204	               	              	        	                                                            	U26J1,100JO1163                         	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	none
21NC37GW	JO1168         	COMFORT RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                                  	NC DE&NR                 	North Carolina                	Jones                         	 34.969444	-77.503056 	03020204	               	              	        	                                                            	U26J3,100JO1168                         	/TYPA/AMBNT/WELL                                                 	           13	FEET                	 	G	none
21NC37GW	JO1169         	COMFORT FIRE TOWER RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                       	NC DE&NR                 	North Carolina                	Jones                         	 34.969444	-77.503056 	03020204	               	              	        	                                                            	U26J4,100JO1169                         	/TYPA/AMBNT/WELL                                                 	          545	FEET                	 	G	none
21NC37GW	JO1171         	COMFORT FIRE TOWER RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                       	NC DE&NR                 	North Carolina                	Jones                         	 34.969444	-77.503056 	03020204	               	              	        	                                                            	U26J5,100JO1171                         	/TYPA/AMBNT/WELL                                                 	          284	FEET                	 	G	none
