Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	LE1060         	BROADWAY / SOUTHEAST / CAPE FEAR                                                                                                                                              	NC DE&NR                 	North Carolina                	Lee                           	 35.456111	-79.051389                               	 590000E-4  	 	03030004	72001	1971-12-06	      2500	          	        	          59	        	                	  	                     	B 	                                                            	
21NC37GW	LE2164         	SANFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Lee                           	 35.483333	-79.283333                               	 160000E-3  	 	03030003	72001	1982-01-19	      2500	          	        	         160	        	                	  	                     	B 	                                                            	
21NC37GW	LE2165         	BLACKNEL / SOUTHEAST / CAPE FEAR                                                                                                                                              	NC DE&NR                 	North Carolina                	Lee                           	 35.604167	-79.131944                               	 250000E-3  	 	03030003	72001	1982-03-09	      2500	          	        	         250	        	                	  	                     	B 	                                                            	
21NC37GW	LE2166         	BLACKNEL / SOUTHEAST / CAPE FEAR                                                                                                                                              	NC DE&NR                 	North Carolina                	Lee                           	 35.604722	-79.131667                               	 200000E-3  	 	03030003	72001	1982-03-09	      2500	          	        	         200	        	                	  	                     	B 	                                                            	
21NC37GW	LE2169         	SANFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Lee                           	 35.533333	-79.033333                               	 120000E-3  	 	03030004	72001	1982-03-04	      2500	          	        	         120	        	                	  	                     	B 	                                                            	
21NC37GW	LE2171         	SANFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Lee                           	   35.4625	-79.2375                                 	 105000E-3  	 	03030003	72001	1982-04-06	      2500	          	        	         105	        	                	  	                     	B 	                                                            	
21NC37GW	LE2172         	SANFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Lee                           	 35.502778	-79.301389                               	 300000E-3  	 	03030003	72001	1982-06-04	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	LE2176         	SANFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Lee                           	 35.556944	-79.195833                               	 160000E-3  	 	03030003	72001	1982-07-26	      2500	          	        	         160	        	                	  	                     	B 	                                                            	
21NC37GW	LE2178         	SANFORD / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Lee                           	 35.470833	-79.219444                               	 120000E-3  	 	03030003	72001	1982-09-29	      2500	          	        	         120	        	                	  	                     	B 	                                                            	
