Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 150000E-4  	 	03020202	00010	1994-12-06	      0850	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 900000E-5  	 	03020202	00010	1995-01-12	      0925	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 900000E-5  	 	03020202	00010	1995-02-27	      0845	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 130000E-4  	 	03020202	00010	1995-03-21	      0840	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 150000E-4  	 	03020202	00010	1995-04-10	      0945	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 130000E-4  	 	03020202	00010	1995-05-09	      0945	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 180000E-4  	 	03020202	00010	1995-05-26	      1410	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 180000E-4  	 	03020202	00010	1995-06-13	      0930	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J6044500       	BEAR CREEK AT SR 1311 NEAR KINSTON NC / SOUTHEAST / NEUSE                                                                                                                     	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Lenoir                        	     35.25	-77.783333                               	 205000E-4  	 	03020202	00010	1995-06-24	      1550	          	        	         .49	        	                	  	                     	B 	                                                            	
