Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11BIOACC	2138           	NEUSE RIVER @ KINSTON /  /                                                                                                                                                    	U.S. EPA MDSD            	North Carolina                	Lenoir                        	 35.258056	-77.585833 	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
21NC37GW	LN1011         	GRIFTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.368889	-77.461944 	03020203	               	              	        	                                                            	P25M2,100LN1011                         	/TYPA/AMBNT/WELL                                                 	          104	FEET                	 	G	none
21NC37GW	LN1019         	HUGO / SOUTHEAST / NEUSE                                                                                                                                                      	NC DE&NR                 	North Carolina                	Lenoir                        	   35.3675	-77.560556 	03020203	               	              	        	                                                            	P26N1,100LN1019                         	/TYPA/AMBNT/WELL                                                 	          103	FEET                	 	G	none
21NC37GW	LN1021         	GRAINGERS / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Lenoir                        	     35.34	-77.5125   	03020202	               	              	        	                                                            	P26U1,100LN1021                         	/TYPA/AMBNT/WELL                                                 	           97	FEET                	 	G	none
21NC37GW	LN1094         	LA GRANGE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Lenoir                        	 35.305556	-77.793889 	03020202	               	              	        	                                                            	Q29H1,100LN1094                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	LN1108         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.209167	-77.565    	03020202	               	              	        	                                                            	R26N5,100LN1108                         	/TYPA/AMBNT/WELL                                                 	          184	FEET                	 	G	none
21NC37GW	LN1139         	PINK HILL / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Lenoir                        	 35.051667	-77.745    	03020204	               	              	        	                                                            	T28F3,100LN1139                         	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	none
21NC37GW	LN1160         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.271667	-77.619444 	03020202	               	              	        	                                                            	Q27R5,100LN1160                         	/TYPA/AMBNT/WELL                                                 	          520	FEET                	 	G	none
21NC37GW	LN1186         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.246389	-77.585556 	03020202	               	              	        	                                                            	R27A8,100LN1186                         	/TYPA/AMBNT/WELL                                                 	           17	FEET                	 	G	none
21NC37GW	LN1208         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.196389	-77.753889 	03020202	               	              	        	                                                            	R29T3,100LN1208                         	/TYPA/AMBNT/WELL                                                 	            9	FEET                	 	G	none
21NC37GW	LN1232         	GRIFTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.349444	-77.446389 	03020203	               	              	        	                                                            	P25V1,100LN1232                         	/TYPA/AMBNT/WELL                                                 	          280	FEET                	 	G	none
21NC37GW	LN1250         	LENOIR COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Lenoir                        	 35.051389	-77.747222 	03030007	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          292	FEET                	 	G	none
21NC37GW	LN1251         	LENOIR COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Lenoir                        	 35.072222	-77.625    	03020204	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          146	FEET                	 	G	none
21NC37GW	LN1252         	LENOIR COUNTY / SOUTHEAST / NEUSE RIVER                                                                                                                                       	NC DE&NR                 	North Carolina                	Lenoir                        	 35.356944	-77.456944 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          770	FEET                	 	G	none
21NC37GW	LN1259         	KINSTON SUPPLY YARD RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                      	NC DE&NR                 	North Carolina                	Lenoir                        	 35.271667	-77.619444 	03020202	               	              	        	                                                            	Q27R6,100LN1259                         	/TYPA/AMBNT/WELL                                                 	          401	FEET                	 	G	none
21NC37GW	LN1260         	KINSTON SUPPLY YARD RESEARCH STATION / SOUTHEAST / NEUSE                                                                                                                      	NC DE&NR                 	North Carolina                	Lenoir                        	 35.271667	-77.619444 	03020202	               	              	        	                                                            	Q27R7,100LN1260                         	/TYPA/AMBNT/WELL                                                 	          212	FEET                	 	G	none
21NC37GW	LN1270         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.271667	-77.619444 	03020202	               	              	        	                                                            	Q27R10,100LN1270                        	/TYPA/AMBNT/WELL                                                 	           81	FEET                	 	G	none
21NC37GW	LN1271         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	 35.269167	-77.618889 	03020202	               	              	        	                                                            	Q27R11,100LN1271                        	/TYPA/AMBNT/WELL                                                 	            9	FEET                	 	G	none
21NC37GW	LN1281         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	     35.25	-77.5      	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           25	FEET                	 	G	BORDEN, INC. C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LN1282         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	     35.25	-77.5      	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           24	FEET                	 	G	BORDEN, INC. C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LN1283         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	     35.25	-77.5      	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            8	FEET                	 	G	BORDEN, INC. C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LN1284         	KINSTON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Lenoir                        	     35.25	-77.5      	03020202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           24	FEET                	 	G	BORDEN, INC. C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
